Mode No.;Member;Node;Location;Normalized Displacements [--];;;Normalized Rotations [--];;;
;No.;No.;x [m];u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Member Comment
3;19;29;3.600;0.00591;0.05887;0.05746;0.02607;-0.00326;0.00055;concrete column
3;20;29;0.000;0.00591;0.05887;0.05746;0.02607;-0.00326;0.00055;steel column
3;20;30;4.000;0.03705;0.17417;0.05748;0.02878;-0.01022;-0.00108;steel column
3;21;31;0.000;0.00000;0.00000;0.06839;0.00000;0.00000;0.00000;concrete column
3;21;32;3.600;0.00589;0.06063;0.06842;0.02716;-0.00338;0.00056;concrete column
3;22;32;0.000;0.00589;0.06063;0.06842;0.02716;-0.00338;0.00056;steel column
3;22;33;4.000;0.03877;0.18081;0.06844;0.03001;-0.01082;-0.00202;steel column
3;23;34;0.000;0.00000;0.00000;0.07889;0.00000;0.00000;0.00000;concrete column
3;23;35;3.600;0.00588;0.06241;0.07893;0.02849;-0.00153;0.00057;concrete column
3;24;35;0.000;0.00588;0.06241;0.07893;0.02849;-0.00153;0.00057;steel column
3;24;36;4.000;-0.77609;0.50521;0.07922;0.10827;0.03937;0.03106;steel column
3;25;2;0.000;0.00820;0.05377;-0.07471;0.02499;-0.00530;0.00054;concrete beam
3;25;20;4.000;0.00595;0.05377;0.02618;0.02496;-0.00153;0.00055;concrete beam
3;26;3;0.000;0.86220;0.15185;-0.07509;0.02392;-0.04554;0.03112;steel beam
3;26;21;4.000;-0.77608;0.15209;0.02647;0.02720;0.03943;0.03119;steel beam
3;27;5;0.000;0.00819;0.05546;-0.06349;0.02482;-0.00322;0.00053;concrete beam
3;27;23;4.000;0.00597;0.05547;0.03602;0.02487;-0.00414;0.00051;concrete beam
3;28;6;0.000;-0.09346;0.19091;-0.06354;0.03422;0.04072;-0.25435;steel beam
3;28;24;4.000;0.80678;0.19106;0.03614;0.02952;-0.29505;-0.15610;steel beam
3;29;8;0.000;0.00819;0.05715;-0.05458;0.02531;-0.00296;0.00054;concrete beam
3;29;26;4.000;0.00594;0.05715;0.04697;0.02534;-0.00326;0.00054;concrete beam
3;30;9;0.000;0.03593;0.16916;-0.05460;0.02797;-0.00907;-0.00013;steel beam
3;30;27;4.000;0.03653;0.16916;0.04699;0.02796;-0.01001;-0.00013;steel beam
3;31;11;0.000;0.00821;0.05887;-0.04707;0.02607;-0.00266;0.00055;concrete beam
3;31;29;4.000;0.00591;0.05887;0.05746;0.02607;-0.00326;0.00055;concrete beam
3;32;12;0.000;0.03255;0.17417;-0.04709;0.02878;-0.00793;-0.00108;steel beam
3;32;30;4.000;0.03705;0.17417;0.05748;0.02878;-0.01022;-0.00108;steel beam
3;33;14;0.000;0.00822;0.06063;-0.04060;0.02717;-0.00249;0.00055;concrete beam
3;33;32;4.000;0.00589;0.06063;0.06842;0.02716;-0.00338;0.00056;concrete beam
3;34;15;0.000;0.03041;0.18081;-0.04063;0.03001;-0.00719;-0.00202;steel beam
3;34;33;4.000;0.03877;0.18081;0.06844;0.03001;-0.01082;-0.00202;steel beam
3;35;17;0.000;0.00823;0.06241;-0.03354;0.02850;-0.00448;0.00056;concrete beam
3;35;35;4.000;0.00588;0.06241;0.07893;0.02849;-0.00153;0.00057;concrete beam
3;36;18;0.000;0.86233;0.50521;-0.03380;0.10816;-0.04955;0.03113;steel beam
3;36;36;4.000;-0.77609;0.50521;0.07922;0.10827;0.03937;0.03106;steel beam
3;37;3;0.000;0.86220;0.15185;-0.07509;0.02392;-0.04554;0.03112;timber beam
3;37;18;15.000;0.86233;0.50521;-0.03380;0.10816;-0.04955;0.03113;timber beam
3;38;21;0.000;-0.77608;0.15209;0.02647;0.02720;0.03943;0.03119;timber beam
3;38;36;15.000;-0.77609;0.50521;0.07922;0.10827;0.03937;0.03106;timber beam
3;39;3;0.000;0.86220;0.15185;-0.07509;0.02392;-0.04554;0.03112;Aluminium beam
3;39;24;5.000;0.80678;0.19106;0.03614;0.02952;-0.29505;-0.15610;Aluminium beam
;;;;;;;;;;
4;1;1;0.000;0.00000;0.00000;-0.05462;0.00000;0.00000;0.00000;concrete column
4;1;2;3.600;-0.00093;0.03689;-0.05465;0.01757;-0.00389;-0.00359;concrete column
4;2;2;0.000;-0.00093;0.03689;-0.05465;0.01757;-0.00389;-0.00359;steel column
4;2;3;4.000;0.08785;0.76774;-0.05590;0.16685;-0.00352;-0.10412;steel column
4;3;4;0.000;0.00000;0.00000;-0.03479;0.00000;0.00000;0.00000;concrete column
4;3;5;3.600;-0.00100;0.02538;-0.03481;0.01128;-0.00394;-0.00366;concrete column
4;4;5;0.000;-0.00100;0.02538;-0.03481;0.01128;-0.00394;-0.00366;steel column
4;4;6;4.000;-0.70977;0.08521;-0.03481;0.01577;0.27665;-0.40387;steel column
4;5;7;0.000;0.00000;0.00000;-0.01593;0.00000;0.00000;0.00000;concrete column
4;5;8;3.600;-0.00102;0.01382;-0.01594;0.00616;-0.00448;-0.00366;concrete column
4;6;8;0.000;-0.00102;0.01382;-0.01594;0.00616;-0.00448;-0.00366;steel column
4;6;9;4.000;0.09676;0.04185;-0.01594;0.00700;-0.03539;0.02267;steel column
4;7;10;0.000;0.00000;0.00000;0.00290;0.00000;0.00000;0.00000;concrete column
4;7;11;3.600;-0.00102;0.00225;0.00290;0.00082;-0.00439;-0.00366;concrete column
4;8;11;0.000;-0.00102;0.00225;0.00290;0.00082;-0.00439;-0.00366;steel column
4;8;12;4.000;0.09571;0.00595;0.00290;0.00092;-0.03503;0.02286;steel column
4;9;13;0.000;0.00000;0.00000;0.02161;0.00000;0.00000;0.00000;concrete column
4;9;14;3.600;-0.00099;-0.00930;0.02162;-0.00457;-0.00439;-0.00365;concrete column
4;10;14;0.000;-0.00099;-0.00930;0.02162;-0.00457;-0.00439;-0.00365;steel column
4;10;15;4.000;0.09820;-0.03013;0.02163;-0.00521;-0.03599;0.02436;steel column
4;11;16;0.000;0.00000;0.00000;0.03991;0.00000;0.00000;0.00000;concrete column
4;11;17;3.600;-0.00095;-0.02079;0.03993;-0.01076;-0.00350;-0.00360;concrete column
4;12;17;0.000;-0.00095;-0.02079;0.03993;-0.01076;-0.00350;-0.00360;steel column
4;12;18;4.000;0.08792;-0.76962;0.04117;-0.17878;-0.01351;-0.09683;steel column
4;13;19;0.000;0.00000;0.00000;0.01193;0.00000;0.00000;0.00000;concrete column
4;13;20;3.600;0.01418;0.03689;0.01194;0.01740;-0.00196;-0.00360;concrete column
4;14;20;0.000;0.01418;0.03689;0.01194;0.01740;-0.00196;-0.00360;steel column
4;14;21;4.000;-0.08770;0.76793;0.01309;0.17508;0.00646;-0.09941;steel column
4;15;22;0.000;0.00000;0.00000;0.01052;0.00000;0.00000;0.00000;concrete column
4;15;23;3.600;0.01424;0.02538;0.01053;0.01142;-0.00219;-0.00368;concrete column
4;16;23;0.000;0.01424;0.02538;0.01053;0.01142;-0.00219;-0.00368;steel column
4;16;24;4.000;0.99630;0.08524;0.01065;0.00821;-0.36199;-0.43277;steel column
4;17;25;0.000;0.00000;0.00000;0.00878;0.00000;0.00000;0.00000;concrete column
4;17;26;3.600;0.01424;0.01382;0.00878;0.00618;-0.00112;-0.00366;concrete column
4;18;26;0.000;0.01424;0.01382;0.00878;0.00618;-0.00112;-0.00366;steel column
4;18;27;4.000;0.00307;0.04185;0.00879;0.00699;0.00493;0.02267;steel column
4;19;28;0.000;0.00000;0.00000;0.00613;0.00000;0.00000;0.00000;concrete column
4;19;29;3.600;0.01423;0.00225;0.00613;0.00082;-0.00102;-0.00366;concrete column
4;20;29;0.000;0.01423;0.00225;0.00613;0.00082;-0.00102;-0.00366;steel column
4;20;30;4.000;0.00126;0.00595;0.00613;0.00092;0.00557;0.02286;steel column
4;21;31;0.000;0.00000;0.00000;0.00317;0.00000;0.00000;0.00000;concrete column
4;21;32;3.600;0.01421;-0.00930;0.00317;-0.00457;-0.00095;-0.00364;concrete column
4;22;32;0.000;0.01421;-0.00930;0.00317;-0.00457;-0.00095;-0.00364;steel column
4;22;33;4.000;-0.00242;-0.03013;0.00316;-0.00521;0.00694;0.02436;steel column
4;23;34;0.000;0.00000;0.00000;0.00039;0.00000;0.00000;0.00000;concrete column
4;23;35;3.600;0.01415;-0.02079;0.00039;-0.01078;-0.00170;-0.00359;concrete column
4;24;35;0.000;0.01415;-0.02079;0.00039;-0.01078;-0.00170;-0.00359;steel column
4;24;36;4.000;-0.08771;-0.76961;-0.00086;-0.17850;0.00636;-0.09969;steel column
4;25;2;0.000;-0.00093;0.03689;-0.05465;0.01757;-0.00389;-0.00359;concrete beam
4;25;20;4.000;0.01418;0.03689;0.01194;0.01740;-0.00196;-0.00360;concrete beam
4;26;3;0.000;0.08785;0.76774;-0.05590;0.16685;-0.00352;-0.10412;steel beam
4;26;21;4.000;-0.08770;0.76793;0.01309;0.17508;0.00646;-0.09941;steel beam
4;27;5;0.000;-0.00100;0.02538;-0.03481;0.01128;-0.00394;-0.00366;concrete beam
4;27;23;4.000;0.01424;0.02538;0.01053;0.01142;-0.00219;-0.00368;concrete beam
4;28;6;0.000;-0.70977;0.08521;-0.03481;0.01577;0.27665;-0.40387;steel beam
