Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;;Shear Forces [kN/m];;Axial Forces [kN/m];;;;
;Point No.;X;Y;Z;;m_1;m_2;α_b [deg];m_T,max,b;v_max,b;β_b [deg];n_1;n_2;α_m [deg];v_max,m;Surface Comment
1;125;0.000;2.000;-3.600;;20.053;4.579;-45.68;7.737;2.986;105.12;1.166;-45.692;16.40;23.429;
1;126;0.500;2.000;-3.600;;18.146;2.465;-54.41;7.841;14.561;-162.60;31.321;1.683;38.79;14.819;
1;127;1.000;2.000;-3.600;;9.862;-2.892;-63.03;6.377;44.135;170.23;104.813;36.262;58.21;34.275;
1;128;1.500;2.000;-3.600;;5.189;-17.491;-65.52;11.340;107.775;167.09;47.176;-2.390;6.62;24.783;
1;129;2.000;2.000;-3.600;;19.260;-22.235;-83.33;20.748;88.299;153.99;26.651;-14.651;-12.14;20.651;
1;130;2.500;2.000;-3.600;;21.512;-34.019;-84.23;27.765;29.341;-171.78;35.600;13.957;-7.06;10.822;
1;131;3.000;2.000;-3.600;;18.987;-38.075;-87.43;28.531;6.924;141.97;50.019;11.781;3.75;19.119;
1;132;3.500;2.000;-3.600;;17.155;-33.499;-89.39;25.327;9.151;127.62;63.970;16.043;0.96;23.963;
1;133;4.000;2.000;-3.600;;15.595;-36.524;88.78;26.060;11.030;156.47;72.451;13.515;0.47;29.468;
1;134;4.500;2.000;-3.600;;15.828;-44.750;88.15;30.289;15.795;170.27;79.356;8.879;0.36;35.238;
1;135;5.000;2.000;-3.600;;17.060;-56.759;88.35;36.909;17.871;173.92;84.314;5.579;0.31;39.367;
1;136;5.500;2.000;-3.600;;17.887;-68.115;88.55;43.001;15.186;173.69;87.192;5.570;0.22;40.811;
1;137;6.000;2.000;-3.600;;17.173;-73.027;88.71;45.100;10.710;105.01;88.686;8.060;0.00;40.313;
1;138;6.500;2.000;-3.600;;16.785;-67.963;88.60;42.374;4.431;26.08;89.543;8.730;-0.26;40.406;
1;139;7.000;2.000;-3.600;;15.357;-64.170;88.48;39.764;2.875;27.01;90.638;8.342;-0.40;41.148;
1;140;7.500;2.000;-3.600;;14.742;-63.105;88.67;38.923;1.982;158.49;91.246;7.814;-0.45;41.716;
1;141;8.000;2.000;-3.600;;15.265;-66.294;88.99;40.780;6.146;172.08;91.088;8.018;-0.48;41.535;
1;142;8.500;2.000;-3.600;;16.528;-71.946;89.18;44.237;7.230;170.16;90.354;8.367;-0.53;40.993;
1;143;9.000;2.000;-3.600;;16.701;-78.413;89.31;47.557;9.880;84.96;89.711;7.950;-0.54;40.880;
1;144;9.500;2.000;-3.600;;17.423;-74.521;89.25;45.972;13.048;7.37;88.636;5.574;-0.55;41.531;
1;145;10.000;2.000;-3.600;;16.755;-64.801;89.14;40.778;15.163;4.30;86.448;5.283;-0.63;40.583;
1;146;10.500;2.000;-3.600;;15.881;-54.888;89.23;35.385;12.680;3.22;82.718;7.810;-0.70;37.454;
1;147;11.000;2.000;-3.600;;16.109;-48.875;89.43;32.492;7.581;7.00;77.942;11.331;-0.79;33.306;
1;148;11.500;2.000;-3.600;;17.977;-47.587;89.50;32.782;3.918;20.42;72.995;12.683;-0.88;30.156;
1;149;12.000;2.000;-3.600;;19.166;-52.533;89.54;35.849;9.956;52.09;68.985;10.805;-0.77;29.090;
1;150;12.500;2.000;-3.600;;19.943;-48.517;89.48;34.230;20.152;4.30;59.199;11.311;-0.80;23.944;
1;151;13.000;2.000;-3.600;;18.583;-32.452;89.36;25.518;26.080;2.01;45.992;16.183;-1.46;14.905;
1;152;13.500;2.000;-3.600;;15.708;-12.847;89.58;14.278;25.752;1.02;28.957;23.942;-10.43;2.507;
1;153;14.000;2.000;-3.600;;13.397;3.667;-88.05;4.865;18.616;2.05;24.782;11.601;-85.20;6.591;
1;154;14.500;2.000;-3.600;;13.384;12.311;-32.24;0.537;8.183;6.00;2.999;-0.594;-66.72;1.796;
1;155;15.000;2.000;-3.600;;14.640;12.992;-8.48;0.824;10.102;103.51;-10.012;-46.800;-1.81;18.394;
1;156;0.000;2.500;-3.600;;23.024;3.457;-43.71;9.783;15.096;-103.57;-10.853;-49.036;6.37;19.092;
