Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;Shear Forces [kN/m];;Axial Forces [kN/m];;;
;Point No.;X;Y;Z;;m_x;m_y;m_xy;v_x;v_y;n_x;n_y;n_xy;Surface Comment
1;157;0.500;2.500;-3.600;;9.535;11.457;-9.327;-14.235;5.799;4.822;21.417;-3.654;
1;158;1.000;2.500;-3.600;;1.708;8.392;-8.270;-20.200;6.941;22.472;49.861;1.442;
1;159;1.500;2.500;-3.600;;-12.942;10.228;-8.293;-10.008;12.906;40.821;10.389;-2.231;
1;160;2.000;2.500;-3.600;;-28.669;17.102;-4.897;-3.917;-2.155;57.219;-1.650;-5.181;
1;161;2.500;2.500;-3.600;;-37.228;19.184;-5.552;-9.436;-17.187;61.580;4.880;-9.553;
1;162;3.000;2.500;-3.600;;-35.211;17.385;-6.546;-6.062;-19.584;62.078;14.581;-8.757;
1;163;3.500;2.500;-3.600;;-29.307;16.604;-2.117;-6.002;7.561;69.610;17.007;-7.630;
1;164;4.000;2.500;-3.600;;-33.495;15.121;1.542;-12.504;4.148;76.676;13.012;-7.167;
1;165;4.500;2.500;-3.600;;-43.374;15.135;4.531;-18.993;-0.292;82.931;7.710;-5.305;
1;166;5.000;2.500;-3.600;;-57.134;15.997;5.452;-20.923;-6.609;87.406;4.523;-3.353;
1;167;5.500;2.500;-3.600;;-70.069;16.750;3.940;-16.730;-12.796;89.776;4.792;-1.193;
1;168;6.000;2.500;-3.600;;-74.828;16.263;0.665;-2.409;-17.101;90.734;8.610;-0.511;
1;169;6.500;2.500;-3.600;;-67.887;15.941;0.078;5.140;-4.156;91.862;9.292;-1.851;
1;170;7.000;2.500;-3.600;;-63.629;14.506;0.632;3.083;-2.136;93.332;8.038;-1.855;
1;171;7.500;2.500;-3.600;;-62.579;13.943;1.958;-2.187;-1.493;94.068;6.958;-0.871;
1;172;8.000;2.500;-3.600;;-66.086;14.338;3.148;-7.152;-3.040;93.716;7.572;0.178;
1;173;8.500;2.500;-3.600;;-72.404;15.541;3.324;-8.463;-5.780;92.529;8.633;0.469;
1;174;9.000;2.500;-3.600;;-80.220;15.612;2.361;0.544;-18.668;91.522;8.312;-0.345;
1;175;9.500;2.500;-3.600;;-76.059;16.148;-0.270;14.185;-11.384;90.751;4.910;0.308;
1;176;10.000;2.500;-3.600;;-65.237;15.518;-1.497;17.148;-6.539;88.809;4.428;2.073;
1;177;10.500;2.500;-3.600;;-54.380;14.943;-0.855;14.369;-1.956;85.103;6.920;3.512;
1;178;11.000;2.500;-3.600;;-47.795;15.313;0.995;7.877;0.258;80.206;11.181;4.551;
1;179;11.500;2.500;-3.600;;-46.679;17.236;2.731;2.396;0.143;75.168;13.547;3.908;
1;180;12.000;2.500;-3.600;;-54.506;18.102;3.559;4.301;-17.444;71.534;10.619;3.786;
1;181;12.500;2.500;-3.600;;-51.792;18.370;-1.582;21.185;-18.978;63.566;8.504;8.805;
1;182;13.000;2.500;-3.600;;-34.068;17.060;-4.908;29.332;-11.266;51.855;13.501;14.458;
1;183;13.500;2.500;-3.600;;-12.806;14.817;-5.408;29.511;-3.080;34.824;22.130;17.913;
1;184;14.000;2.500;-3.600;;5.126;13.191;-3.685;21.645;3.268;15.938;26.708;17.757;
1;185;14.500;2.500;-3.600;;14.850;13.736;-0.182;10.047;10.026;1.209;9.655;8.183;
1;186;15.000;2.500;-3.600;;16.417;15.152;1.917;-1.731;-9.445;-14.519;-46.001;-3.901;
1;187;0.000;3.000;-3.600;;19.385;12.740;-11.889;-4.889;-31.728;-21.508;-42.604;0.449;
1;188;0.500;3.000;-3.600;;14.295;11.119;-11.262;-14.024;12.749;11.742;35.323;-25.471;
1;189;1.000;3.000;-3.600;;4.626;9.287;-7.175;-21.162;5.528;37.288;33.128;-26.143;
