Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;Shear Forces [kN/m];;Axial Forces [kN/m];;;
;Point No.;X;Y;Z;;m_x;m_y;m_xy;v_x;v_y;n_x;n_y;n_xy;Surface Comment
1;53;10.500;0.500;-3.600;min;-0.023;0.000;-0.003;-0.015;-0.001;-0.028;-0.002;-0.011;
1;54;11.000;0.500;-3.600;max;0.021;0.000;0.003;0.019;0.003;0.027;0.003;0.014;
1;54;11.000;0.500;-3.600;min;-0.021;0.000;-0.003;-0.019;-0.003;-0.027;-0.003;-0.014;
1;55;11.500;0.500;-3.600;max;0.024;0.002;0.005;0.018;0.027;0.029;0.007;0.018;
1;55;11.500;0.500;-3.600;min;-0.024;-0.002;-0.005;-0.018;-0.027;-0.029;-0.007;-0.018;
1;56;12.000;0.500;-3.600;max;0.033;0.010;0.017;0.011;0.006;0.034;0.008;0.015;
1;56;12.000;0.500;-3.600;min;-0.033;-0.010;-0.017;-0.011;-0.006;-0.034;-0.008;-0.015;
1;57;12.500;0.500;-3.600;max;0.033;0.004;0.007;0.018;0.022;0.042;0.008;0.015;
1;57;12.500;0.500;-3.600;min;-0.033;-0.004;-0.007;-0.018;-0.022;-0.042;-0.008;-0.015;
1;58;13.000;0.500;-3.600;max;0.027;0.002;0.003;0.016;0.002;0.050;0.005;0.011;
1;58;13.000;0.500;-3.600;min;-0.027;-0.002;-0.003;-0.016;-0.002;-0.050;-0.005;-0.011;
1;59;13.500;0.500;-3.600;max;0.025;0.001;0.003;0.010;0.001;0.051;0.005;0.011;
1;59;13.500;0.500;-3.600;min;-0.025;-0.001;-0.003;-0.010;-0.001;-0.051;-0.005;-0.011;
1;60;14.000;0.500;-3.600;max;0.027;0.001;0.004;0.011;0.002;0.052;0.007;0.019;
1;60;14.000;0.500;-3.600;min;-0.027;-0.001;-0.004;-0.011;-0.002;-0.052;-0.007;-0.019;
1;61;14.500;0.500;-3.600;max;0.032;0.002;0.007;0.010;0.020;0.036;0.012;0.026;
1;61;14.500;0.500;-3.600;min;-0.032;-0.002;-0.007;-0.010;-0.020;-0.036;-0.012;-0.026;
1;62;15.000;0.500;-3.600;max;0.033;0.007;0.015;0.004;0.017;0.003;0.007;0.020;
1;62;15.000;0.500;-3.600;min;-0.033;-0.007;-0.015;-0.004;-0.017;-0.003;-0.007;-0.020;
1;63;0.000;1.000;-3.600;max;0.004;0.004;0.012;0.005;0.006;0.017;0.009;0.008;
1;63;0.000;1.000;-3.600;min;-0.004;-0.004;-0.012;-0.005;-0.006;-0.017;-0.009;-0.008;
1;64;0.500;1.000;-3.600;max;0.005;0.002;0.014;0.008;0.008;0.021;0.026;0.025;
1;64;0.500;1.000;-3.600;min;-0.005;-0.002;-0.014;-0.008;-0.008;-0.021;-0.026;-0.025;
1;65;1.000;1.000;-3.600;max;0.008;0.003;0.011;0.013;0.030;0.028;0.016;0.028;
1;65;1.000;1.000;-3.600;min;-0.008;-0.003;-0.011;-0.013;-0.030;-0.028;-0.016;-0.028;
1;66;1.500;1.000;-3.600;max;0.025;0.001;0.010;0.016;0.005;0.034;0.001;0.027;
1;66;1.500;1.000;-3.600;min;-0.025;-0.001;-0.010;-0.016;-0.005;-0.034;-0.001;-0.027;
1;67;2.000;1.000;-3.600;max;0.025;0.008;0.017;0.011;0.033;0.079;0.046;0.039;
1;67;2.000;1.000;-3.600;min;-0.025;-0.008;-0.017;-0.011;-0.033;-0.079;-0.046;-0.039;
1;68;2.500;1.000;-3.600;max;0.026;0.003;0.009;0.007;0.025;0.046;0.006;0.029;
1;68;2.500;1.000;-3.600;min;-0.026;-0.003;-0.009;-0.007;-0.025;-0.046;-0.006;-0.029;
1;69;3.000;1.000;-3.600;max;0.027;0.002;0.004;0.004;0.008;0.027;0.003;0.016;
1;69;3.000;1.000;-3.600;min;-0.027;-0.002;-0.004;-0.004;-0.008;-0.027;-0.003;-0.016;
1;70;3.500;1.000;-3.600;max;0.027;0.001;0.003;0.003;0.004;0.022;0.004;0.012;
1;70;3.500;1.000;-3.600;min;-0.027;-0.001;-0.003;-0.003;-0.004;-0.022;-0.004;-0.012;
1;71;4.000;1.000;-3.600;max;0.027;0.001;0.004;0.006;0.001;0.021;0.005;0.011;
