Surface No.;Grid;Grid Point Coordinates [m];;;;Principal Stresses [N/mm^2 ];;;;;;;;;;
;Point No.;X;Y;Z;;σ_1,+;σ_2,+;α_+ [deg];σ_1,-;σ_2,-;α_- [deg];σ_1,m;σ_2,m;α_m [deg];τ_max;Surface Comment
1;47;7.500;0.500;-3.600;max;0.001;0.000;83.07;0.001;0.000;81.88;0.000;0.000;68.95;0.000;
1;47;7.500;0.500;-3.600;min;0.000;-0.001;-82.10;0.000;-0.001;-82.90;0.000;0.000;-68.95;0.000;
1;48;8.000;0.500;-3.600;max;0.001;0.000;86.85;0.001;0.000;86.24;0.000;0.000;67.99;0.000;
1;48;8.000;0.500;-3.600;min;0.000;-0.001;-86.42;0.000;-0.001;-86.71;0.000;0.000;-67.99;0.000;
1;49;8.500;0.500;-3.600;max;0.001;0.000;85.89;0.001;0.000;84.65;0.000;0.000;66.08;0.000;
1;49;8.500;0.500;-3.600;min;0.000;-0.001;-85.51;0.000;-0.001;-85.17;0.000;0.000;-66.08;0.000;
1;50;9.000;0.500;-3.600;max;0.001;0.000;74.66;0.001;0.000;72.91;0.000;0.000;68.58;0.000;
1;50;9.000;0.500;-3.600;min;0.000;-0.001;-73.71;0.000;-0.001;-73.18;0.000;0.000;-68.58;0.000;
1;51;9.500;0.500;-3.600;max;0.001;0.000;85.19;0.001;0.000;83.51;0.000;0.000;68.23;0.000;
1;51;9.500;0.500;-3.600;min;0.000;-0.001;-84.59;0.000;-0.001;-84.36;0.000;0.000;-68.23;0.000;
1;52;10.000;0.500;-3.600;max;0.001;0.000;87.67;0.001;0.000;87.08;0.000;0.000;70.91;0.000;
1;52;10.000;0.500;-3.600;min;0.000;-0.001;-87.20;0.000;-0.001;-87.59;0.000;0.000;-70.91;0.000;
1;53;10.500;0.500;-3.600;max;0.001;0.000;84.68;0.001;0.000;83.37;0.000;0.000;71.74;0.000;
1;53;10.500;0.500;-3.600;min;0.000;-0.001;-83.55;0.000;-0.001;-84.57;0.000;0.000;-71.74;0.000;
1;54;11.000;0.500;-3.600;max;0.001;0.000;84.65;0.001;0.000;83.12;0.000;0.000;68.27;0.000;
1;54;11.000;0.500;-3.600;min;0.000;-0.001;-83.45;0.000;-0.001;-84.43;0.000;0.000;-68.27;0.000;
1;55;11.500;0.500;-3.600;max;0.001;0.000;82.93;0.001;0.000;80.29;0.000;0.000;67.72;0.000;
1;55;11.500;0.500;-3.600;min;0.000;-0.001;-81.52;0.000;-0.001;-82.09;0.000;0.000;-67.72;0.000;
1;56;12.000;0.500;-3.600;max;0.001;0.000;72.46;0.001;0.000;70.40;0.000;0.000;72.21;0.000;
1;56;12.000;0.500;-3.600;min;0.000;-0.001;-70.51;0.000;-0.001;-70.80;0.000;0.000;-72.21;0.000;
