Section No.;Member;Node;Location;;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];Flags;;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
2;27;;3.5555555555555562;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;23;4.0000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;8;0.0000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;0.4444444444444444;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;0.5000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;0.5000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;0.8888888888888888;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;1.0000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;1.0000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;1.3333333333333333;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;1.5000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;1.5000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;1.7777777777777777;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;2.0000000000000000;E | M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;2.0000000000000000;E | M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;2.2222222222222223;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;2.5000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;2.5000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;2.6666666666666670;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;3.0000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;3.0000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;3.1111111111111116;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;3.5000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;3.5000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;3.5555555555555562;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;26;4.0000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;31;11;0.0000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;31;;0.4444444444444444;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;31;;0.5000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;31;;0.5000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;31;;0.8888888888888888;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;31;;1.0000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;31;;1.0000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;31;;1.3333333333333333;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;31;;1.5000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;31;;1.5000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;31;;1.7777777777777777;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;31;;2.0000000000000000;E | M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;31;;2.0000000000000000;E | M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;31;;2.2222222222222223;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;31;;2.5000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;31;;2.5000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;31;;2.6666666666666670;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;31;;3.0000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;31;;3.0000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
