Surface No.;Grid;Grid Point Coordinates [m];;;;Axial stresses [N/mm^2 ];;;;Shear stresses [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_x,+;σ_y,+;σ_x,-;σ_y,-;τ_xy,+;τ_xy,-;τ_xz;τ_yz;Surface Comment
1;154;14.500;2.000;-3.600;;0.314;0.308;-0.314;-0.298;-0.014;0.009;0.024;0.003;
1;155;15.000;2.000;-3.600;;0.330;0.219;-0.371;-0.406;-0.008;0.003;-0.007;0.029;
1;156;0.000;2.500;-3.600;;0.306;0.210;-0.351;-0.404;-0.226;0.243;-0.011;-0.044;
1;157;0.500;2.500;-3.600;;0.238;0.318;-0.219;-0.232;-0.231;0.217;-0.043;0.017;
1;158;1.000;2.500;-3.600;;0.086;0.301;0.004;-0.102;-0.196;0.201;-0.061;0.021;
1;159;1.500;2.500;-3.600;;-0.229;0.266;0.392;-0.225;-0.203;0.195;-0.030;0.039;
1;160;2.000;2.500;-3.600;;-0.574;0.407;0.802;-0.414;-0.128;0.107;-0.012;-0.006;
1;161;2.500;2.500;-3.600;;-0.770;0.470;1.017;-0.451;-0.152;0.114;-0.028;-0.052;
1;162;3.000;2.500;-3.600;;-0.721;0.446;0.969;-0.388;-0.175;0.140;-0.018;-0.059;
1;163;3.500;2.500;-3.600;;-0.564;0.433;0.843;-0.364;-0.066;0.036;-0.018;0.023;
1;164;4.000;2.500;-3.600;;-0.651;0.389;0.957;-0.337;0.023;-0.051;-0.038;0.012;
1;165;4.500;2.500;-3.600;;-0.875;0.379;1.207;-0.348;0.098;-0.119;-0.057;-0.001;
1;166;5.000;2.500;-3.600;;-1.196;0.393;1.546;-0.375;0.124;-0.138;-0.063;-0.020;
1;167;5.500;2.500;-3.600;;-1.502;0.412;1.861;-0.392;0.092;-0.097;-0.050;-0.038;
1;168;6.000;2.500;-3.600;;-1.614;0.408;1.977;-0.373;0.015;-0.017;-0.007;-0.051;
1;169;6.500;2.500;-3.600;;-1.446;0.401;1.813;-0.364;-0.002;-0.006;0.015;-0.012;
1;170;7.000;2.500;-3.600;;-1.340;0.364;1.714;-0.332;0.011;-0.019;0.009;-0.006;
1;171;7.500;2.500;-3.600;;-1.314;0.349;1.690;-0.321;0.045;-0.049;-0.007;-0.004;
1;172;8.000;2.500;-3.600;;-1.399;0.359;1.773;-0.329;0.076;-0.075;-0.021;-0.009;
1;173;8.500;2.500;-3.600;;-1.553;0.390;1.923;-0.356;0.081;-0.079;-0.025;-0.017;
1;174;9.000;2.500;-3.600;;-1.742;0.391;2.108;-0.358;0.056;-0.057;0.002;-0.056;
1;175;9.500;2.500;-3.600;;-1.644;0.397;2.007;-0.378;-0.006;0.007;0.043;-0.034;
1;176;10.000;2.500;-3.600;;-1.388;0.381;1.743;-0.364;-0.032;0.040;0.051;-0.020;
1;177;10.500;2.500;-3.600;;-1.135;0.372;1.475;-0.345;-0.014;0.028;0.043;-0.006;
1;178;11.000;2.500;-3.600;;-0.987;0.390;1.307;-0.345;0.033;-0.015;0.024;0.001;
1;179;11.500;2.500;-3.600;;-0.970;0.441;1.271;-0.387;0.073;-0.058;0.007;0.000;
1;180;12.000;2.500;-3.600;;-1.165;0.456;1.451;-0.413;0.093;-0.078;0.013;-0.052;
1;181;12.500;2.500;-3.600;;-1.116;0.458;1.370;-0.424;-0.020;0.056;0.064;-0.057;
1;182;13.000;2.500;-3.600;;-0.714;0.436;0.921;-0.382;-0.089;0.147;0.088;-0.034;
1;183;13.500;2.500;-3.600;;-0.238;0.400;0.377;-0.311;-0.094;0.166;0.089;-0.009;
1;184;14.000;2.500;-3.600;;0.155;0.370;-0.091;-0.263;-0.053;0.124;0.065;0.010;
1;185;14.500;2.500;-3.600;;0.359;0.349;-0.354;-0.310;0.012;0.021;0.030;0.030;
1;186;15.000;2.500;-3.600;;0.365;0.272;-0.423;-0.456;0.038;-0.054;-0.005;-0.028;
1;187;0.000;3.000;-3.600;;0.422;0.221;-0.508;-0.391;-0.284;0.286;-0.015;-0.095;
1;188;0.500;3.000;-3.600;;0.367;0.338;-0.320;-0.196;-0.321;0.219;-0.042;0.038;
1;189;1.000;3.000;-3.600;;0.186;0.289;-0.036;-0.157;-0.224;0.120;-0.063;0.017;
1;190;1.500;3.000;-3.600;;-0.129;0.270;0.371;-0.209;-0.134;0.059;-0.078;0.005;
1;191;2.000;3.000;-3.600;;-0.529;0.266;0.820;-0.263;-0.087;0.024;-0.082;-0.039;
1;192;2.500;3.000;-3.600;;-0.881;0.257;1.192;-0.257;-0.157;0.107;-0.053;-0.102;
1;193;3.000;3.000;-3.600;;-0.725;0.318;1.032;-0.252;-0.300;0.261;0.013;-0.132;
1;194;3.500;3.000;-3.600;;-0.362;0.367;0.680;-0.294;-0.116;0.057;-0.014;0.047;
1;195;4.000;3.000;-3.600;;-0.502;0.309;0.841;-0.271;0.036;-0.087;-0.052;0.010;
1;196;4.500;3.000;-3.600;;-0.805;0.287;1.161;-0.266;0.149;-0.188;-0.079;-0.010;
1;197;5.000;3.000;-3.600;;-1.216;0.269;1.581;-0.260;0.198;-0.224;-0.093;-0.033;
1;198;5.500;3.000;-3.600;;-1.647;0.258;2.018;-0.250;0.138;-0.149;-0.078;-0.087;
