Member No.;Node;Location;;;Axial and Shear Strains [‰];;;Torsional and Bending Strains [mrad/m];;;
;No.;x [m];Flags;;ε_x;γ_xy / γ_xu;γ_xz / γ_xv;κ_x;κ_y / κ_u;κ_z / κ_v;Section (Material) | Member Comment
5;;2.1600000000000001;E;min;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;2.5200000000000000;E;max;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;2.5200000000000000;E;min;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;2.8799999999999999;E;max;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;2.8799999999999999;E;min;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;3.2399999999999998;E;max;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;3.2399999999999998;E;min;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;8;3.6000000000000001;M;max;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;8;3.6000000000000001;M;min;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
Extremes;7;0.0000000000000000;M;ε_x;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;7;0.0000000000000000;M;ε_x;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;7;0.0000000000000000;M;γ_xy;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;7;0.0000000000000000;M;γ_xy;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;7;0.0000000000000000;M;γ_xz;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;7;0.0000000000000000;M;γ_xz;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;7;0.0000000000000000;M;κ_x;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;7;0.0000000000000000;M;κ_x;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;7;0.0000000000000000;M;κ_y;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;7;0.0000000000000000;M;κ_y;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;7;0.0000000000000000;M;κ_z;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;7;0.0000000000000000;M;κ_z;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
Total;;;;;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;;;;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
;;;;;;;;;;;
6;8;0.0000000000000000;M;max;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
6;8;0.0000000000000000;M;min;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
6;;0.4444444444444444;E;max;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
6;;0.4444444444444444;E;min;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
6;;0.8888888888888887;E;max;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
