Mode No.;Node;Normalized Displacements [--];;;Normalized Rotations [--];;;
;No.;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Node Comment
5;23;0.00056;-0.00272;-0.00492;-0.00093;0.00018;0.00019;concrete top + steel bottom
5;24;-0.30729;0.02819;-0.00489;0.00906;0.11084;0.07954;steel top
5;25;0.00000;0.00000;-0.00382;0.00000;0.00000;0.00000;concrete part
5;26;0.00060;-0.00221;-0.00382;-0.00085;-0.00054;0.00017;concrete top + steel bottom
5;27;-0.08561;-0.00681;-0.00383;-0.00113;0.03243;0.19676;steel top
5;28;0.00000;0.00000;-0.00111;0.00000;0.00000;0.00000;concrete part
5;29;0.00062;-0.00171;-0.00111;-0.00084;-0.00079;0.00016;concrete top + steel bottom
5;30;-0.11807;-0.00626;-0.00111;-0.00113;0.04468;0.27218;steel top
5;31;0.00000;0.00000;0.00180;0.00000;0.00000;0.00000;concrete part
5;32;0.00064;-0.00123;0.00180;-0.00089;-0.00065;0.00016;concrete top + steel bottom
5;33;-0.10557;-0.00610;0.00180;-0.00123;0.03995;0.24759;steel top
5;34;0.00000;0.00000;0.00353;0.00000;0.00000;0.00000;concrete part
5;35;0.00064;-0.00077;0.00353;-0.00091;-0.00023;0.00016;concrete top + steel bottom
5;36;-0.06020;-0.01624;0.00349;-0.00405;0.00314;0.00258;steel top
5;37;0.00107;-0.00309;-0.00123;-0.00130;0.00067;0.00016;opening node
5;38;0.00092;-0.00308;-0.00250;-0.00127;0.00041;0.00017;opening node
5;39;0.00092;-0.00290;-0.00284;-0.00102;0.00023;0.00018;opening node
5;40;0.00108;-0.00290;-0.00181;-0.00106;0.00043;0.00016;opening node
