Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;Shear Forces [kN/m];;Axial Forces [kN/m];;;
;Point No.;X;Y;Z;;m_x;m_y;m_xy;v_x;v_y;n_x;n_y;n_xy;Surface Comment
1;113;9.500;1.500;-3.600;;-66.349;-2.556;1.204;8.939;5.901;67.663;4.195;-1.357;
1;114;10.000;1.500;-3.600;;-59.850;-2.339;2.102;12.247;2.378;66.138;3.794;-2.991;
1;115;10.500;1.500;-3.600;;-51.976;-2.380;1.990;12.168;-0.978;63.127;5.901;-4.249;
1;116;11.000;1.500;-3.600;;-45.220;-2.371;0.824;8.987;-3.497;59.133;9.488;-5.110;
1;117;11.500;1.500;-3.600;;-41.605;-1.445;-0.829;5.223;-4.123;55.083;11.408;-4.484;
1;118;12.000;1.500;-3.600;;-46.228;-0.711;-2.249;3.969;11.849;52.241;8.663;-3.810;
1;119;12.500;1.500;-3.600;;-45.942;-0.243;1.273;15.282;11.985;46.563;5.921;-7.400;
1;120;13.000;1.500;-3.600;;-33.578;-0.392;3.796;22.975;6.116;37.966;9.132;-11.849;
1;121;13.500;1.500;-3.600;;-16.918;-1.556;4.429;25.448;-0.309;25.475;15.532;-14.543;
1;122;14.000;1.500;-3.600;;-0.747;-2.749;3.043;21.222;-6.275;11.695;19.160;-14.647;
1;123;14.500;1.500;-3.600;;10.432;-2.877;0.097;12.669;-12.349;0.998;7.391;-7.937;
1;124;15.000;1.500;-3.600;;13.500;-0.759;-3.124;3.147;10.045;-10.354;-31.849;1.012;
1;125;0.000;2.000;-3.600;;11.441;-1.638;-4.979;-4.136;1.615;-1.914;-29.308;9.018;
1;126;0.500;2.000;-3.600;;6.937;-3.394;-6.274;-17.704;-1.836;14.483;9.797;10.481;
1;127;1.000;2.000;-3.600;;-2.833;-5.297;-6.763;-47.688;-4.972;41.146;61.091;21.923;
1;128;1.500;2.000;-3.600;;-20.537;-0.574;-7.384;-87.171;4.568;36.691;-0.959;3.620;
1;129;2.000;2.000;-3.600;;-23.787;2.285;1.002;-53.128;31.164;20.841;-10.320;-6.813;
1;130;2.500;2.000;-3.600;;-30.285;1.357;-2.099;-17.525;-5.154;27.380;9.690;-2.912;
1;131;3.000;2.000;-3.600;;-32.275;0.523;-1.823;-6.307;2.675;37.628;9.335;1.404;
1;132;3.500;2.000;-3.600;;-31.198;-1.144;-0.506;-9.301;4.576;48.331;12.992;0.491;
1;133;4.000;2.000;-3.600;;-36.396;-2.241;0.529;-11.501;2.824;55.045;11.191;0.355;
1;134;4.500;2.000;-3.600;;-44.568;-1.939;1.066;-13.505;1.742;60.677;7.470;0.363;
1;135;5.000;2.000;-3.600;;-53.723;-1.201;1.186;-12.731;1.276;64.788;4.821;0.363;
1;136;5.500;2.000;-3.600;;-60.873;-0.905;1.235;-8.809;1.157;67.184;4.954;0.285;
1;137;6.000;2.000;-3.600;;-62.352;-1.233;1.168;-2.711;5.340;68.416;7.187;0.071;
1;138;6.500;2.000;-3.600;;-60.071;-1.937;1.204;-0.556;1.272;69.195;7.688;-0.179;
1;139;7.000;2.000;-3.600;;-59.294;-2.834;1.221;-0.350;0.852;70.161;7.283;-0.310;
1;140;7.500;2.000;-3.600;;-59.564;-3.092;1.028;-1.614;0.493;70.690;6.806;-0.364;
1;141;8.000;2.000;-3.600;;-61.236;-2.836;0.797;-2.649;0.593;70.536;7.016;-0.395;
1;142;8.500;2.000;-3.600;;-63.535;-2.094;0.710;-1.918;0.867;69.871;7.393;-0.449;
1;143;9.000;2.000;-3.600;;-66.418;-1.612;0.649;1.171;4.631;69.275;7.109;-0.471;
1;144;9.500;2.000;-3.600;;-65.308;-1.347;0.694;6.948;1.101;68.397;4.972;-0.498;
1;145;10.000;2.000;-3.600;;-59.573;-1.580;0.700;10.221;0.748;66.566;4.610;-0.558;
1;146;10.500;2.000;-3.600;;-52.396;-2.042;0.526;10.622;0.482;63.425;6.674;-0.578;
1;147;11.000;2.000;-3.600;;-46.318;-2.018;0.339;8.828;0.637;59.417;9.601;-0.585;
1;148;11.500;2.000;-3.600;;-42.797;-0.736;0.303;7.158;0.943;55.332;10.653;-0.596;
1;149;12.000;2.000;-3.600;;-44.655;0.657;0.313;5.933;4.295;52.091;8.850;-0.510;
1;150;12.500;2.000;-3.600;;-43.554;1.155;0.358;13.422;1.006;44.935;8.205;-0.451;
1;151;13.000;2.000;-3.600;;-32.484;0.610;0.330;19.884;0.614;35.086;11.267;-0.508;
1;152;13.500;2.000;-3.600;;-17.286;-1.115;0.098;22.158;0.323;22.199;17.135;-0.595;
1;153;14.000;2.000;-3.600;;-2.216;-3.015;-0.231;18.988;0.471;9.305;17.990;-0.734;
1;154;14.500;2.000;-3.600;;7.695;-2.895;-0.340;12.475;0.606;0.351;2.286;-0.873;
1;155;15.000;2.000;-3.600;;11.021;-0.746;-0.137;5.334;6.424;-7.338;-33.152;-0.775;
1;156;0.000;2.500;-3.600;;13.245;-0.086;-8.183;-8.318;-1.415;-8.176;-33.925;2.749;
1;157;0.500;2.500;-3.600;;8.813;-2.656;-7.330;-14.622;10.951;4.104;15.777;-3.258;
1;158;1.000;2.500;-3.600;;-1.417;-3.103;-6.440;-16.760;7.354;17.360;35.776;-0.051;
1;159;1.500;2.500;-3.600;;-17.464;0.324;-5.088;-12.276;4.580;30.970;7.465;-2.587;
1;160;2.000;2.500;-3.600;;-29.864;3.257;-2.083;-8.627;1.674;43.274;-1.847;-4.156;
1;161;2.500;2.500;-3.600;;-34.684;2.425;-3.057;-6.865;-10.479;46.725;2.592;-7.445;
1;162;3.000;2.500;-3.600;;-30.467;0.589;-4.835;-4.755;-4.103;46.796;11.207;-6.723;
1;163;3.500;2.500;-3.600;;-27.811;-0.513;-1.298;-9.605;10.518;52.442;13.761;-6.066;
1;164;4.000;2.500;-3.600;;-34.240;-1.437;1.560;-13.655;7.042;58.088;10.795;-5.869;
1;165;4.500;2.500;-3.600;;-43.867;-1.281;3.204;-16.148;2.626;63.242;6.498;-4.403;
1;166;5.000;2.500;-3.600;;-54.156;-0.880;3.170;-14.729;-1.644;66.990;3.926;-2.793;
1;167;5.500;2.500;-3.600;;-62.047;-0.781;1.963;-9.660;-5.479;68.979;4.270;-0.963;
1;168;6.000;2.500;-3.600;;-62.973;-1.054;-0.104;-1.842;-3.001;69.777;7.594;-0.389;
1;169;6.500;2.500;-3.600;;-59.528;-1.526;0.128;0.022;2.068;70.790;8.099;-1.493;
1;170;7.000;2.500;-3.600;;-58.885;-2.274;0.755;-0.403;2.474;72.079;6.975;-1.430;
1;171;7.500;2.500;-3.600;;-59.387;-2.468;1.203;-1.902;2.035;72.720;6.048;-0.546;
1;172;8.000;2.500;-3.600;;-61.077;-2.366;1.504;-3.037;1.601;72.413;6.622;0.379;
1;173;8.500;2.500;-3.600;;-63.403;-1.823;1.756;-2.607;0.532;71.380;7.611;0.641;
1;174;9.000;2.500;-3.600;;-67.020;-1.567;1.595;0.621;-3.994;70.499;7.396;-0.115;
1;175;9.500;2.500;-3.600;;-66.098;-1.301;0.096;7.559;-4.035;69.902;4.369;0.392;
1;176;10.000;2.500;-3.600;;-59.963;-1.363;-0.792;11.413;-1.254;68.294;3.850;1.926;
1;177;10.500;2.500;-3.600;;-52.221;-1.552;-0.944;12.054;1.630;65.174;5.903;3.157;
1;178;11.000;2.500;-3.600;;-45.424;-1.442;-0.073;9.638;4.379;61.045;9.490;4.009;
1;179;11.500;2.500;-3.600;;-41.508;-0.264;1.492;6.544;5.554;56.844;11.443;3.368;
1;180;12.000;2.500;-3.600;;-45.362;0.730;2.865;3.992;-3.036;53.854;8.761;2.857;
1;181;12.500;2.500;-3.600;;-45.745;0.927;-0.630;13.865;-10.323;48.025;5.992;6.577;
1;182;13.000;2.500;-3.600;;-33.800;0.537;-3.214;22.101;-5.238;39.234;9.219;10.954;
1;183;13.500;2.500;-3.600;;-17.336;-0.739;-4.223;25.279;0.662;26.440;15.704;13.524;
1;184;14.000;2.500;-3.600;;-1.211;-1.775;-3.318;21.844;6.787;12.269;19.468;13.407;
1;185;14.500;2.500;-3.600;;10.166;-1.534;-0.641;14.052;13.073;1.189;7.581;6.391;
1;186;15.000;2.500;-3.600;;14.039;0.847;2.895;5.219;2.683;-10.607;-32.504;-2.510;
1;187;0.000;3.000;-3.600;;21.532;3.642;-11.626;-7.225;-3.668;-15.491;-29.363;-0.386;
1;188;0.500;3.000;-3.600;;14.557;0.814;-7.738;-18.174;23.902;8.740;26.071;-19.445;
1;189;1.000;3.000;-3.600;;1.253;-0.320;-3.549;-24.926;9.983;27.345;23.867;-20.131;
1;190;1.500;3.000;-3.600;;-15.029;0.363;-1.609;-25.373;2.960;44.308;10.983;-14.906;
1;191;2.000;3.000;-3.600;;-29.869;0.544;-1.597;-21.889;-6.751;53.563;-0.020;-12.616;
1;192;2.500;3.000;-3.600;;-39.796;-0.934;-4.748;-11.688;-20.885;57.656;-1.351;-9.928;
1;193;3.000;3.000;-3.600;;-29.443;-0.719;-9.517;2.800;-10.854;57.205;12.709;-7.239;
1;194;3.500;3.000;-3.600;;-20.330;0.758;-1.657;-10.659;23.789;59.622;15.243;-11.868;
1;195;4.000;3.000;-3.600;;-30.172;-0.171;3.248;-19.753;8.986;64.018;7.983;-10.733;
1;196;4.500;3.000;-3.600;;-42.938;-0.633;5.278;-22.281;2.374;67.936;4.308;-8.141;
1;197;5.000;3.000;-3.600;;-55.544;-1.256;5.019;-20.835;-2.715;69.949;2.062;-5.311;
1;198;5.500;3.000;-3.600;;-65.895;-2.264;2.426;-14.520;-13.384;71.104;1.825;-2.300;
1;199;6.000;3.000;-3.600;;-65.708;-2.478;-2.071;0.800;-14.099;71.335;8.440;-0.640;
1;200;6.500;3.000;-3.600;;-57.640;-1.288;-0.669;2.406;7.375;73.057;8.837;-3.831;
1;201;7.000;3.000;-3.600;;-57.638;-1.544;0.686;-0.882;3.845;75.297;5.103;-2.815;
1;202;7.500;3.000;-3.600;;-58.838;-1.603;1.372;-2.512;2.344;76.673;4.193;-0.679;
1;203;8.000;3.000;-3.600;;-60.339;-1.814;1.840;-3.803;2.761;75.502;4.763;1.494;
1;204;8.500;3.000;-3.600;;-62.557;-1.938;2.454;-5.618;3.862;73.480;8.004;2.684;
1;205;9.000;3.000;-3.600;;-69.576;-3.155;2.937;-1.207;-15.428;71.869;8.122;0.138;
1;206;9.500;3.000;-3.600;;-68.747;-2.536;-0.166;11.664;-9.090;71.710;2.254;1.427;
1;207;10.000;3.000;-3.600;;-60.971;-1.597;-2.080;15.810;-1.647;70.714;2.147;4.105;
1;208;10.500;3.000;-3.600;;-51.701;-0.970;-2.316;16.280;1.783;68.722;4.048;6.569;
1;209;11.000;3.000;-3.600;;-42.693;-0.466;-0.957;13.393;6.711;64.500;7.379;8.541;
1;210;11.500;3.000;-3.600;;-36.746;0.678;2.515;5.345;17.384;59.803;13.858;8.600;
1;211;12.000;3.000;-3.600;;-48.434;-0.749;6.971;-1.780;-12.892;56.973;8.605;4.462;
1;212;12.500;3.000;-3.600;;-53.048;-1.764;-1.453;19.544;-26.291;54.335;-0.562;13.043;
1;213;13.000;3.000;-3.600;;-37.258;-0.633;-6.588;31.227;-7.672;49.016;5.171;20.349;
1;214;13.500;3.000;-3.600;;-17.454;-0.201;-8.121;34.052;0.677;40.581;11.504;26.603;
1;215;14.000;3.000;-3.600;;2.626;-0.059;-6.654;31.402;9.213;25.624;17.343;29.561;
1;216;14.500;3.000;-3.600;;18.188;1.811;-0.952;20.961;29.591;8.734;21.941;22.577;
1;217;15.000;3.000;-3.600;;25.531;5.314;6.951;5.467;0.164;-15.030;-27.287;-0.715;
1;218;0.000;3.500;-3.600;;46.803;11.728;-18.965;-35.007;1.659;-4.612;-4.574;-38.039;
1;219;0.500;3.500;-3.600;;27.437;2.508;-5.582;-39.531;27.957;51.694;19.891;-48.548;
1;220;1.000;3.500;-3.600;;4.306;0.897;-0.852;-35.885;3.143;74.601;13.073;-35.365;
1;221;1.500;3.500;-3.600;;-13.871;0.144;0.964;-29.406;0.693;68.533;5.972;-19.151;
1;222;2.000;3.500;-3.600;;-31.435;-0.465;-0.112;-33.788;-1.380;62.341;0.504;-14.628;
1;223;2.500;3.500;-3.600;;-51.444;-3.768;-4.002;-34.052;-27.703;63.351;-2.564;-13.921;
1;224;3.000;3.500;-3.600;;-26.522;-3.867;-18.768;-20.553;-18.467;65.353;16.447;-14.024;
1;225;3.500;3.500;-3.600;;-6.682;2.350;-0.604;-28.451;34.824;72.008;9.373;-18.075;
1;226;4.000;3.500;-3.600;;-26.884;0.741;4.361;-29.636;3.221;77.177;4.420;-13.061;
1;227;4.500;3.500;-3.600;;-42.511;0.023;6.072;-23.231;1.222;72.372;1.908;-7.671;
1;228;5.000;3.500;-3.600;;-57.011;-0.854;5.177;-25.822;-0.264;69.364;0.665;-5.870;
1;229;5.500;3.500;-3.600;;-72.949;-3.881;2.461;-30.516;-11.900;70.418;-0.183;-4.801;
1;230;6.000;3.500;-3.600;;-69.597;-5.859;-6.211;-11.050;-31.921;72.543;10.536;-5.428;
1;231;6.500;3.500;-3.600;;-52.830;-0.980;-0.346;0.118;16.980;78.050;5.344;-7.789;
