Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Stresses - Bach [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_eqv,Bach,Max;σ_eqv,Bach,+;σ_eqv,Bach,-;σ_eqv,Bach,m;Surface Comment
1;253;2.000;4.000;-3.600;;0.386;0.380;0.386;0.003;
1;254;2.500;4.000;-3.600;;0.477;0.477;0.452;0.013;
1;255;3.000;4.000;-3.600;;0.717;0.717;0.598;0.060;
1;256;3.500;4.000;-3.600;;0.196;0.196;0.128;0.046;
1;257;4.000;4.000;-3.600;;0.389;0.336;0.389;0.028;
1;258;4.500;4.000;-3.600;;0.504;0.462;0.504;0.021;
1;259;5.000;4.000;-3.600;;0.542;0.509;0.542;0.016;
1;260;5.500;4.000;-3.600;;0.471;0.450;0.471;0.012;
1;261;6.000;4.000;-3.600;;0.372;0.372;0.319;0.029;
1;262;6.500;4.000;-3.600;;0.248;0.187;0.248;0.034;
1;263;7.000;4.000;-3.600;;0.523;0.470;0.523;0.027;
1;264;7.500;4.000;-3.600;;0.579;0.528;0.579;0.025;
1;265;8.000;4.000;-3.600;;0.548;0.495;0.548;0.027;
1;266;8.500;4.000;-3.600;;0.324;0.260;0.324;0.034;
1;267;9.000;4.000;-3.600;;0.292;0.292;0.236;0.029;
1;268;9.500;4.000;-3.600;;0.407;0.383;0.407;0.013;
1;269;10.000;4.000;-3.600;;0.541;0.506;0.541;0.017;
1;270;10.500;4.000;-3.600;;0.530;0.486;0.530;0.022;
1;271;11.000;4.000;-3.600;;0.436;0.381;0.436;0.028;
1;272;11.500;4.000;-3.600;;0.135;0.105;0.135;0.046;
1;273;12.000;4.000;-3.600;;0.553;0.553;0.460;0.061;
1;274;12.500;4.000;-3.600;;0.438;0.438;0.411;0.015;
1;275;13.000;4.000;-3.600;;0.407;0.400;0.407;0.003;
1;276;13.500;4.000;-3.600;;0.327;0.300;0.327;0.014;
1;277;14.000;4.000;-3.600;;0.180;0.144;0.180;0.026;
1;278;14.500;4.000;-3.600;;0.471;0.471;0.376;0.051;
1;279;15.000;4.000;-3.600;;1.462;1.462;1.274;0.095;
Extremes;1;0.000;0.000;-3.600;σ_eqv,Bach,Max;1.597;1.597;1.420;0.089;
1;3;1.000;0.000;-3.600;σ_eqv,Bach,Max;0.101;0.080;0.101;0.028;
1;1;0.000;0.000;-3.600;σ_eqv,Bach,+;1.597;1.597;1.420;0.089;
1;3;1.000;0.000;-3.600;σ_eqv,Bach,+;0.101;0.080;0.101;0.028;
1;249;0.000;4.000;-3.600;σ_eqv,Bach,-;1.593;1.593;1.424;0.086;
1;3;1.000;0.000;-3.600;σ_eqv,Bach,-;0.101;0.080;0.101;0.028;
1;279;15.000;4.000;-3.600;σ_eqv,Bach,m;1.462;1.462;1.274;0.095;
1;5;2.000;0.000;-3.600;σ_eqv,Bach,m;0.393;0.391;0.393;0.001;
Total;;;;;;1.597;1.597;1.424;0.095;
1;;;;;;0.101;0.080;0.101;0.001;
;;;;;;;;;;
;Total max/min values with corresponding values;;;;;;;;;
1;1;0.000;0.000;-3.600;σ_eqv,Bach,Max;1.597;1.597;1.420;0.089;
1;3;1.000;0.000;-3.600;σ_eqv,Bach,Max;0.101;0.080;0.101;0.028;
1;1;0.000;0.000;-3.600;σ_eqv,Bach,+;1.597;1.597;1.420;0.089;
1;3;1.000;0.000;-3.600;σ_eqv,Bach,+;0.101;0.080;0.101;0.028;
1;249;0.000;4.000;-3.600;σ_eqv,Bach,-;1.593;1.593;1.424;0.086;
1;3;1.000;0.000;-3.600;σ_eqv,Bach,-;0.101;0.080;0.101;0.028;
1;279;15.000;4.000;-3.600;σ_eqv,Bach,m;1.462;1.462;1.274;0.095;
1;5;2.000;0.000;-3.600;σ_eqv,Bach,m;0.393;0.391;0.393;0.001;
;;;;;;;;;;
Total;;;;;;1.597;1.597;1.424;0.095;
max/min;;;;;;0.101;0.080;0.101;0.001;
