Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Stresses - Tresca [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_eqv,Tresca,Max;σ_eqv,Tresca,+;σ_eqv,Tresca,-;σ_eqv,Tresca,m;Surface Comment
1;214;13.500;3.000;-3.600;;0.685;0.455;0.685;0.121;
1;215;14.000;3.000;-3.600;;0.440;0.217;0.440;0.119;
1;216;14.500;3.000;-3.600;;0.455;0.455;0.441;0.094;
1;217;15.000;3.000;-3.600;;0.698;0.632;0.698;0.055;
1;218;0.000;3.500;-3.600;;1.371;1.371;1.278;0.152;
1;219;0.500;3.500;-3.600;;0.835;0.835;0.558;0.204;
1;220;1.000;3.500;-3.600;;0.287;0.287;0.109;0.187;
1;221;1.500;3.500;-3.600;;0.478;0.213;0.478;0.148;
1;222;2.000;3.500;-3.600;;0.880;0.631;0.880;0.137;
1;223;2.500;3.500;-3.600;;1.365;1.123;1.365;0.143;
1;224;3.000;3.500;-3.600;;1.415;1.292;1.327;0.140;
1;225;3.500;3.500;-3.600;;0.345;0.137;0.345;0.154;
1;226;4.000;3.500;-3.600;;0.850;0.541;0.850;0.159;
1;227;4.500;3.500;-3.600;;1.206;0.918;1.206;0.146;
1;228;5.000;3.500;-3.600;;1.519;1.240;1.519;0.140;
1;229;5.500;3.500;-3.600;;1.894;1.612;1.894;0.143;
1;230;6.000;3.500;-3.600;;1.827;1.574;1.827;0.147;
1;231;6.500;3.500;-3.600;;1.424;1.112;1.424;0.158;
1;232;7.000;3.500;-3.600;;1.521;1.191;1.521;0.165;
1;233;7.500;3.500;-3.600;;1.571;1.245;1.571;0.163;
1;234;8.000;3.500;-3.600;;1.595;1.270;1.595;0.163;
1;235;8.500;3.500;-3.600;;1.592;1.283;1.592;0.156;
1;236;9.000;3.500;-3.600;;1.901;1.614;1.901;0.147;
1;237;9.500;3.500;-3.600;;1.907;1.622;1.907;0.143;
1;238;10.000;3.500;-3.600;;1.630;1.347;1.630;0.142;
1;239;10.500;3.500;-3.600;;1.386;1.093;1.386;0.147;
1;240;11.000;3.500;-3.600;;1.120;0.826;1.120;0.156;
1;241;11.500;3.500;-3.600;;0.780;0.561;0.780;0.146;
1;242;12.000;3.500;-3.600;;1.739;1.616;1.722;0.128;
1;243;12.500;3.500;-3.600;;1.725;1.499;1.725;0.140;
1;244;13.000;3.500;-3.600;;1.174;0.918;1.174;0.136;
1;245;13.500;3.500;-3.600;;0.813;0.494;0.813;0.160;
1;246;14.000;3.500;-3.600;;0.586;0.376;0.586;0.211;
1;247;14.500;3.500;-3.600;;0.911;0.911;0.727;0.219;
1;248;15.000;3.500;-3.600;;1.597;1.597;1.524;0.158;
1;249;0.000;4.000;-3.600;;3.159;3.159;1.656;0.844;
1;250;0.500;4.000;-3.600;;1.531;1.531;0.647;0.472;
1;251;1.000;4.000;-3.600;;0.409;0.409;0.133;0.260;
1;252;1.500;4.000;-3.600;;0.510;0.179;0.510;0.177;
1;253;2.000;4.000;-3.600;;0.936;0.688;0.936;0.125;
1;254;2.500;4.000;-3.600;;1.812;1.656;1.812;0.086;
1;255;3.000;4.000;-3.600;;2.635;2.635;2.307;0.228;
1;256;3.500;4.000;-3.600;;0.580;0.580;0.162;0.241;
1;257;4.000;4.000;-3.600;;0.815;0.497;0.815;0.172;
1;258;4.500;4.000;-3.600;;1.166;0.884;1.166;0.146;
1;259;5.000;4.000;-3.600;;1.556;1.306;1.556;0.127;
1;260;5.500;4.000;-3.600;;2.152;1.931;2.152;0.111;
1;261;6.000;4.000;-3.600;;2.033;1.754;2.033;0.179;
1;262;6.500;4.000;-3.600;;1.323;0.919;1.323;0.202;
1;263;7.000;4.000;-3.600;;1.529;1.187;1.529;0.171;
1;264;7.500;4.000;-3.600;;1.574;1.247;1.574;0.166;
1;265;8.000;4.000;-3.600;;1.612;1.276;1.612;0.168;
1;266;8.500;4.000;-3.600;;1.554;1.171;1.554;0.193;
1;267;9.000;4.000;-3.600;;2.069;1.749;2.069;0.175;
1;268;9.500;4.000;-3.600;;2.095;1.862;2.095;0.119;
1;269;10.000;4.000;-3.600;;1.664;1.404;1.664;0.130;
1;270;10.500;4.000;-3.600;;1.384;1.095;1.384;0.147;
1;271;11.000;4.000;-3.600;;1.113;0.773;1.113;0.172;
1;272;11.500;4.000;-3.600;;0.554;0.081;0.554;0.242;
1;273;12.000;4.000;-3.600;;2.854;2.854;2.428;0.263;
1;274;12.500;4.000;-3.600;;2.198;2.134;2.198;0.053;
1;275;13.000;4.000;-3.600;;1.194;1.007;1.194;0.099;
1;276;13.500;4.000;-3.600;;0.626;0.388;0.626;0.169;
1;277;14.000;4.000;-3.600;;0.571;0.571;0.354;0.269;
1;278;14.500;4.000;-3.600;;1.799;1.799;0.916;0.497;
1;279;15.000;4.000;-3.600;;3.864;3.864;2.115;0.896;
Extremes;1;0.000;0.000;-3.600;σ_eqv,Tresca,Max;4.075;4.075;2.246;0.947;
1;153;14.000;2.000;-3.600;σ_eqv,Tresca,Max;0.109;0.043;0.109;0.036;
1;1;0.000;0.000;-3.600;σ_eqv,Tresca,+;4.075;4.075;2.246;0.947;
1;153;14.000;2.000;-3.600;σ_eqv,Tresca,+;0.109;0.043;0.109;0.036;
1;7;3.000;0.000;-3.600;σ_eqv,Tresca,-;3.000;3.000;2.559;0.262;
1;189;1.000;3.000;-3.600;σ_eqv,Tresca,-;0.255;0.255;0.095;0.092;
1;1;0.000;0.000;-3.600;σ_eqv,Tresca,m;4.075;4.075;2.246;0.947;
1;154;14.500;2.000;-3.600;σ_eqv,Tresca,m;0.258;0.251;0.258;0.005;
Total;;;;;;4.075;4.075;2.559;0.947;
1;;;;;;0.109;0.043;0.095;0.005;
;;;;;;;;;;
;Total max/min values with corresponding values;;;;;;;;;
