Surface No.;Grid;Grid Point Coordinates [m];;;;Principal Stresses [N/mm^2 ];;;;;;;;;;
;Point No.;X;Y;Z;;σ_1,+;σ_2,+;α_+ [deg];σ_1,-;σ_2,-;α_- [deg];σ_1,m;σ_2,m;α_m [deg];τ_max;Surface Comment
1;96;1.000;1.500;-3.600;;0.349;0.001;88.36;0.002;-0.360;-2.68;0.003;-0.007;-23.27;0.033;
1;98;2.000;1.500;-3.600;;0.498;-0.012;89.06;0.020;-0.487;-1.42;0.007;0.002;-58.04;0.041;
1;99;2.500;1.500;-3.600;;0.344;0.186;-87.55;-0.196;-0.343;0.69;0.001;-0.006;-67.73;0.012;
1;100;3.000;1.500;-3.600;;0.301;0.155;-83.86;-0.179;-0.307;4.82;-0.003;-0.013;-76.01;0.033;
1;101;3.500;1.500;-3.600;;0.303;0.206;83.39;-0.231;-0.317;-10.94;-0.005;-0.014;-74.17;0.028;
1;102;4.000;1.500;-3.600;;0.327;0.278;44.39;-0.291;-0.356;-55.54;-0.004;-0.017;-76.73;0.024;
1;103;4.500;1.500;-3.600;;0.387;0.297;10.17;-0.303;-0.424;-80.28;-0.003;-0.019;-81.57;0.015;
1;104;5.000;1.500;-3.600;;0.414;0.306;-0.71;-0.310;-0.454;-89.26;-0.002;-0.020;-84.94;0.009;
1;105;5.500;1.500;-3.600;;0.396;0.314;-4.87;-0.320;-0.437;87.32;-0.002;-0.021;-87.90;0.011;
1;106;6.000;1.500;-3.600;;0.337;0.308;-13.27;-0.319;-0.376;84.65;-0.004;-0.021;-88.73;0.031;
1;107;6.500;1.500;-3.600;;0.365;0.316;12.20;-0.325;-0.408;-81.77;-0.004;-0.022;-87.25;0.020;
1;108;7.000;1.500;-3.600;;0.422;0.312;9.27;-0.319;-0.467;-82.51;-0.004;-0.023;-87.75;0.016;
1;109;7.500;1.500;-3.600;;0.452;0.311;2.61;-0.317;-0.498;-87.80;-0.003;-0.023;-89.29;0.010;
1;110;8.000;1.500;-3.600;;0.436;0.314;-3.30;-0.321;-0.481;87.29;-0.003;-0.023;89.16;0.013;
1;111;8.500;1.500;-3.600;;0.387;0.320;-3.43;-0.328;-0.432;87.22;-0.004;-0.022;88.43;0.017;
1;112;9.000;1.500;-3.600;;0.346;0.312;8.95;-0.322;-0.388;-85.05;-0.004;-0.022;89.67;0.031;
1;113;9.500;1.500;-3.600;;0.395;0.316;9.93;-0.322;-0.437;-83.57;-0.002;-0.021;89.08;0.014;
1;114;10.000;1.500;-3.600;;0.423;0.309;6.43;-0.314;-0.463;-85.97;-0.002;-0.021;86.69;0.010;
1;115;10.500;1.500;-3.600;;0.410;0.305;-1.25;-0.310;-0.448;87.65;-0.003;-0.019;84.17;0.013;
1;116;11.000;1.500;-3.600;;0.354;0.301;-15.15;-0.310;-0.389;76.93;-0.004;-0.018;81.04;0.020;
1;117;11.500;1.500;-3.600;;0.306;0.269;-86.06;-0.298;-0.318;17.60;-0.005;-0.016;80.93;0.024;
1;118;12.000;1.500;-3.600;;0.299;0.231;77.31;-0.259;-0.307;-20.81;-0.004;-0.014;85.71;0.032;
1;119;12.500;1.500;-3.600;;0.314;0.278;51.31;-0.293;-0.326;-59.61;-0.001;-0.013;82.25;0.008;
1;120;13.000;1.500;-3.600;;0.298;0.280;48.27;-0.291;-0.310;-80.22;0.000;-0.012;74.36;0.011;
1;121;13.500;1.500;-3.600;;0.282;0.232;-78.81;-0.242;-0.291;21.48;0.000;-0.009;62.34;0.021;
1;122;14.000;1.500;-3.600;;0.282;0.121;-83.44;-0.126;-0.292;9.02;0.000;-0.007;44.50;0.029;
1;123;14.500;1.500;-3.600;;0.277;0.002;-89.76;-0.004;-0.282;1.15;0.001;-0.004;34.42;0.032;
1;124;15.000;1.500;-3.600;;0.255;-0.081;84.09;0.085;-0.247;-5.91;0.004;0.002;83.86;0.038;
1;125;0.000;2.000;-3.600;;0.276;-0.092;-87.40;0.093;-0.269;2.17;0.004;0.000;-67.48;0.012;
1;126;0.500;2.000;-3.600;;0.320;-0.048;85.95;0.042;-0.325;-4.73;-0.001;-0.005;-52.17;0.029;
1;127;1.000;2.000;-3.600;;0.330;-0.001;71.07;-0.015;-0.355;-19.96;-0.006;-0.014;-46.31;0.071;
1;128;1.500;2.000;-3.600;;0.349;-0.007;8.38;0.005;-0.374;-82.21;0.000;-0.013;89.33;0.070;
1;129;2.000;2.000;-3.600;;0.427;0.094;-49.36;-0.096;-0.436;43.03;0.005;-0.010;80.12;0.018;
1;130;2.500;2.000;-3.600;;0.343;0.203;-72.38;-0.216;-0.349;21.32;0.000;-0.009;74.84;0.010;
1;131;3.000;2.000;-3.600;;0.320;0.180;88.41;-0.201;-0.326;-1.46;-0.003;-0.010;87.21;0.011;
1;132;3.500;2.000;-3.600;;0.331;0.228;87.22;-0.255;-0.341;-3.23;-0.005;-0.013;89.69;0.019;
1;133;4.000;2.000;-3.600;;0.333;0.310;73.68;-0.335;-0.349;-48.14;-0.005;-0.016;-89.48;0.016;
1;134;4.500;2.000;-3.600;;0.381;0.329;6.70;-0.336;-0.416;-85.46;-0.003;-0.018;-89.35;0.010;
1;135;5.000;2.000;-3.600;;0.409;0.332;4.49;-0.337;-0.449;-86.71;-0.002;-0.020;-89.41;0.003;
1;136;5.500;2.000;-3.600;;0.398;0.338;5.48;-0.344;-0.439;-86.38;-0.003;-0.021;-89.49;0.004;
1;137;6.000;2.000;-3.600;;0.349;0.332;16.26;-0.341;-0.391;-85.06;-0.004;-0.021;-89.51;0.012;
1;138;6.500;2.000;-3.600;;0.377;0.345;7.61;-0.353;-0.420;-86.14;-0.004;-0.022;-89.56;0.011;
1;139;7.000;2.000;-3.600;;0.422;0.344;3.34;-0.352;-0.467;-87.58;-0.004;-0.022;-89.52;0.007;
1;140;7.500;2.000;-3.600;;0.448;0.341;2.43;-0.348;-0.493;-88.08;-0.004;-0.023;-89.51;0.001;
1;141;8.000;2.000;-3.600;;0.436;0.343;2.54;-0.351;-0.480;-88.06;-0.004;-0.022;-89.54;0.005;
1;142;8.500;2.000;-3.600;;0.397;0.345;3.92;-0.353;-0.441;-87.53;-0.004;-0.022;-89.62;0.009;
1;143;9.000;2.000;-3.600;;0.359;0.336;6.16;-0.344;-0.402;-87.41;-0.004;-0.022;-89.73;0.012;
1;144;9.500;2.000;-3.600;;0.399;0.343;3.06;-0.348;-0.442;-88.08;-0.003;-0.021;-89.83;0.006;
