Surface No.;Grid;Grid Point Coordinates [m];;;;Principal Total Strains [‰];;;;;;
;Point No.;X;Y;Z;;ε_1,+;ε_2,+;α_+ [deg];ε_1,-;ε_2,-;α_- [deg];Surface Comment
1;58;13.000;0.500;-3.600;max;0.00;0.00;89.39;0.00;0.00;88.92;
1;58;13.000;0.500;-3.600;min;0.00;0.00;-87.14;0.00;0.00;-89.69;
1;59;13.500;0.500;-3.600;max;0.00;0.00;88.88;0.00;0.00;88.76;
1;59;13.500;0.500;-3.600;min;0.00;0.00;-79.75;0.00;0.00;-12.19;
1;60;14.000;0.500;-3.600;max;0.00;0.00;88.55;0.00;0.00;82.47;
1;60;14.000;0.500;-3.600;min;0.00;0.00;-8.65;0.00;0.00;-10.39;
1;61;14.500;0.500;-3.600;max;0.00;0.00;82.24;0.00;0.00;77.40;
1;61;14.500;0.500;-3.600;min;0.00;0.00;-11.49;0.00;0.00;-15.71;
1;62;15.000;0.500;-3.600;max;0.00;0.00;68.69;0.00;0.00;65.56;
1;62;15.000;0.500;-3.600;min;0.00;0.00;-53.53;0.00;0.00;-50.42;
1;63;0.000;1.000;-3.600;max;0.00;0.00;51.09;0.00;0.00;51.93;
1;63;0.000;1.000;-3.600;min;0.00;0.00;-82.03;0.00;0.00;-75.04;
1;64;0.500;1.000;-3.600;max;0.00;0.00;67.62;0.00;0.00;68.81;
1;64;0.500;1.000;-3.600;min;0.00;0.00;-48.18;0.00;0.00;-40.01;
1;65;1.000;1.000;-3.600;max;0.00;0.00;36.16;0.00;0.00;40.77;
1;65;1.000;1.000;-3.600;min;0.00;0.00;-78.02;0.00;0.00;-63.83;
1;66;1.500;1.000;-3.600;max;0.00;0.00;22.10;0.00;0.00;23.62;
1;66;1.500;1.000;-3.600;min;0.00;0.00;-75.62;0.00;0.00;-71.55;
1;67;2.000;1.000;-3.600;max;0.00;0.00;34.70;0.00;0.00;33.79;
1;67;2.000;1.000;-3.600;min;0.00;0.00;-59.59;0.00;0.00;-58.36;
1;68;2.500;1.000;-3.600;max;0.00;0.00;21.01;0.00;0.00;21.87;
1;68;2.500;1.000;-3.600;min;0.00;0.00;-73.97;0.00;0.00;-70.79;
1;69;3.000;1.000;-3.600;max;0.00;0.00;49.53;0.00;0.00;17.11;
1;69;3.000;1.000;-3.600;min;0.00;0.00;-88.76;0.00;0.00;-81.98;
1;70;3.500;1.000;-3.600;max;0.00;0.00;86.79;0.00;0.00;22.43;
1;70;3.500;1.000;-3.600;min;0.00;0.00;-87.97;0.00;0.00;-87.46;
1;71;4.000;1.000;-3.600;max;0.00;0.00;89.52;0.00;0.00;18.72;
1;71;4.000;1.000;-3.600;min;0.00;0.00;-86.40;0.00;0.00;-89.41;
1;72;4.500;1.000;-3.600;max;0.00;0.00;86.46;0.00;0.00;89.52;
1;72;4.500;1.000;-3.600;min;0.00;0.00;-84.23;0.00;0.00;-83.60;
1;73;5.000;1.000;-3.600;max;0.00;0.00;87.14;0.00;0.00;88.43;
1;73;5.000;1.000;-3.600;min;0.00;0.00;-89.45;0.00;0.00;-84.62;
1;74;5.500;1.000;-3.600;max;0.00;0.00;77.95;0.00;0.00;77.46;
1;74;5.500;1.000;-3.600;min;0.00;0.00;-89.24;0.00;0.00;-89.68;
1;75;6.000;1.000;-3.600;max;0.00;0.00;84.10;0.00;0.00;86.42;
1;75;6.000;1.000;-3.600;min;0.00;0.00;-82.39;0.00;0.00;-84.11;
1;76;6.500;1.000;-3.600;max;0.00;0.00;81.62;0.00;0.00;85.37;
1;76;6.500;1.000;-3.600;min;0.00;0.00;-44.16;0.00;0.00;-31.93;
1;77;7.000;1.000;-3.600;max;0.00;0.00;82.71;0.00;0.00;85.99;
1;77;7.000;1.000;-3.600;min;0.00;0.00;-89.39;0.00;0.00;-17.93;
1;78;7.500;1.000;-3.600;max;0.00;0.00;86.37;0.00;0.00;87.37;
1;78;7.500;1.000;-3.600;min;0.00;0.00;-87.90;0.00;0.00;-25.61;
1;79;8.000;1.000;-3.600;max;0.00;0.00;87.92;0.00;0.00;87.30;
1;79;8.000;1.000;-3.600;min;0.00;0.00;-83.74;0.00;0.00;-87.14;
1;80;8.500;1.000;-3.600;max;0.00;0.00;86.52;0.00;0.00;86.00;
1;80;8.500;1.000;-3.600;min;0.00;0.00;-18.19;0.00;0.00;-24.58;
1;81;9.000;1.000;-3.600;max;0.00;0.00;83.80;0.00;0.00;84.29;
1;81;9.000;1.000;-3.600;min;0.00;0.00;-84.37;0.00;0.00;-84.29;
1;82;9.500;1.000;-3.600;max;0.00;0.00;84.41;0.00;0.00;85.27;
1;82;9.500;1.000;-3.600;min;0.00;0.00;-87.10;0.00;0.00;-86.87;
1;83;10.000;1.000;-3.600;max;0.00;0.00;88.54;0.00;0.00;89.51;
1;83;10.000;1.000;-3.600;min;0.00;0.00;-87.37;0.00;0.00;-86.40;
1;84;10.500;1.000;-3.600;max;0.00;0.00;87.90;0.00;0.00;89.56;
1;84;10.500;1.000;-3.600;min;0.00;0.00;-89.84;0.00;0.00;-85.24;
1;85;11.000;1.000;-3.600;max;0.00;0.00;88.47;0.00;0.00;21.48;
1;85;11.000;1.000;-3.600;min;0.00;0.00;-79.73;0.00;0.00;-89.19;
1;86;11.500;1.000;-3.600;max;0.00;0.00;58.27;0.00;0.00;78.60;
1;86;11.500;1.000;-3.600;min;0.00;0.00;-86.62;0.00;0.00;-88.02;
1;87;12.000;1.000;-3.600;max;0.00;0.00;62.82;0.00;0.00;63.11;
1;87;12.000;1.000;-3.600;min;0.00;0.00;-80.85;0.00;0.00;-84.52;
1;88;12.500;1.000;-3.600;max;0.00;0.00;86.10;0.00;0.00;85.13;
1;88;12.500;1.000;-3.600;min;0.00;0.00;-82.57;0.00;0.00;-88.71;
1;89;13.000;1.000;-3.600;max;0.00;0.00;87.68;0.00;0.00;88.43;
1;89;13.000;1.000;-3.600;min;0.00;0.00;-87.39;0.00;0.00;-89.13;
1;90;13.500;1.000;-3.600;max;0.00;0.00;88.19;0.00;0.00;86.52;
1;90;13.500;1.000;-3.600;min;0.00;0.00;-69.44;0.00;0.00;-87.55;
1;91;14.000;1.000;-3.600;max;0.00;0.00;82.96;0.00;0.00;82.09;
1;91;14.000;1.000;-3.600;min;0.00;0.00;-89.07;0.00;0.00;-58.44;
1;92;14.500;1.000;-3.600;max;0.00;0.00;82.86;0.00;0.00;75.45;
1;92;14.500;1.000;-3.600;min;0.00;0.00;-17.80;0.00;0.00;-20.58;
1;93;15.000;1.000;-3.600;max;0.00;0.00;64.39;0.00;0.00;65.63;
1;93;15.000;1.000;-3.600;min;0.00;0.00;-52.52;0.00;0.00;-49.10;
1;94;0.000;1.500;-3.600;max;0.00;0.00;46.38;0.00;0.00;44.90;
1;94;0.000;1.500;-3.600;min;0.00;0.00;-47.61;0.00;0.00;-48.10;
1;95;0.500;1.500;-3.600;max;0.00;0.00;46.14;0.00;0.00;48.43;
1;95;0.500;1.500;-3.600;min;0.00;0.00;-51.77;0.00;0.00;-46.61;
1;96;1.000;1.500;-3.600;max;0.00;0.00;54.83;0.00;0.00;57.42;
1;96;1.000;1.500;-3.600;min;0.00;0.00;-44.14;0.00;0.00;-37.06;
1;98;2.000;1.500;-3.600;max;0.00;0.00;47.70;0.00;0.00;48.39;
1;98;2.000;1.500;-3.600;min;0.00;0.00;-61.23;0.00;0.00;-50.48;
1;99;2.500;1.500;-3.600;max;0.00;0.00;26.13;0.00;0.00;30.41;
1;99;2.500;1.500;-3.600;min;0.00;0.00;-78.22;0.00;0.00;-66.42;
1;100;3.000;1.500;-3.600;max;0.00;0.00;49.73;0.00;0.00;15.24;
1;100;3.000;1.500;-3.600;min;0.00;0.00;-87.98;0.00;0.00;-80.51;
1;101;3.500;1.500;-3.600;max;0.00;0.00;87.28;0.00;0.00;11.87;
1;101;3.500;1.500;-3.600;min;0.00;0.00;-88.47;0.00;0.00;-88.91;
1;102;4.000;1.500;-3.600;max;0.00;0.00;85.61;0.00;0.00;12.08;
1;102;4.000;1.500;-3.600;min;0.00;0.00;-88.75;0.00;0.00;-88.10;
1;103;4.500;1.500;-3.600;max;0.00;0.00;81.57;0.00;0.00;89.38;
1;103;4.500;1.500;-3.600;min;0.00;0.00;-88.45;0.00;0.00;-85.35;
1;104;5.000;1.500;-3.600;max;0.00;0.00;83.78;0.00;0.00;87.74;
1;104;5.000;1.500;-3.600;min;0.00;0.00;-83.17;0.00;0.00;-82.86;
1;105;5.500;1.500;-3.600;max;0.00;0.00;75.90;0.00;0.00;80.86;
1;105;5.500;1.500;-3.600;min;0.00;0.00;-84.24;0.00;0.00;-84.26;
1;106;6.000;1.500;-3.600;max;0.00;0.00;76.34;0.00;0.00;80.89;
1;106;6.000;1.500;-3.600;min;0.00;0.00;-89.49;0.00;0.00;-88.04;
1;107;6.500;1.500;-3.600;max;0.00;0.00;77.50;0.00;0.00;81.56;
1;107;6.500;1.500;-3.600;min;0.00;0.00;-36.78;0.00;0.00;-41.24;
1;108;7.000;1.500;-3.600;max;0.00;0.00;83.31;0.00;0.00;84.90;
1;108;7.000;1.500;-3.600;min;0.00;0.00;-22.18;0.00;0.00;-19.25;
1;109;7.500;1.500;-3.600;max;0.00;0.00;86.18;0.00;0.00;86.85;
1;109;7.500;1.500;-3.600;min;0.00;0.00;-19.07;0.00;0.00;-13.47;
1;110;8.000;1.500;-3.600;max;0.00;0.00;87.44;0.00;0.00;87.68;
1;110;8.000;1.500;-3.600;min;0.00;0.00;-87.29;0.00;0.00;-89.52;
1;111;8.500;1.500;-3.600;max;0.00;0.00;87.57;0.00;0.00;87.51;
1;111;8.500;1.500;-3.600;min;0.00;0.00;-45.40;0.00;0.00;-48.25;
1;112;9.000;1.500;-3.600;max;0.00;0.00;88.93;0.00;0.00;89.88;
1;112;9.000;1.500;-3.600;min;0.00;0.00;-89.82;0.00;0.00;-80.76;
1;113;9.500;1.500;-3.600;max;0.00;0.00;89.41;0.00;0.00;89.36;
1;113;9.500;1.500;-3.600;min;0.00;0.00;-88.11;0.00;0.00;-87.80;
1;114;10.000;1.500;-3.600;max;0.00;0.00;83.87;0.00;0.00;86.62;
1;114;10.000;1.500;-3.600;min;0.00;0.00;-89.30;0.00;0.00;-88.18;
1;115;10.500;1.500;-3.600;max;0.00;0.00;15.56;0.00;0.00;9.13;
1;115;10.500;1.500;-3.600;min;0.00;0.00;-84.97;0.00;0.00;-86.21;
1;116;11.000;1.500;-3.600;max;0.00;0.00;17.47;0.00;0.00;15.91;
1;116;11.000;1.500;-3.600;min;0.00;0.00;-81.40;0.00;0.00;-84.17;
1;117;11.500;1.500;-3.600;max;0.00;0.00;34.45;0.00;0.00;31.88;
1;117;11.500;1.500;-3.600;min;0.00;0.00;-75.03;0.00;0.00;-79.46;
1;118;12.000;1.500;-3.600;max;0.00;0.00;81.38;0.00;0.00;80.83;
1;118;12.000;1.500;-3.600;min;0.00;0.00;-76.35;0.00;0.00;-79.91;
1;119;12.500;1.500;-3.600;max;0.00;0.00;89.99;0.00;0.00;81.10;
1;119;12.500;1.500;-3.600;min;0.00;0.00;-68.79;0.00;0.00;-89.60;
1;120;13.000;1.500;-3.600;max;0.00;0.00;85.37;0.00;0.00;85.99;
