Member No.;Node;Location;;;Displacements [mm];;;;Rotations [mrad];;;
;No.;x [m];Flags;;|u|;u_x;u_y / u_u;u_z / u_v;φ_x;φ_y / φ_u;φ_z / φ_v;Section (Material) | Member Comment
5;;0.3600000000000000;E;;478.5;-478.5;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;0.7200000000000001;E;;478.5;-478.5;0.0;0.0;0.0;-0.1;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;1.0800000000000001;E;;478.6;-478.6;0.0;0.1;0.0;-0.1;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;1.4400000000000002;E;;478.6;-478.6;0.1;0.1;0.0;-0.1;0.2;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;1.8000000000000000;R | E;;478.6;-478.6;0.2;0.1;0.0;-0.1;0.2;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;2.1600000000000001;E;;478.6;-478.6;0.2;0.2;0.0;0.0;0.3;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;2.5200000000000000;E;;478.6;-478.6;0.4;0.2;0.0;0.0;0.4;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;2.8799999999999999;E;;478.7;-478.7;0.5;0.1;0.0;0.1;0.4;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;3.2399999999999998;E;;478.7;-478.7;0.7;0.1;0.0;0.2;0.5;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;8;3.6000000000000001;L | M;;478.7;-478.7;0.9;0.0;0.0;0.3;0.6;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
Extremes;7;0.0000000000000000;L | M;u_x;478.5;-478.5;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;8;3.6000000000000001;L | M;u_x;478.7;-478.7;0.9;0.0;0.0;0.3;0.6;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;8;3.6000000000000001;L | M;u_y;478.7;-478.7;0.9;0.0;0.0;0.3;0.6;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;7;0.0000000000000000;L | M;u_y;478.5;-478.5;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;2.5200000000000000;E;u_z;478.6;-478.6;0.4;0.2;0.0;0.0;0.4;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;8;3.6000000000000001;L | M;u_z;478.7;-478.7;0.9;0.0;0.0;0.3;0.6;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;8;3.6000000000000001;L | M;φ_x;478.7;-478.7;0.9;0.0;0.0;0.3;0.6;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;7;0.0000000000000000;L | M;φ_x;478.5;-478.5;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;8;3.6000000000000001;L | M;φ_y;478.7;-478.7;0.9;0.0;0.0;0.3;0.6;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;1.0800000000000001;E;φ_y;478.6;-478.6;0.0;0.1;0.0;-0.1;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;8;3.6000000000000001;L | M;φ_z;478.7;-478.7;0.9;0.0;0.0;0.3;0.6;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;7;0.0000000000000000;L | M;φ_z;478.5;-478.5;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
Total;;;;;478.7;-478.5;0.9;0.2;0.0;0.3;0.6;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;;;;478.5;-478.7;0.0;0.0;0.0;-0.1;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
;;;;;;;;;;;;
6;8;0.0000000000000000;L | M;;478.7;-478.7;0.0;-0.9;0.0;0.6;-0.3;Beam | 4 - HEB 200 | L : 4.000 m | steel column
6;;0.4444444444444444;E;;478.7;-478.7;-0.2;-1.0;0.0;0.2;-0.3;Beam | 4 - HEB 200 | L : 4.000 m | steel column
6;;0.8888888888888887;E;;478.8;-478.8;-0.3;-1.0;0.0;-0.1;-0.3;Beam | 4 - HEB 200 | L : 4.000 m | steel column
6;;1.3333333333333330;R | E;;478.8;-478.8;-0.5;-0.9;0.0;-0.2;-0.3;Beam | 4 - HEB 200 | L : 4.000 m | steel column
6;;1.7777777777777775;E;;478.8;-478.8;-0.6;-0.8;0.0;-0.1;-0.4;Beam | 4 - HEB 200 | L : 4.000 m | steel column
6;;1.9999999999999998;E;;478.8;-478.8;-0.7;-0.8;0.0;0.0;-0.4;Beam | 4 - HEB 200 | L : 4.000 m | steel column
6;;2.2222222222222219;E;;478.8;-478.8;-0.8;-0.8;0.0;0.1;-0.4;Beam | 4 - HEB 200 | L : 4.000 m | steel column
6;;2.6666666666666665;R | E;;478.9;-478.9;-0.9;-0.9;0.0;0.5;-0.4;Beam | 4 - HEB 200 | L : 4.000 m | steel column
6;;3.1111111111111112;E;;478.9;-478.9;-1.1;-1.1;0.0;1.0;-0.4;Beam | 4 - HEB 200 | L : 4.000 m | steel column
6;;3.5555555555555558;E;;478.9;-478.9;-1.3;-1.7;0.0;1.7;-0.4;Beam | 4 - HEB 200 | L : 4.000 m | steel column
6;9;3.9999999999999996;L | M;;478.9;-478.9;-1.4;-2.6;0.0;2.5;-0.4;Beam | 4 - HEB 200 | L : 4.000 m | steel column
Extremes;8;0.0000000000000000;L | M;u_x;478.7;-478.7;0.0;-0.9;0.0;0.6;-0.3;Beam | 4 - HEB 200 | L : 4.000 m | steel column
6;9;3.9999999999999996;L | M;u_x;478.9;-478.9;-1.4;-2.6;0.0;2.5;-0.4;Beam | 4 - HEB 200 | L : 4.000 m | steel column
6;8;0.0000000000000000;L | M;u_y;478.7;-478.7;0.0;-0.9;0.0;0.6;-0.3;Beam | 4 - HEB 200 | L : 4.000 m | steel column
6;9;3.9999999999999996;L | M;u_y;478.9;-478.9;-1.4;-2.6;0.0;2.5;-0.4;Beam | 4 - HEB 200 | L : 4.000 m | steel column
6;;2.2222222222222219;E;u_z;478.8;-478.8;-0.8;-0.8;0.0;0.1;-0.4;Beam | 4 - HEB 200 | L : 4.000 m | steel column
6;9;3.9999999999999996;L | M;u_z;478.9;-478.9;-1.4;-2.6;0.0;2.5;-0.4;Beam | 4 - HEB 200 | L : 4.000 m | steel column
6;8;0.0000000000000000;L | M;φ_x;478.7;-478.7;0.0;-0.9;0.0;0.6;-0.3;Beam | 4 - HEB 200 | L : 4.000 m | steel column
