Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Stresses - Tresca [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_eqv,Tresca,Max;σ_eqv,Tresca,+;σ_eqv,Tresca,-;σ_eqv,Tresca,m;Surface Comment
1;110;8.000;1.500;-3.600;min;0.001;0.001;0.001;0.000;
1;111;8.500;1.500;-3.600;max;0.001;0.001;0.001;0.000;
1;111;8.500;1.500;-3.600;min;0.001;0.001;0.001;0.000;
1;112;9.000;1.500;-3.600;max;0.001;0.001;0.001;0.000;
1;112;9.000;1.500;-3.600;min;0.001;0.001;0.001;0.000;
1;113;9.500;1.500;-3.600;max;0.001;0.001;0.001;0.000;
1;113;9.500;1.500;-3.600;min;0.001;0.001;0.001;0.000;
1;114;10.000;1.500;-3.600;max;0.001;0.001;0.001;0.000;
1;114;10.000;1.500;-3.600;min;0.001;0.001;0.001;0.000;
1;115;10.500;1.500;-3.600;max;0.001;0.001;0.001;0.000;
1;115;10.500;1.500;-3.600;min;0.001;0.001;0.001;0.000;
1;116;11.000;1.500;-3.600;max;0.001;0.001;0.001;0.000;
1;116;11.000;1.500;-3.600;min;0.001;0.001;0.001;0.000;
1;117;11.500;1.500;-3.600;max;0.001;0.001;0.001;0.000;
1;117;11.500;1.500;-3.600;min;0.001;0.001;0.001;0.000;
1;118;12.000;1.500;-3.600;max;0.001;0.001;0.001;0.000;
1;118;12.000;1.500;-3.600;min;0.001;0.001;0.001;0.000;
1;119;12.500;1.500;-3.600;max;0.001;0.001;0.001;0.000;
1;119;12.500;1.500;-3.600;min;0.001;0.001;0.001;0.000;
1;120;13.000;1.500;-3.600;max;0.001;0.001;0.001;0.000;
1;120;13.000;1.500;-3.600;min;0.001;0.001;0.001;0.000;
1;121;13.500;1.500;-3.600;max;0.001;0.001;0.001;0.000;
1;121;13.500;1.500;-3.600;min;0.001;0.001;0.001;0.000;
1;122;14.000;1.500;-3.600;max;0.001;0.001;0.001;0.000;
1;122;14.000;1.500;-3.600;min;0.001;0.001;0.001;0.000;
1;123;14.500;1.500;-3.600;max;0.001;0.001;0.001;0.000;
1;123;14.500;1.500;-3.600;min;0.000;0.000;0.000;0.000;
1;124;15.000;1.500;-3.600;max;0.001;0.000;0.001;0.000;
1;124;15.000;1.500;-3.600;min;0.000;0.000;0.000;0.000;
1;125;0.000;2.000;-3.600;max;0.001;0.001;0.001;0.000;
1;125;0.000;2.000;-3.600;min;0.001;0.001;0.001;0.000;
1;126;0.500;2.000;-3.600;max;0.001;0.001;0.001;0.000;
1;126;0.500;2.000;-3.600;min;0.001;0.001;0.001;0.000;
1;127;1.000;2.000;-3.600;max;0.001;0.001;0.001;0.000;
1;127;1.000;2.000;-3.600;min;0.001;0.001;0.001;0.000;
1;128;1.500;2.000;-3.600;max;0.001;0.001;0.001;0.000;
1;128;1.500;2.000;-3.600;min;0.001;0.001;0.001;0.000;
1;129;2.000;2.000;-3.600;max;0.001;0.000;0.001;0.000;
1;129;2.000;2.000;-3.600;min;0.000;0.000;0.000;0.000;
1;130;2.500;2.000;-3.600;max;0.001;0.000;0.001;0.000;
1;130;2.500;2.000;-3.600;min;0.000;0.000;0.000;0.000;
1;131;3.000;2.000;-3.600;max;0.001;0.001;0.001;0.000;
1;131;3.000;2.000;-3.600;min;0.001;0.001;0.001;0.000;
1;132;3.500;2.000;-3.600;max;0.001;0.001;0.001;0.000;
1;132;3.500;2.000;-3.600;min;0.001;0.001;0.001;0.000;
1;133;4.000;2.000;-3.600;max;0.001;0.001;0.001;0.000;
1;133;4.000;2.000;-3.600;min;0.001;0.001;0.001;0.000;
1;134;4.500;2.000;-3.600;max;0.001;0.001;0.001;0.000;
1;134;4.500;2.000;-3.600;min;0.001;0.001;0.001;0.000;
1;135;5.000;2.000;-3.600;max;0.001;0.001;0.001;0.000;
1;135;5.000;2.000;-3.600;min;0.001;0.001;0.001;0.000;
1;136;5.500;2.000;-3.600;max;0.001;0.001;0.001;0.000;
1;136;5.500;2.000;-3.600;min;0.001;0.001;0.001;0.000;
1;137;6.000;2.000;-3.600;max;0.001;0.001;0.001;0.000;
1;137;6.000;2.000;-3.600;min;0.001;0.001;0.001;0.000;
1;138;6.500;2.000;-3.600;max;0.001;0.001;0.001;0.000;
1;138;6.500;2.000;-3.600;min;0.001;0.001;0.001;0.000;
1;139;7.000;2.000;-3.600;max;0.001;0.001;0.001;0.000;
1;139;7.000;2.000;-3.600;min;0.001;0.001;0.001;0.000;
1;140;7.500;2.000;-3.600;max;0.001;0.001;0.001;0.000;
1;140;7.500;2.000;-3.600;min;0.001;0.001;0.001;0.000;
1;141;8.000;2.000;-3.600;max;0.001;0.001;0.001;0.000;
1;141;8.000;2.000;-3.600;min;0.001;0.001;0.001;0.000;
1;142;8.500;2.000;-3.600;max;0.001;0.001;0.001;0.000;
1;142;8.500;2.000;-3.600;min;0.001;0.001;0.001;0.000;
1;143;9.000;2.000;-3.600;max;0.001;0.001;0.001;0.000;
1;143;9.000;2.000;-3.600;min;0.001;0.001;0.001;0.000;
1;144;9.500;2.000;-3.600;max;0.001;0.001;0.001;0.000;
1;144;9.500;2.000;-3.600;min;0.001;0.001;0.001;0.000;
1;145;10.000;2.000;-3.600;max;0.001;0.001;0.001;0.000;
1;145;10.000;2.000;-3.600;min;0.001;0.001;0.001;0.000;
1;146;10.500;2.000;-3.600;max;0.001;0.001;0.001;0.000;
1;146;10.500;2.000;-3.600;min;0.001;0.001;0.001;0.000;
1;147;11.000;2.000;-3.600;max;0.001;0.001;0.001;0.000;
1;147;11.000;2.000;-3.600;min;0.001;0.001;0.001;0.000;
1;148;11.500;2.000;-3.600;max;0.001;0.001;0.001;0.000;
1;148;11.500;2.000;-3.600;min;0.001;0.001;0.001;0.000;
1;149;12.000;2.000;-3.600;max;0.001;0.001;0.001;0.000;
1;149;12.000;2.000;-3.600;min;0.001;0.001;0.001;0.000;
1;150;12.500;2.000;-3.600;max;0.001;0.001;0.001;0.000;
1;150;12.500;2.000;-3.600;min;0.001;0.001;0.001;0.000;
1;151;13.000;2.000;-3.600;max;0.001;0.001;0.001;0.000;
1;151;13.000;2.000;-3.600;min;0.001;0.001;0.001;0.000;
1;152;13.500;2.000;-3.600;max;0.001;0.001;0.001;0.000;
1;152;13.500;2.000;-3.600;min;0.001;0.001;0.001;0.000;
1;153;14.000;2.000;-3.600;max;0.001;0.001;0.001;0.000;
1;153;14.000;2.000;-3.600;min;0.001;0.001;0.001;0.000;
1;154;14.500;2.000;-3.600;max;0.000;0.000;0.000;0.000;
1;154;14.500;2.000;-3.600;min;0.000;0.000;0.000;0.000;
1;155;15.000;2.000;-3.600;max;0.000;0.000;0.000;0.000;
1;155;15.000;2.000;-3.600;min;0.000;0.000;0.000;0.000;
1;156;0.000;2.500;-3.600;max;0.001;0.001;0.001;0.000;
1;156;0.000;2.500;-3.600;min;0.001;0.001;0.001;0.000;
1;157;0.500;2.500;-3.600;max;0.001;0.001;0.001;0.000;
1;157;0.500;2.500;-3.600;min;0.001;0.001;0.001;0.000;
1;158;1.000;2.500;-3.600;max;0.001;0.001;0.001;0.000;
1;158;1.000;2.500;-3.600;min;0.001;0.001;0.001;0.000;
1;159;1.500;2.500;-3.600;max;0.001;0.001;0.001;0.000;
1;159;1.500;2.500;-3.600;min;0.001;0.001;0.001;0.000;
1;160;2.000;2.500;-3.600;max;0.001;0.001;0.001;0.000;
1;160;2.000;2.500;-3.600;min;0.001;0.000;0.000;0.000;
1;161;2.500;2.500;-3.600;max;0.001;0.000;0.001;0.000;
