Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Total Strains - Rankine [‰];;;
;Point No.;X;Y;Z;;ε_eqv,Rankine,+;ε_eqv,Rankine,-;ε_eqv,Rankine;Surface Comment
1;127;1.000;2.000;-3.600;min;0.00;0.00;0.00;
1;128;1.500;2.000;-3.600;max;0.00;0.00;0.00;
1;128;1.500;2.000;-3.600;min;0.00;0.00;0.00;
1;129;2.000;2.000;-3.600;max;0.00;0.00;0.00;
1;129;2.000;2.000;-3.600;min;0.00;0.00;0.00;
1;130;2.500;2.000;-3.600;max;0.00;0.00;0.00;
1;130;2.500;2.000;-3.600;min;0.00;0.00;0.00;
1;131;3.000;2.000;-3.600;max;0.00;0.00;0.00;
1;131;3.000;2.000;-3.600;min;0.00;0.00;0.00;
1;132;3.500;2.000;-3.600;max;0.00;0.00;0.00;
1;132;3.500;2.000;-3.600;min;0.00;0.00;0.00;
1;133;4.000;2.000;-3.600;max;0.00;0.00;0.00;
1;133;4.000;2.000;-3.600;min;0.00;0.00;0.00;
1;134;4.500;2.000;-3.600;max;0.00;0.00;0.00;
1;134;4.500;2.000;-3.600;min;0.00;0.00;0.00;
1;135;5.000;2.000;-3.600;max;0.00;0.00;0.00;
1;135;5.000;2.000;-3.600;min;0.00;0.00;0.00;
1;136;5.500;2.000;-3.600;max;0.00;0.00;0.00;
1;136;5.500;2.000;-3.600;min;0.00;0.00;0.00;
1;137;6.000;2.000;-3.600;max;0.00;0.00;0.00;
1;137;6.000;2.000;-3.600;min;0.00;0.00;0.00;
1;138;6.500;2.000;-3.600;max;0.00;0.00;0.00;
1;138;6.500;2.000;-3.600;min;0.00;0.00;0.00;
1;139;7.000;2.000;-3.600;max;0.00;0.00;0.00;
1;139;7.000;2.000;-3.600;min;0.00;0.00;0.00;
1;140;7.500;2.000;-3.600;max;0.00;0.00;0.00;
1;140;7.500;2.000;-3.600;min;0.00;0.00;0.00;
1;141;8.000;2.000;-3.600;max;0.00;0.00;0.00;
1;141;8.000;2.000;-3.600;min;0.00;0.00;0.00;
1;142;8.500;2.000;-3.600;max;0.00;0.00;0.00;
1;142;8.500;2.000;-3.600;min;0.00;0.00;0.00;
1;143;9.000;2.000;-3.600;max;0.00;0.00;0.00;
1;143;9.000;2.000;-3.600;min;0.00;0.00;0.00;
1;144;9.500;2.000;-3.600;max;0.00;0.00;0.00;
