Surface No.;Grid;Grid Point Coordinates [m];;;;Axial stresses [N/mm^2 ];;;;Shear stresses [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_x,+;σ_y,+;σ_x,-;σ_y,-;τ_xy,+;τ_xy,-;τ_xz;τ_yz;Surface Comment
1;133;4.000;2.000;-3.600;;0.311;0.331;-0.343;-0.341;0.006;-0.007;0.016;0.000;
1;134;4.500;2.000;-3.600;;0.380;0.330;-0.416;-0.337;0.006;-0.006;0.010;0.000;
1;135;5.000;2.000;-3.600;;0.409;0.333;-0.448;-0.338;0.006;-0.006;0.003;0.000;
1;136;5.500;2.000;-3.600;;0.397;0.338;-0.439;-0.344;0.006;-0.006;-0.004;0.000;
1;137;6.000;2.000;-3.600;;0.348;0.333;-0.391;-0.341;0.004;-0.004;0.001;0.000;
1;138;6.500;2.000;-3.600;;0.376;0.345;-0.420;-0.354;0.004;-0.004;0.011;0.000;
1;139;7.000;2.000;-3.600;;0.422;0.344;-0.467;-0.352;0.005;-0.005;0.007;0.000;
1;140;7.500;2.000;-3.600;;0.447;0.341;-0.492;-0.348;0.005;-0.005;0.001;0.000;
1;141;8.000;2.000;-3.600;;0.435;0.343;-0.480;-0.351;0.004;-0.004;-0.005;0.000;
1;142;8.500;2.000;-3.600;;0.397;0.346;-0.441;-0.354;0.004;-0.004;-0.009;0.000;
1;143;9.000;2.000;-3.600;;0.359;0.336;-0.402;-0.344;0.002;-0.003;-0.001;0.000;
1;144;9.500;2.000;-3.600;;0.399;0.343;-0.442;-0.348;0.003;-0.003;0.006;0.000;
1;145;10.000;2.000;-3.600;;0.419;0.338;-0.460;-0.343;0.003;-0.003;0.000;0.000;
1;146;10.500;2.000;-3.600;;0.405;0.334;-0.443;-0.341;0.003;-0.003;-0.007;0.000;
1;147;11.000;2.000;-3.600;;0.354;0.334;-0.389;-0.343;0.003;-0.003;-0.013;0.000;
1;148;11.500;2.000;-3.600;;0.286;0.333;-0.316;-0.342;0.002;-0.002;-0.016;0.000;
1;149;12.000;2.000;-3.600;;0.246;0.321;-0.274;-0.328;0.003;-0.003;-0.005;0.000;
1;150;12.500;2.000;-3.600;;0.289;0.324;-0.314;-0.328;0.002;-0.002;0.000;0.000;
1;151;13.000;2.000;-3.600;;0.286;0.311;-0.306;-0.313;0.001;-0.001;-0.008;0.000;
1;152;13.500;2.000;-3.600;;0.228;0.308;-0.242;-0.314;0.002;-0.002;-0.017;0.000;
1;153;14.000;2.000;-3.600;;0.130;0.310;-0.137;-0.317;0.001;-0.001;-0.022;0.000;
1;154;14.500;2.000;-3.600;;0.025;0.305;-0.027;-0.308;0.001;-0.001;-0.024;0.000;
1;155;15.000;2.000;-3.600;;-0.051;0.278;0.054;-0.268;0.001;-0.001;-0.023;0.000;
1;156;0.000;2.500;-3.600;;-0.111;0.241;0.114;-0.233;0.050;-0.050;0.020;-0.028;
1;157;0.500;2.500;-3.600;;-0.056;0.266;0.052;-0.273;0.027;-0.024;0.018;-0.023;
1;158;1.000;2.500;-3.600;;0.070;0.227;-0.081;-0.239;0.017;-0.013;0.011;-0.009;
1;159;1.500;2.500;-3.600;;0.235;0.172;-0.253;-0.175;0.003;0.001;0.018;0.013;
1;160;2.000;2.500;-3.600;;0.274;0.227;-0.298;-0.224;-0.032;0.035;0.020;-0.010;
1;161;2.500;2.500;-3.600;;0.253;0.281;-0.279;-0.278;-0.015;0.020;0.002;-0.003;
1;162;3.000;2.500;-3.600;;0.180;0.290;-0.206;-0.297;0.017;-0.014;0.002;-0.029;
1;163;3.500;2.500;-3.600;;0.212;0.303;-0.241;-0.314;-0.001;0.006;0.019;-0.018;
1;164;4.000;2.500;-3.600;;0.305;0.304;-0.338;-0.313;-0.012;0.017;0.018;-0.014;
1;165;4.500;2.500;-3.600;;0.384;0.301;-0.421;-0.307;-0.003;0.006;0.012;-0.009;
1;166;5.000;2.500;-3.600;;0.412;0.306;-0.453;-0.311;0.014;-0.011;0.003;-0.009;
1;167;5.500;2.500;-3.600;;0.393;0.316;-0.435;-0.320;0.018;-0.017;-0.005;-0.010;
1;168;6.000;2.500;-3.600;;0.332;0.313;-0.375;-0.321;0.013;-0.013;0.001;-0.028;
1;169;6.500;2.500;-3.600;;0.363;0.319;-0.407;-0.328;-0.001;0.003;0.011;-0.016;
1;170;7.000;2.500;-3.600;;0.420;0.315;-0.465;-0.323;-0.008;0.009;0.008;-0.013;
1;171;7.500;2.500;-3.600;;0.451;0.311;-0.497;-0.318;0.003;-0.003;0.001;-0.010;
1;172;8.000;2.500;-3.600;;0.434;0.315;-0.480;-0.322;0.015;-0.016;-0.006;-0.012;
1;173;8.500;2.500;-3.600;;0.386;0.320;-0.430;-0.328;0.011;-0.013;-0.010;-0.015;
1;174;9.000;2.500;-3.600;;0.341;0.316;-0.385;-0.325;-0.001;0.000;-0.001;-0.028;
1;175;9.500;2.500;-3.600;;0.393;0.319;-0.436;-0.324;-0.007;0.007;0.006;-0.012;
1;176;10.000;2.500;-3.600;;0.421;0.311;-0.463;-0.315;-0.007;0.004;0.000;-0.010;
1;177;10.500;2.500;-3.600;;0.409;0.305;-0.448;-0.311;0.008;-0.012;-0.008;-0.010;
1;178;11.000;2.500;-3.600;;0.349;0.305;-0.384;-0.314;0.019;-0.023;-0.015;-0.014;
1;179;11.500;2.500;-3.600;;0.268;0.306;-0.299;-0.317;0.008;-0.011;-0.016;-0.018;
1;180;12.000;2.500;-3.600;;0.235;0.295;-0.263;-0.302;-0.013;0.011;-0.004;-0.029;
1;181;12.500;2.500;-3.600;;0.292;0.300;-0.318;-0.302;-0.014;0.011;0.001;-0.008;
1;182;13.000;2.500;-3.600;;0.287;0.291;-0.309;-0.292;-0.005;-0.001;-0.008;-0.008;
1;183;13.500;2.500;-3.600;;0.233;0.280;-0.248;-0.284;0.013;-0.020;-0.019;-0.009;
1;184;14.000;2.500;-3.600;;0.122;0.280;-0.130;-0.288;0.021;-0.028;-0.025;-0.015;
1;185;14.500;2.500;-3.600;;0.002;0.278;-0.003;-0.283;0.003;-0.008;-0.025;-0.021;
1;186;15.000;2.500;-3.600;;-0.078;0.252;0.082;-0.244;-0.033;0.033;-0.022;-0.030;
1;187;0.000;3.000;-3.600;;-0.234;0.145;0.239;-0.140;0.101;-0.098;0.014;-0.059;
1;188;0.500;3.000;-3.600;;-0.125;0.167;0.121;-0.179;0.012;-0.001;0.030;-0.051;
1;189;1.000;3.000;-3.600;;0.050;0.170;-0.062;-0.179;-0.030;0.042;0.036;-0.021;
1;190;1.500;3.000;-3.600;;0.207;0.172;-0.226;-0.176;-0.020;0.031;0.027;-0.006;
1;191;2.000;3.000;-3.600;;0.291;0.183;-0.315;-0.181;0.009;0.000;0.012;-0.006;
1;192;2.500;3.000;-3.600;;0.288;0.216;-0.316;-0.210;0.034;-0.027;-0.001;-0.006;
1;193;3.000;3.000;-3.600;;0.134;0.219;-0.162;-0.226;0.034;-0.031;0.000;-0.061;
1;194;3.500;3.000;-3.600;;0.151;0.212;-0.182;-0.226;-0.011;0.020;0.025;-0.044;
1;195;4.000;3.000;-3.600;;0.295;0.215;-0.330;-0.223;-0.039;0.048;0.027;-0.023;
1;196;4.500;3.000;-3.600;;0.402;0.220;-0.441;-0.224;-0.012;0.019;0.015;-0.016;
1;197;5.000;3.000;-3.600;;0.429;0.228;-0.471;-0.231;0.026;-0.021;0.000;-0.015;
1;198;5.500;3.000;-3.600;;0.385;0.245;-0.428;-0.247;0.043;-0.041;-0.010;-0.020;
1;199;6.000;3.000;-3.600;;0.261;0.250;-0.304;-0.260;0.025;-0.024;-0.002;-0.059;
1;200;6.500;3.000;-3.600;;0.317;0.237;-0.362;-0.246;-0.020;0.023;0.017;-0.037;
1;201;7.000;3.000;-3.600;;0.417;0.229;-0.464;-0.234;-0.028;0.031;0.015;-0.021;
1;202;7.500;3.000;-3.600;;0.467;0.227;-0.516;-0.231;0.001;-0.001;0.002;-0.016;
1;203;8.000;3.000;-3.600;;0.437;0.230;-0.484;-0.235;0.033;-0.035;-0.011;-0.019;
1;204;8.500;3.000;-3.600;;0.351;0.239;-0.396;-0.248;0.031;-0.035;-0.016;-0.032;
1;205;9.000;3.000;-3.600;;0.272;0.253;-0.315;-0.262;-0.006;0.005;0.000;-0.059;
1;206;9.500;3.000;-3.600;;0.374;0.245;-0.418;-0.247;-0.031;0.029;0.011;-0.025;
1;207;10.000;3.000;-3.600;;0.433;0.230;-0.476;-0.232;-0.021;0.017;0.004;-0.017;
1;208;10.500;3.000;-3.600;;0.426;0.222;-0.467;-0.226;0.014;-0.021;-0.011;-0.016;
1;209;11.000;3.000;-3.600;;0.339;0.219;-0.377;-0.226;0.040;-0.049;-0.023;-0.022;
1;210;11.500;3.000;-3.600;;0.208;0.220;-0.241;-0.234;0.020;-0.029;-0.023;-0.042;
1;211;12.000;3.000;-3.600;;0.166;0.230;-0.195;-0.238;-0.022;0.020;0.000;-0.060;
1;212;12.500;3.000;-3.600;;0.297;0.236;-0.325;-0.233;-0.039;0.032;0.005;-0.013;
1;213;13.000;3.000;-3.600;;0.313;0.215;-0.337;-0.215;-0.013;0.001;-0.008;-0.012;
1;214;13.500;3.000;-3.600;;0.245;0.207;-0.263;-0.210;0.025;-0.039;-0.024;-0.015;
1;215;14.000;3.000;-3.600;;0.100;0.197;-0.112;-0.204;0.046;-0.060;-0.037;-0.024;
1;216;14.500;3.000;-3.600;;-0.074;0.183;0.070;-0.195;0.012;-0.024;-0.033;-0.049;
1;217;15.000;3.000;-3.600;;-0.197;0.157;0.203;-0.151;-0.074;0.072;-0.020;-0.063;
1;218;0.000;3.500;-3.600;;-0.666;-0.060;0.668;0.054;0.189;-0.170;0.076;-0.111;
1;219;0.500;3.500;-3.600;;-0.272;0.051;0.253;-0.059;-0.014;0.036;0.074;-0.053;
1;220;1.000;3.500;-3.600;;0.032;0.092;-0.059;-0.097;-0.053;0.070;0.055;-0.015;
1;221;1.500;3.500;-3.600;;0.235;0.092;-0.257;-0.093;-0.037;0.048;0.029;-0.012;
1;222;2.000;3.500;-3.600;;0.337;0.102;-0.355;-0.100;0.019;-0.007;0.015;-0.011;
1;223;2.500;3.500;-3.600;;0.358;0.130;-0.381;-0.125;0.075;-0.062;-0.002;0.008;
1;224;3.000;3.500;-3.600;;-0.044;0.106;0.013;-0.116;0.108;-0.094;0.020;-0.112;
1;225;3.500;3.500;-3.600;;0.037;0.097;-0.077;-0.106;-0.038;0.055;0.058;-0.046;
1;226;4.000;3.500;-3.600;;0.301;0.104;-0.348;-0.108;-0.057;0.070;0.041;-0.018;
1;227;4.500;3.500;-3.600;;0.433;0.111;-0.476;-0.113;-0.017;0.024;0.017;-0.016;
1;228;5.000;3.500;-3.600;;0.468;0.117;-0.508;-0.118;0.033;-0.027;-0.001;-0.016;
1;229;5.500;3.500;-3.600;;0.407;0.134;-0.449;-0.134;0.075;-0.071;-0.018;-0.011;
1;230;6.000;3.500;-3.600;;0.081;0.123;-0.125;-0.134;0.058;-0.053;0.007;-0.111;
1;231;6.500;3.500;-3.600;;0.254;0.118;-0.303;-0.123;-0.050;0.057;0.041;-0.035;
1;232;7.000;3.500;-3.600;;0.436;0.114;-0.489;-0.116;-0.040;0.045;0.025;-0.018;
1;233;7.500;3.500;-3.600;;0.498;0.115;-0.550;-0.117;0.000;0.000;0.003;-0.017;
1;234;8.000;3.500;-3.600;;0.461;0.115;-0.514;-0.118;0.043;-0.047;-0.019;-0.017;
1;235;8.500;3.500;-3.600;;0.313;0.121;-0.362;-0.126;0.064;-0.071;-0.035;-0.028;
1;236;9.000;3.500;-3.600;;0.092;0.123;-0.136;-0.134;-0.022;0.018;-0.004;-0.111;
1;237;9.500;3.500;-3.600;;0.373;0.131;-0.415;-0.131;-0.063;0.060;0.024;-0.018;
1;238;10.000;3.500;-3.600;;0.466;0.117;-0.508;-0.118;-0.030;0.025;0.008;-0.017;
1;239;10.500;3.500;-3.600;;0.457;0.112;-0.501;-0.114;0.016;-0.023;-0.012;-0.016;
1;240;11.000;3.500;-3.600;;0.350;0.106;-0.398;-0.110;0.056;-0.068;-0.035;-0.018;
1;241;11.500;3.500;-3.600;;0.114;0.104;-0.154;-0.113;0.049;-0.066;-0.053;-0.041;
1;242;12.000;3.500;-3.600;;-0.016;0.109;-0.014;-0.120;-0.079;0.066;-0.015;-0.113;
1;243;12.500;3.500;-3.600;;0.347;0.133;-0.371;-0.129;-0.072;0.057;0.009;-0.001;
1;244;13.000;3.500;-3.600;;0.357;0.112;-0.375;-0.111;-0.019;0.005;-0.008;-0.014;
1;245;13.500;3.500;-3.600;;0.276;0.102;-0.300;-0.104;0.036;-0.050;-0.026;-0.015;
