Surface No.;Grid;Grid Point Coordinates [m];;;;Displacements [mm];;;;Rotations [mrad];;;
;Point No.;X;Y;Z;;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Surface Comment
1;224;3.000;3.500;-3.600;;482.7;0.0;0.9;482.7;0.4;0.8;0.0;
1;225;3.500;3.500;-3.600;;482.3;0.0;0.9;482.3;0.5;0.8;0.0;
1;226;4.000;3.500;-3.600;;481.9;0.0;0.9;481.9;0.5;0.8;0.0;
1;227;4.500;3.500;-3.600;;481.5;0.0;0.9;481.5;0.4;0.7;0.0;
1;228;5.000;3.500;-3.600;;481.1;0.0;0.9;481.1;0.4;0.6;0.0;
1;229;5.500;3.500;-3.600;;480.8;0.0;0.9;480.8;0.4;0.5;0.0;
1;230;6.000;3.500;-3.600;;480.6;0.0;0.9;480.6;0.4;0.4;0.0;
1;231;6.500;3.500;-3.600;;480.5;0.0;0.9;480.5;0.4;0.3;0.0;
1;232;7.000;3.500;-3.600;;480.4;0.0;0.9;480.4;0.4;0.2;0.0;
1;233;7.500;3.500;-3.600;;480.3;0.0;0.9;480.3;0.4;0.1;0.0;
1;234;8.000;3.500;-3.600;;480.3;0.0;0.9;480.3;0.4;0.0;0.0;
1;235;8.500;3.500;-3.600;;480.4;0.0;0.9;480.4;0.4;-0.1;0.0;
1;236;9.000;3.500;-3.600;;480.5;0.0;0.9;480.5;0.4;-0.3;0.0;
1;237;9.500;3.500;-3.600;;480.6;0.0;0.9;480.6;0.4;-0.4;0.0;
1;238;10.000;3.500;-3.600;;480.9;0.0;0.9;480.9;0.4;-0.6;0.0;
1;239;10.500;3.500;-3.600;;481.2;0.0;0.9;481.2;0.4;-0.7;0.0;
1;240;11.000;3.500;-3.600;;481.6;0.0;0.9;481.6;0.4;-0.7;0.0;
1;241;11.500;3.500;-3.600;;481.9;0.0;0.9;481.9;0.4;-0.8;0.0;
1;242;12.000;3.500;-3.600;;482.4;0.0;0.9;482.4;0.4;-0.9;0.0;
1;243;12.500;3.500;-3.600;;482.8;0.0;0.9;482.8;0.4;-1.0;0.0;
1;244;13.000;3.500;-3.600;;483.4;0.0;0.9;483.4;0.4;-1.1;0.0;
1;245;13.500;3.500;-3.600;;483.9;0.0;0.9;483.9;0.4;-1.2;0.0;
1;246;14.000;3.500;-3.600;;484.5;0.0;0.9;484.5;0.5;-1.2;0.0;
1;247;14.500;3.500;-3.600;;485.1;0.0;0.9;485.1;0.5;-1.1;0.0;
1;248;15.000;3.500;-3.600;;485.6;0.0;0.9;485.6;0.5;-1.0;0.0;
1;249;0.000;4.000;-3.600;;485.8;-0.1;0.9;485.8;0.4;0.9;0.0;
1;250;0.500;4.000;-3.600;;485.3;-0.1;0.9;485.3;0.4;1.0;0.0;
1;251;1.000;4.000;-3.600;;484.8;-0.1;0.9;484.8;0.4;1.0;0.0;
1;252;1.500;4.000;-3.600;;484.3;0.0;0.9;484.3;0.4;1.0;0.0;
1;253;2.000;4.000;-3.600;;483.8;0.0;0.9;483.8;0.4;1.0;0.0;
1;254;2.500;4.000;-3.600;;483.3;0.0;0.9;483.3;0.4;0.9;0.0;
1;255;3.000;4.000;-3.600;;482.9;0.0;0.9;482.9;0.4;0.7;0.0;
1;256;3.500;4.000;-3.600;;482.5;0.0;0.9;482.5;0.4;0.8;0.0;
1;257;4.000;4.000;-3.600;;482.1;0.0;0.9;482.1;0.4;0.8;0.0;
1;258;4.500;4.000;-3.600;;481.7;0.0;0.9;481.7;0.4;0.7;0.0;
1;259;5.000;4.000;-3.600;;481.4;0.0;0.9;481.4;0.4;0.7;0.0;
1;260;5.500;4.000;-3.600;;481.0;0.0;0.9;481.0;0.4;0.5;0.0;
1;261;6.000;4.000;-3.600;;480.8;0.0;0.9;480.8;0.4;0.3;0.0;
1;262;6.500;4.000;-3.600;;480.7;0.0;0.9;480.7;0.4;0.2;0.0;
1;263;7.000;4.000;-3.600;;480.6;0.0;0.9;480.6;0.4;0.2;0.0;
1;264;7.500;4.000;-3.600;;480.5;0.0;0.9;480.5;0.4;0.1;0.0;
1;265;8.000;4.000;-3.600;;480.5;0.0;0.9;480.5;0.4;0.0;0.0;
1;266;8.500;4.000;-3.600;;480.5;0.0;0.9;480.5;0.4;-0.1;0.0;
1;267;9.000;4.000;-3.600;;480.6;0.0;0.9;480.6;0.4;-0.3;0.0;
1;268;9.500;4.000;-3.600;;480.8;0.0;0.9;480.8;0.3;-0.5;0.0;
1;269;10.000;4.000;-3.600;;481.1;0.0;0.9;481.1;0.4;-0.6;0.0;
1;270;10.500;4.000;-3.600;;481.4;0.0;0.9;481.4;0.4;-0.7;0.0;
1;271;11.000;4.000;-3.600;;481.8;0.0;0.9;481.8;0.4;-0.7;0.0;
1;272;11.500;4.000;-3.600;;482.1;0.0;0.9;482.1;0.4;-0.8;0.0;
1;273;12.000;4.000;-3.600;;482.5;0.0;0.9;482.5;0.4;-0.8;0.0;
1;274;12.500;4.000;-3.600;;483.0;0.0;0.9;483.0;0.3;-1.0;0.0;
1;275;13.000;4.000;-3.600;;483.6;0.0;0.9;483.6;0.4;-1.1;0.0;
1;276;13.500;4.000;-3.600;;484.2;0.0;0.9;484.2;0.4;-1.2;0.0;
1;277;14.000;4.000;-3.600;;484.8;0.0;0.9;484.8;0.5;-1.2;0.0;
1;278;14.500;4.000;-3.600;;485.3;0.0;0.9;485.3;0.5;-1.1;0.0;
1;279;15.000;4.000;-3.600;;485.9;0.1;0.9;485.9;0.5;-1.0;0.0;
