Surface No.;Grid;Grid Point Coordinates [m];;;;Principal Total Strains [‰];;;;;;
;Point No.;X;Y;Z;;ε_1,+;ε_2,+;α_+ [deg];ε_1,-;ε_2,-;α_- [deg];Surface Comment
1;219;0.500;3.500;-3.600;;0.00;-0.01;-87.59;0.01;0.00;6.46;
1;220;1.000;3.500;-3.600;;0.00;0.00;-59.74;0.00;-0.01;37.44;
1;221;1.500;3.500;-3.600;;0.01;0.00;-13.51;0.00;-0.01;74.85;
1;222;2.000;3.500;-3.600;;0.01;0.00;4.49;0.00;-0.01;-88.48;
1;223;2.500;3.500;-3.600;;0.01;0.00;16.69;0.00;-0.01;-77.15;
1;224;3.000;3.500;-3.600;;0.01;0.00;57.10;0.00;-0.01;-34.94;
1;225;3.500;3.500;-3.600;;0.00;0.00;-64.36;0.00;0.00;37.44;
1;226;4.000;3.500;-3.600;;0.01;0.00;-15.12;0.00;-0.01;74.83;
1;227;4.500;3.500;-3.600;;0.01;0.00;-2.99;0.00;-0.02;86.19;
1;228;5.000;3.500;-3.600;;0.01;0.00;5.28;0.00;-0.02;-86.03;
1;229;5.500;3.500;-3.600;;0.01;0.00;14.40;0.00;-0.01;-77.85;
1;230;6.000;3.500;-3.600;;0.01;0.00;51.77;0.00;-0.01;-43.39;
1;231;6.500;3.500;-3.600;;0.01;0.00;-18.01;0.00;-0.01;73.80;
1;232;7.000;3.500;-3.600;;0.01;0.00;-7.04;0.00;-0.02;83.28;
1;233;7.500;3.500;-3.600;;0.02;0.00;0.01;0.00;-0.02;-90.00;
1;234;8.000;3.500;-3.600;;0.01;0.00;6.98;0.00;-0.02;-83.33;
1;235;8.500;3.500;-3.600;;0.01;0.00;16.82;0.00;-0.01;-74.46;
1;236;9.000;3.500;-3.600;;0.00;0.00;-57.77;0.00;0.00;46.94;
1;237;9.500;3.500;-3.600;;0.01;0.00;-13.81;0.00;-0.01;78.61;
1;238;10.000;3.500;-3.600;;0.01;0.00;-4.94;0.00;-0.02;86.29;
