Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Stresses - von Mises [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_eqv,Mises,Max;σ_eqv,Mises,+;σ_eqv,Mises,-;σ_eqv,Mises,m;Surface Comment
1;149;12.000;2.000;-3.600;;0.305;0.291;0.305;0.013;
1;150;12.500;2.000;-3.600;;0.321;0.308;0.321;0.012;
1;151;13.000;2.000;-3.600;;0.310;0.299;0.310;0.010;
1;152;13.500;2.000;-3.600;;0.285;0.277;0.285;0.006;
1;153;14.000;2.000;-3.600;;0.276;0.270;0.276;0.004;
1;154;14.500;2.000;-3.600;;0.295;0.293;0.295;0.001;
1;155;15.000;2.000;-3.600;;0.307;0.307;0.299;0.004;
1;156;0.000;2.500;-3.600;;0.323;0.323;0.318;0.004;
1;157;0.500;2.500;-3.600;;0.306;0.302;0.306;0.004;
1;158;1.000;2.500;-3.600;;0.212;0.203;0.212;0.007;
1;159;1.500;2.500;-3.600;;0.224;0.211;0.224;0.009;
1;160;2.000;2.500;-3.600;;0.275;0.260;0.275;0.013;
1;161;2.500;2.500;-3.600;;0.281;0.269;0.281;0.014;
1;162;3.000;2.500;-3.600;;0.267;0.258;0.267;0.012;
1;163;3.500;2.500;-3.600;;0.285;0.269;0.285;0.013;
1;164;4.000;2.500;-3.600;;0.327;0.305;0.327;0.015;
1;165;4.500;2.500;-3.600;;0.377;0.350;0.377;0.017;
1;166;5.000;2.500;-3.600;;0.401;0.372;0.401;0.019;
1;167;5.500;2.500;-3.600;;0.392;0.362;0.392;0.020;
1;168;6.000;2.500;-3.600;;0.352;0.324;0.352;0.020;
1;169;6.500;2.500;-3.600;;0.374;0.343;0.374;0.020;
1;170;7.000;2.500;-3.600;;0.413;0.379;0.413;0.021;
1;171;7.500;2.500;-3.600;;0.436;0.400;0.436;0.022;
1;172;8.000;2.500;-3.600;;0.424;0.389;0.424;0.021;
1;173;8.500;2.500;-3.600;;0.390;0.358;0.390;0.021;
1;174;9.000;2.500;-3.600;;0.359;0.330;0.359;0.020;
1;175;9.500;2.500;-3.600;;0.392;0.362;0.392;0.020;
1;176;10.000;2.500;-3.600;;0.410;0.378;0.410;0.020;
1;177;10.500;2.500;-3.600;;0.398;0.369;0.398;0.018;
1;178;11.000;2.500;-3.600;;0.356;0.331;0.356;0.016;
1;179;11.500;2.500;-3.600;;0.309;0.289;0.309;0.014;
1;180;12.000;2.500;-3.600;;0.287;0.273;0.287;0.013;
1;181;12.500;2.500;-3.600;;0.311;0.297;0.311;0.013;
1;182;13.000;2.500;-3.600;;0.301;0.289;0.301;0.012;
1;183;13.500;2.500;-3.600;;0.270;0.261;0.270;0.009;
1;184;14.000;2.500;-3.600;;0.255;0.246;0.255;0.007;
1;185;14.500;2.500;-3.600;;0.282;0.277;0.282;0.004;
1;186;15.000;2.500;-3.600;;0.305;0.305;0.299;0.004;
1;187;0.000;3.000;-3.600;;0.374;0.374;0.373;0.004;
1;188;0.500;3.000;-3.600;;0.261;0.255;0.261;0.011;
1;189;1.000;3.000;-3.600;;0.173;0.160;0.173;0.012;
1;190;1.500;3.000;-3.600;;0.213;0.196;0.213;0.012;
1;191;2.000;3.000;-3.600;;0.274;0.255;0.274;0.015;
1;192;2.500;3.000;-3.600;;0.283;0.266;0.283;0.017;
1;193;3.000;3.000;-3.600;;0.227;0.218;0.226;0.013;
1;194;3.500;3.000;-3.600;;0.210;0.190;0.210;0.016;
1;195;4.000;3.000;-3.600;;0.304;0.273;0.304;0.018;
1;196;4.500;3.000;-3.600;;0.384;0.349;0.384;0.020;
1;197;5.000;3.000;-3.600;;0.409;0.374;0.409;0.021;
1;198;5.500;3.000;-3.600;;0.379;0.346;0.379;0.021;
1;199;6.000;3.000;-3.600;;0.290;0.262;0.290;0.020;
1;200;6.500;3.000;-3.600;;0.323;0.287;0.323;0.021;
1;201;7.000;3.000;-3.600;;0.406;0.365;0.406;0.023;
1;202;7.500;3.000;-3.600;;0.448;0.405;0.448;0.023;
1;203;8.000;3.000;-3.600;;0.424;0.383;0.424;0.023;
1;204;8.500;3.000;-3.600;;0.352;0.315;0.352;0.021;
1;205;9.000;3.000;-3.600;;0.294;0.265;0.294;0.020;
1;206;9.500;3.000;-3.600;;0.368;0.333;0.368;0.021;
1;207;10.000;3.000;-3.600;;0.413;0.377;0.413;0.021;
1;208;10.500;3.000;-3.600;;0.406;0.370;0.406;0.021;
1;209;11.000;3.000;-3.600;;0.339;0.306;0.339;0.019;
1;210;11.500;3.000;-3.600;;0.242;0.217;0.242;0.016;
1;211;12.000;3.000;-3.600;;0.230;0.217;0.230;0.013;
1;212;12.500;3.000;-3.600;;0.295;0.280;0.295;0.016;
1;213;13.000;3.000;-3.600;;0.295;0.278;0.295;0.016;
1;214;13.500;3.000;-3.600;;0.251;0.232;0.251;0.015;
1;215;14.000;3.000;-3.600;;0.206;0.188;0.206;0.014;
1;216;14.500;3.000;-3.600;;0.241;0.230;0.241;0.011;
1;217;15.000;3.000;-3.600;;0.333;0.333;0.332;0.003;
1;218;0.000;3.500;-3.600;;0.717;0.717;0.706;0.017;
1;219;0.500;3.500;-3.600;;0.302;0.302;0.294;0.021;
1;220;1.000;3.500;-3.600;;0.149;0.123;0.149;0.019;
1;221;1.500;3.500;-3.600;;0.240;0.215;0.240;0.015;
1;222;2.000;3.500;-3.600;;0.317;0.301;0.317;0.014;
1;223;2.500;3.500;-3.600;;0.353;0.339;0.353;0.018;
1;224;3.000;3.500;-3.600;;0.323;0.318;0.309;0.019;
1;225;3.500;3.500;-3.600;;0.135;0.108;0.135;0.024;
1;226;4.000;3.500;-3.600;;0.331;0.283;0.331;0.025;
1;227;4.500;3.500;-3.600;;0.433;0.390;0.433;0.022;
