Surface No.;Grid;Grid Point Coordinates [m];;;;Principal Total Strains [‰];;;;;;
;Point No.;X;Y;Z;;ε_1,+;ε_2,+;α_+ [deg];ε_1,-;ε_2,-;α_- [deg];Surface Comment
1;133;4.000;2.000;-3.600;;0.02;-0.03;88.60;0.04;-0.02;-1.08;
1;134;4.500;2.000;-3.600;;0.02;-0.03;87.91;0.04;-0.02;-1.66;
1;135;5.000;2.000;-3.600;;0.02;-0.04;88.15;0.05;-0.02;-1.49;
1;136;5.500;2.000;-3.600;;0.02;-0.05;88.41;0.06;-0.03;-1.33;
1;137;6.000;2.000;-3.600;;0.02;-0.06;88.61;0.07;-0.03;-1.20;
1;138;6.500;2.000;-3.600;;0.02;-0.05;88.50;0.06;-0.02;-1.32;
1;139;7.000;2.000;-3.600;;0.02;-0.05;88.38;0.06;-0.02;-1.43;
1;140;7.500;2.000;-3.600;;0.02;-0.05;88.59;0.06;-0.02;-1.26;
1;141;8.000;2.000;-3.600;;0.02;-0.05;88.94;0.06;-0.02;-0.97;
1;142;8.500;2.000;-3.600;;0.02;-0.05;89.15;0.07;-0.03;-0.80;
1;143;9.000;2.000;-3.600;;0.03;-0.06;89.29;0.07;-0.03;-0.68;
1;144;9.500;2.000;-3.600;;0.03;-0.06;89.23;0.07;-0.03;-0.74;
1;145;10.000;2.000;-3.600;;0.02;-0.05;89.12;0.06;-0.02;-0.84;
1;146;10.500;2.000;-3.600;;0.02;-0.04;89.22;0.05;-0.02;-0.76;
1;147;11.000;2.000;-3.600;;0.02;-0.04;89.45;0.05;-0.02;-0.59;
1;148;11.500;2.000;-3.600;;0.02;-0.04;89.53;0.05;-0.02;-0.53;
1;149;12.000;2.000;-3.600;;0.02;-0.04;89.57;0.05;-0.02;-0.48;
1;150;12.500;2.000;-3.600;;0.02;-0.04;89.50;0.05;-0.02;-0.53;
1;151;13.000;2.000;-3.600;;0.02;-0.03;89.40;0.03;-0.02;-0.68;
1;152;13.500;2.000;-3.600;;0.02;-0.01;89.73;0.01;-0.01;-0.56;
1;153;14.000;2.000;-3.600;;0.01;0.00;-87.76;0.00;-0.01;1.59;
1;154;14.500;2.000;-3.600;;0.01;0.01;-38.90;-0.01;-0.01;65.83;
1;155;15.000;2.000;-3.600;;0.01;0.01;-4.14;-0.01;-0.01;5.48;
1;156;0.000;2.500;-3.600;;0.02;0.00;-39.03;0.00;-0.02;41.86;
1;157;0.500;2.500;-3.600;;0.02;0.00;-49.87;0.00;-0.01;44.15;
1;158;1.000;2.500;-3.600;;0.01;0.00;-59.41;0.01;-0.01;37.65;
1;159;1.500;2.500;-3.600;;0.01;-0.01;-70.29;0.02;-0.01;16.12;
1;160;2.000;2.500;-3.600;;0.02;-0.02;-82.69;0.03;-0.02;5.00;
1;161;2.500;2.500;-3.600;;0.02;-0.03;-83.10;0.04;-0.02;4.42;
1;162;3.000;2.500;-3.600;;0.02;-0.03;-81.71;0.04;-0.02;5.79;
1;163;3.500;2.500;-3.600;;0.02;-0.02;-86.22;0.03;-0.02;1.68;
1;164;4.000;2.500;-3.600;;0.02;-0.02;88.75;0.03;-0.02;-2.27;
1;165;4.500;2.500;-3.600;;0.02;-0.03;85.55;0.04;-0.02;-4.36;
1;166;5.000;2.500;-3.600;;0.02;-0.04;85.56;0.05;-0.02;-4.08;
1;167;5.500;2.500;-3.600;;0.02;-0.05;87.25;0.06;-0.03;-2.46;
1;168;6.000;2.500;-3.600;;0.02;-0.06;89.58;0.07;-0.03;-0.42;
1;169;6.500;2.500;-3.600;;0.02;-0.05;-89.94;0.06;-0.02;-0.15;
1;170;7.000;2.500;-3.600;;0.02;-0.05;89.62;0.06;-0.02;-0.53;
1;171;7.500;2.500;-3.600;;0.02;-0.05;88.44;0.06;-0.02;-1.39;
1;172;8.000;2.500;-3.600;;0.02;-0.05;87.53;0.06;-0.02;-2.05;
1;173;8.500;2.500;-3.600;;0.02;-0.05;87.62;0.07;-0.02;-1.98;
1;174;9.000;2.500;-3.600;;0.02;-0.06;88.50;0.07;-0.03;-1.33;
1;175;9.500;2.500;-3.600;;0.02;-0.06;-89.84;0.07;-0.03;0.17;
1;176;10.000;2.500;-3.600;;0.02;-0.05;-88.97;0.06;-0.02;1.09;
1;177;10.500;2.500;-3.600;;0.02;-0.04;-89.49;0.05;-0.02;0.87;
1;178;11.000;2.500;-3.600;;0.02;-0.04;88.63;0.05;-0.02;-0.51;
1;179;11.500;2.500;-3.600;;0.02;-0.04;87.03;0.05;-0.02;-1.99;
1;180;12.000;2.500;-3.600;;0.02;-0.04;86.73;0.05;-0.02;-2.39;
1;181;12.500;2.500;-3.600;;0.02;-0.04;-89.26;0.05;-0.02;1.77;
1;182;13.000;2.500;-3.600;;0.02;-0.03;-85.61;0.03;-0.02;6.34;
1;183;13.500;2.500;-3.600;;0.02;-0.01;-81.79;0.02;-0.01;12.85;
