Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Stresses - Tresca [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_eqv,Tresca,Max;σ_eqv,Tresca,+;σ_eqv,Tresca,-;σ_eqv,Tresca,m;Surface Comment
1;225;3.500;3.500;-3.600;;0.573;0.340;0.573;0.201;
1;226;4.000;3.500;-3.600;;0.922;0.523;0.922;0.206;
1;227;4.500;3.500;-3.600;;1.330;0.957;1.330;0.191;
1;228;5.000;3.500;-3.600;;1.788;1.425;1.788;0.183;
1;229;5.500;3.500;-3.600;;2.336;1.962;2.336;0.187;
1;230;6.000;3.500;-3.600;;2.608;2.267;2.608;0.191;
1;231;6.500;3.500;-3.600;;1.869;1.497;1.869;0.204;
1;232;7.000;3.500;-3.600;;1.755;1.345;1.755;0.213;
1;233;7.500;3.500;-3.600;;1.752;1.341;1.752;0.210;
1;234;8.000;3.500;-3.600;;1.842;1.440;1.842;0.211;
1;235;8.500;3.500;-3.600;;2.040;1.672;2.040;0.202;
1;236;9.000;3.500;-3.600;;2.669;2.324;2.669;0.191;
1;237;9.500;3.500;-3.600;;2.370;1.997;2.370;0.187;
1;238;10.000;3.500;-3.600;;1.901;1.534;1.901;0.185;
1;239;10.500;3.500;-3.600;;1.552;1.177;1.552;0.191;
1;240;11.000;3.500;-3.600;;1.293;0.922;1.293;0.202;
1;241;11.500;3.500;-3.600;;1.172;0.908;1.172;0.189;
1;242;12.000;3.500;-3.600;;2.425;2.234;2.425;0.169;
1;243;12.500;3.500;-3.600;;2.156;1.815;2.156;0.185;
1;244;13.000;3.500;-3.600;;1.468;1.109;1.468;0.183;
1;245;13.500;3.500;-3.600;;0.956;0.535;0.956;0.217;
1;246;14.000;3.500;-3.600;;0.660;0.598;0.660;0.286;
1;247;14.500;3.500;-3.600;;1.092;1.092;0.818;0.296;
1;248;15.000;3.500;-3.600;;1.525;1.525;1.416;0.212;
1;249;0.000;4.000;-3.600;;2.534;2.534;0.635;1.153;
1;250;0.500;4.000;-3.600;;1.581;1.581;0.335;0.651;
1;251;1.000;4.000;-3.600;;0.657;0.657;0.102;0.363;
1;252;1.500;4.000;-3.600;;0.418;0.115;0.418;0.252;
1;253;2.000;4.000;-3.600;;0.926;0.564;0.926;0.185;
1;254;2.500;4.000;-3.600;;2.125;1.858;2.125;0.138;
1;255;3.000;4.000;-3.600;;3.076;3.045;2.699;0.276;
1;256;3.500;4.000;-3.600;;0.541;0.541;0.118;0.300;
1;257;4.000;4.000;-3.600;;0.708;0.301;0.708;0.221;
1;258;4.500;4.000;-3.600;;1.099;0.740;1.099;0.191;
1;259;5.000;4.000;-3.600;;1.658;1.335;1.658;0.168;
1;260;5.500;4.000;-3.600;;2.624;2.325;2.624;0.150;
1;261;6.000;4.000;-3.600;;3.269;2.865;3.269;0.229;
1;262;6.500;4.000;-3.600;;1.674;1.162;1.674;0.258;
1;263;7.000;4.000;-3.600;;1.629;1.185;1.629;0.222;
1;264;7.500;4.000;-3.600;;1.594;1.165;1.594;0.215;
1;265;8.000;4.000;-3.600;;1.722;1.290;1.722;0.217;
1;266;8.500;4.000;-3.600;;1.906;1.422;1.906;0.245;
1;267;9.000;4.000;-3.600;;3.339;2.922;3.339;0.223;
1;268;9.500;4.000;-3.600;;2.621;2.303;2.621;0.159;
1;269;10.000;4.000;-3.600;;1.812;1.470;1.812;0.173;
1;270;10.500;4.000;-3.600;;1.379;0.998;1.379;0.192;
1;271;11.000;4.000;-3.600;;1.111;0.671;1.111;0.221;
1;272;11.500;4.000;-3.600;;0.729;0.190;0.729;0.302;
1;273;12.000;4.000;-3.600;;3.708;3.708;3.237;0.312;
1;274;12.500;4.000;-3.600;;2.770;2.643;2.770;0.077;
1;275;13.000;4.000;-3.600;;1.307;1.055;1.307;0.145;
1;276;13.500;4.000;-3.600;;0.574;0.390;0.574;0.236;
1;277;14.000;4.000;-3.600;;0.839;0.839;0.370;0.371;
1;278;14.500;4.000;-3.600;;2.081;2.081;0.820;0.680;
1;279;15.000;4.000;-3.600;;3.740;3.740;1.595;1.218;
Extremes;1;0.000;0.000;-3.600;σ_eqv,Tresca,Max;3.936;3.936;1.793;1.306;
1;154;14.500;2.000;-3.600;σ_eqv,Tresca,Max;0.325;0.325;0.318;0.007;
1;1;0.000;0.000;-3.600;σ_eqv,Tresca,+;3.936;3.936;1.793;1.306;
1;8;3.500;0.000;-3.600;σ_eqv,Tresca,+;0.577;0.072;0.577;0.281;
1;267;9.000;4.000;-3.600;σ_eqv,Tresca,-;3.339;2.922;3.339;0.223;
1;251;1.000;4.000;-3.600;σ_eqv,Tresca,-;0.657;0.657;0.102;0.363;
1;1;0.000;0.000;-3.600;σ_eqv,Tresca,m;3.936;3.936;1.793;1.306;
1;154;14.500;2.000;-3.600;σ_eqv,Tresca,m;0.325;0.325;0.318;0.007;
Total;;;;;;3.936;3.936;3.339;1.306;
1;;;;;;0.325;0.072;0.102;0.007;
;;;;;;;;;;
;Total max/min values with corresponding values;;;;;;;;;
1;1;0.000;0.000;-3.600;σ_eqv,Tresca,Max;3.936;3.936;1.793;1.306;
1;154;14.500;2.000;-3.600;σ_eqv,Tresca,Max;0.325;0.325;0.318;0.007;
1;1;0.000;0.000;-3.600;σ_eqv,Tresca,+;3.936;3.936;1.793;1.306;
1;8;3.500;0.000;-3.600;σ_eqv,Tresca,+;0.577;0.072;0.577;0.281;
1;267;9.000;4.000;-3.600;σ_eqv,Tresca,-;3.339;2.922;3.339;0.223;
1;251;1.000;4.000;-3.600;σ_eqv,Tresca,-;0.657;0.657;0.102;0.363;
1;1;0.000;0.000;-3.600;σ_eqv,Tresca,m;3.936;3.936;1.793;1.306;
1;154;14.500;2.000;-3.600;σ_eqv,Tresca,m;0.325;0.325;0.318;0.007;
;;;;;;;;;;
Total;;;;;;3.936;3.936;3.339;1.306;
max/min;;;;;;0.325;0.072;0.102;0.007;
