Surface No.;Grid;Grid Point Coordinates [m];;;;Stresses from Moments [N/mm^2 ];;;Stresses from Axial Forces [N/mm^2 ];;;
;Point No.;X;Y;Z;;σ_x,b;σ_y,b;τ_xy,b;σ_x,m;σ_y,m;τ_xy,m;Surface Comment
1;246;14.000;3.500;-3.600;;0.367;0.151;-0.216;0.206;0.030;0.113;
1;247;14.500;3.500;-3.600;;0.926;0.250;-0.015;0.146;0.051;0.140;
1;248;15.000;3.500;-3.600;;1.347;0.493;0.337;-0.010;-0.008;0.106;
1;249;0.000;4.000;-3.600;;1.110;-0.045;-0.539;1.055;0.294;-0.290;
1;250;0.500;4.000;-3.600;;0.905;-0.002;-0.154;0.635;0.044;-0.099;
1;251;1.000;4.000;-3.600;;0.293;0.029;-0.021;0.363;0.002;-0.005;
1;252;1.500;4.000;-3.600;;-0.138;0.024;0.029;0.245;-0.007;0.000;
1;253;2.000;4.000;-3.600;;-0.669;0.062;0.069;0.182;-0.003;0.000;
1;254;2.500;4.000;-3.600;;-1.933;0.056;-0.033;0.118;-0.017;-0.015;
1;255;3.000;4.000;-3.600;;-1.427;-0.483;-0.810;0.244;0.066;-0.071;
1;256;3.500;4.000;-3.600;;0.235;0.057;-0.035;0.298;0.003;-0.027;
1;257;4.000;4.000;-3.600;;-0.431;0.035;0.087;0.221;0.000;0.001;
1;258;4.500;4.000;-3.600;;-0.859;0.004;0.155;0.189;-0.003;0.000;
1;259;5.000;4.000;-3.600;;-1.373;0.059;0.217;0.167;-0.002;0.000;
1;260;5.500;4.000;-3.600;;-2.430;0.026;0.153;0.139;-0.009;-0.008;
1;261;6.000;4.000;-3.600;;-3.001;-0.755;-0.377;0.219;0.037;-0.039;
1;262;6.500;4.000;-3.600;;-1.416;-0.012;-0.043;0.257;0.001;-0.015;
1;263;7.000;4.000;-3.600;;-1.358;0.049;-0.019;0.221;0.000;0.001;
1;264;7.500;4.000;-3.600;;-1.368;0.010;0.034;0.212;-0.003;0.000;
1;265;8.000;4.000;-3.600;;-1.446;0.050;0.088;0.217;-0.001;0.000;
1;266;8.500;4.000;-3.600;;-1.658;-0.010;0.096;0.244;0.001;0.012;
1;267;9.000;4.000;-3.600;;-3.076;-0.772;0.332;0.217;0.034;0.030;
1;268;9.500;4.000;-3.600;;-2.433;0.025;-0.072;0.151;-0.008;0.006;
1;269;10.000;4.000;-3.600;;-1.558;0.064;-0.125;0.171;-0.002;0.000;
1;270;10.500;4.000;-3.600;;-1.169;0.010;-0.075;0.190;-0.003;0.000;
1;271;11.000;4.000;-3.600;;-0.856;0.034;-0.013;0.221;0.000;-0.001;
1;272;11.500;4.000;-3.600;;-0.397;0.043;0.030;0.299;0.009;0.029;
1;273;12.000;4.000;-3.600;;-2.533;-0.818;0.837;0.174;0.025;0.094;
