Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;;;;Axial Forces [kN/m];;;
;Point No.;X;Y;Z;;m_x,D+;m_y,D+;m_c,D+;m_x,D-;m_y,D-;m_c,D-;n_x,D;n_y,D;n_c,D;Surface Comment
1;217;15.000;3.000;-3.600;;32.482;12.265;-13.901;0.000;-3.422;-27.423;-15.011;0.000;-27.305;
1;218;0.000;3.500;-3.600;;65.768;30.693;-37.930;0.000;-4.043;-54.488;33.427;33.465;-76.078;
1;219;0.500;3.500;-3.600;;33.018;8.090;-11.164;0.000;-1.373;-28.572;100.243;68.440;-97.097;
1;220;1.000;3.500;-3.600;;5.158;1.749;-1.704;0.000;-0.729;-4.475;109.966;48.438;-70.730;
1;221;1.500;3.500;-3.600;;0.000;0.211;-13.938;14.835;0.821;-1.929;87.684;25.123;-38.302;
1;222;2.000;3.500;-3.600;;0.000;-0.465;-31.435;31.547;0.577;-0.224;76.970;15.133;-29.257;
1;223;2.500;3.500;-3.600;;0.000;-3.457;-51.755;55.446;7.770;-8.003;77.273;11.358;-27.843;
1;224;3.000;3.500;-3.600;;15.454;7.969;-53.812;45.290;22.635;-37.536;79.377;30.471;-28.047;
1;225;3.500;3.500;-3.600;;0.000;2.405;-6.737;6.838;0.000;-2.506;90.084;27.448;-36.150;
1;226;4.000;3.500;-3.600;;0.000;1.448;-27.591;31.244;3.620;-8.721;90.238;17.481;-26.121;
1;227;4.500;3.500;-3.600;;0.000;0.890;-43.379;48.583;6.049;-12.144;80.043;9.579;-15.342;
1;228;5.000;3.500;-3.600;;0.000;-0.384;-57.481;62.188;6.032;-10.354;75.234;6.535;-11.740;
1;229;5.500;3.500;-3.600;;0.000;-3.798;-73.032;75.410;6.342;-4.922;75.220;4.619;-9.603;
1;230;6.000;3.500;-3.600;;0.000;-5.294;-70.162;75.808;12.070;-12.422;77.971;15.964;-10.856;
