Member No.;Node;Location;;;Axial and Shear Strains [‰];;;Torsional and Bending Strains [mrad/m];;;
;No.;x [m];Flags;;ε_x;γ_xy / γ_xu;γ_xz / γ_xv;κ_x;κ_y / κ_u;κ_z / κ_v;Section (Material) | Member Comment
6;9;3.9999999999999996;L | M;κ_x;-0.02;0.00;0.05;-0.1;1.4;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
6;9;3.9999999999999996;L | M;κ_y;-0.02;0.00;0.05;-0.1;1.4;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
6;8;0.0000000000000000;L | M;κ_y;-0.05;0.00;0.05;0.1;-0.7;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
6;9;3.9999999999999996;L | M;κ_z;-0.02;0.00;0.05;-0.1;1.4;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
6;8;0.0000000000000000;L | M;κ_z;-0.05;0.00;0.05;0.1;-0.7;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
Total;;;;;-0.02;0.00;0.05;0.1;1.4;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
6;;;;;-0.05;0.00;0.05;-0.1;-0.7;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
;;;;;;;;;;;
7;10;0.0000000000000000;L | M;;-0.03;0.00;-0.01;0.0;0.1;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
7;;0.3600000000000000;E;;-0.03;0.00;-0.01;0.0;0.1;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
7;;0.7200000000000001;E;;-0.03;0.00;-0.01;0.0;0.1;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
7;;1.0800000000000001;E;;-0.03;0.00;-0.01;0.0;0.0;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
7;;1.4400000000000002;E;;-0.03;0.00;-0.01;0.0;0.0;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
7;;1.8000000000000000;R | E;;-0.03;0.00;-0.01;0.0;0.0;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
7;;2.1600000000000001;E;;-0.02;0.00;-0.01;0.0;-0.1;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
7;;2.5200000000000000;E;;-0.02;0.00;-0.01;0.0;-0.1;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
7;;2.8799999999999999;E;;-0.02;0.00;-0.01;0.0;-0.1;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
7;;3.2399999999999998;E;;-0.02;0.00;-0.01;0.0;-0.2;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
7;11;3.6000000000000001;L | M;;-0.02;0.00;-0.01;0.0;-0.2;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
Extremes;11;3.6000000000000001;L | M;ε_x;-0.02;0.00;-0.01;0.0;-0.2;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
7;10;0.0000000000000000;L | M;ε_x;-0.03;0.00;-0.01;0.0;0.1;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
7;11;3.6000000000000001;L | M;γ_xy;-0.02;0.00;-0.01;0.0;-0.2;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
7;10;0.0000000000000000;L | M;γ_xy;-0.03;0.00;-0.01;0.0;0.1;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
7;11;3.6000000000000001;L | M;γ_xz;-0.02;0.00;-0.01;0.0;-0.2;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
7;;1.0800000000000001;E;γ_xz;-0.03;0.00;-0.01;0.0;0.0;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
7;10;0.0000000000000000;L | M;κ_x;-0.03;0.00;-0.01;0.0;0.1;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
7;11;3.6000000000000001;L | M;κ_x;-0.02;0.00;-0.01;0.0;-0.2;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
7;10;0.0000000000000000;L | M;κ_y;-0.03;0.00;-0.01;0.0;0.1;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
7;11;3.6000000000000001;L | M;κ_y;-0.02;0.00;-0.01;0.0;-0.2;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
7;11;3.6000000000000001;L | M;κ_z;-0.02;0.00;-0.01;0.0;-0.2;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
7;10;0.0000000000000000;L | M;κ_z;-0.03;0.00;-0.01;0.0;0.1;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
Total;;;;;-0.02;0.00;-0.01;0.0;0.1;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
7;;;;;-0.03;0.00;-0.01;0.0;-0.2;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
;;;;;;;;;;;
8;11;0.0000000000000000;L | M;;-0.05;0.00;0.05;0.0;-0.7;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
8;;0.4444444444444444;E;;-0.05;0.00;0.05;0.0;-0.5;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
8;;0.8888888888888887;E;;-0.05;0.00;0.05;0.0;-0.3;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
