Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Stresses - Rankine [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_eqv,Rankine,Max;σ_eqv,Rankine,+;σ_eqv,Rankine,-;σ_eqv,Rankine,m;Surface Comment
1;191;2.000;3.000;-3.600;;0.824;0.616;0.824;0.113;
1;192;2.500;3.000;-3.600;;1.079;0.861;1.079;0.119;
1;193;3.000;3.000;-3.600;;0.878;0.682;0.878;0.117;
1;194;3.500;3.000;-3.600;;0.608;0.378;0.608;0.125;
1;195;4.000;3.000;-3.600;;0.864;0.601;0.864;0.132;
1;196;4.500;3.000;-3.600;;1.184;0.908;1.184;0.138;
1;197;5.000;3.000;-3.600;;1.485;1.203;1.485;0.141;
1;198;5.500;3.000;-3.600;;1.726;1.441;1.726;0.142;
1;199;6.000;3.000;-3.600;;1.721;1.436;1.721;0.143;
1;200;6.500;3.000;-3.600;;1.530;1.238;1.530;0.147;
1;201;7.000;3.000;-3.600;;1.534;1.233;1.534;0.151;
1;202;7.500;3.000;-3.600;;1.566;1.260;1.566;0.153;
1;203;8.000;3.000;-3.600;;1.600;1.299;1.600;0.151;
1;204;8.500;3.000;-3.600;;1.650;1.358;1.650;0.147;
1;205;9.000;3.000;-3.600;;1.816;1.530;1.816;0.144;
1;206;9.500;3.000;-3.600;;1.793;1.507;1.793;0.143;
1;207;10.000;3.000;-3.600;;1.607;1.323;1.607;0.142;
1;208;10.500;3.000;-3.600;;1.382;1.105;1.382;0.139;
1;209;11.000;3.000;-3.600;;1.155;0.896;1.155;0.131;
1;210;11.500;3.000;-3.600;;1.003;0.770;1.003;0.123;
1;211;12.000;3.000;-3.600;;1.297;1.078;1.297;0.115;
1;212;12.500;3.000;-3.600;;1.385;1.165;1.385;0.115;
1;213;13.000;3.000;-3.600;;1.032;0.813;1.032;0.114;
1;214;13.500;3.000;-3.600;;0.606;0.387;0.606;0.113;
1;215;14.000;3.000;-3.600;;0.232;0.182;0.232;0.103;
1;216;14.500;3.000;-3.600;;0.455;0.455;0.430;0.078;
1;217;15.000;3.000;-3.600;;0.698;0.632;0.698;0.055;
1;218;0.000;3.500;-3.600;;1.371;1.371;1.278;0.085;
1;219;0.500;3.500;-3.600;;0.835;0.835;0.558;0.174;
1;220;1.000;3.500;-3.600;;0.287;0.287;0.080;0.181;
1;221;1.500;3.500;-3.600;;0.478;0.197;0.478;0.148;
1;222;2.000;3.500;-3.600;;0.880;0.631;0.880;0.131;
1;223;2.500;3.500;-3.600;;1.365;1.123;1.365;0.132;
1;224;3.000;3.500;-3.600;;1.339;1.216;1.217;0.140;
1;225;3.500;3.500;-3.600;;0.306;0.098;0.306;0.154;
1;226;4.000;3.500;-3.600;;0.820;0.503;0.820;0.159;
