Point No.;Location [m];;;Mass - Translational Direction [kg];;;Mass - Rotational Direction [kgm^2 ];;;
;X;Y;Z;m_X;m_Y;m_Z;m_φX;m_φY;m_φZ;
154;12.500;3.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
155;13.500;4.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
156;14.000;3.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
157;14.500;4.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
158;15.000;3.500;-3.600;937.5;937.5;937.5;0.00;0.00;0.00;
159;14.500;3.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
160;15.000;2.500;-3.600;812.5;812.5;812.5;0.00;0.00;0.00;
161;14.500;2.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
162;15.000;1.500;-3.600;687.5;687.5;687.5;0.00;0.00;0.00;
163;14.500;1.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
164;15.000;0.500;-3.600;562.5;562.5;562.5;0.00;0.00;0.00;
165;14.500;0.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
166;14.000;0.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
167;13.500;0.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
168;13.000;0.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
169;12.500;0.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
170;12.000;0.500;-3.600;562.5;562.5;562.5;0.00;0.00;0.00;
171;12.500;1.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
172;11.500;0.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
173;11.000;0.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
174;11.500;1.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
175;10.500;0.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
176;10.000;0.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
177;9.500;0.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
178;9.000;0.500;-3.600;562.5;562.5;562.5;0.00;0.00;0.00;
179;9.500;1.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
180;8.500;0.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
181;8.000;0.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
182;8.500;1.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
183;7.500;0.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
184;7.000;0.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
185;6.500;0.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
186;6.000;0.500;-3.600;562.5;562.5;562.5;0.00;0.00;0.00;
187;6.500;1.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
188;5.500;0.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
189;5.000;0.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
190;5.500;1.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
191;4.500;0.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
192;4.000;0.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
193;3.500;0.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
194;3.000;0.500;-3.600;562.5;562.5;562.5;0.00;0.00;0.00;
195;3.500;1.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
196;2.500;0.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
197;2.000;0.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
198;2.500;1.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
199;1.500;0.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
200;1.500;1.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
201;2.000;2.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
202;1.500;2.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
203;3.000;2.500;-3.600;812.5;812.5;812.5;0.00;0.00;0.00;
204;2.500;2.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
205;3.000;1.500;-3.600;687.5;687.5;687.5;0.00;0.00;0.00;
206;2.000;1.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
207;3.500;2.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
208;6.000;1.500;-3.600;687.5;687.5;687.5;0.00;0.00;0.00;
209;6.500;2.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
210;5.500;2.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
211;6.000;2.500;-3.600;812.5;812.5;812.5;0.00;0.00;0.00;
212;9.000;1.500;-3.600;687.5;687.5;687.5;0.00;0.00;0.00;
213;9.500;2.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
214;8.500;2.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
215;9.000;2.500;-3.600;812.5;812.5;812.5;0.00;0.00;0.00;
