Node No.;Mode;Normalized Displacements [--];;;Normalized Rotations [--];;;
;No.;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Node Comment
31;3;0.00000;0.00000;0.06839;0.00000;0.00000;0.00000;concrete part
31;4;0.00000;0.00000;0.00317;0.00000;0.00000;0.00000;concrete part
;;;;;;;;
32;1;0.04674;-0.00399;0.09094;-0.00190;-0.02138;0.00012;concrete top + steel bottom
32;2;0.00159;0.13170;0.12197;0.05909;-0.00134;0.00005;concrete top + steel bottom
32;3;0.00589;0.06063;0.06842;0.02716;-0.00338;0.00056;concrete top + steel bottom
32;4;0.01421;-0.00930;0.00317;-0.00457;-0.00095;-0.00364;concrete top + steel bottom
;;;;;;;;
33;1;0.20574;-0.01189;0.09094;-0.00194;-0.04949;0.00010;steel top
33;2;0.01585;0.39266;0.12202;0.06517;-0.00476;-0.00366;steel top
33;3;0.03877;0.18081;0.06844;0.03001;-0.01082;-0.00202;steel top
33;4;-0.00242;-0.03013;0.00316;-0.00521;0.00694;0.02436;steel top
;;;;;;;;
34;1;0.00000;0.00000;0.15844;0.00000;0.00000;0.00000;concrete part
34;2;0.00000;0.00000;0.12874;0.00000;0.00000;0.00000;concrete part
34;3;0.00000;0.00000;0.07889;0.00000;0.00000;0.00000;concrete part
34;4;0.00000;0.00000;0.00039;0.00000;0.00000;0.00000;concrete part
;;;;;;;;
35;1;0.04678;-0.00366;0.15851;-0.00174;-0.02387;0.00007;concrete top + steel bottom
35;2;0.00159;0.13190;0.12880;0.06172;-0.00248;0.00004;concrete top + steel bottom
35;3;0.00588;0.06241;0.07893;0.02849;-0.00153;0.00057;concrete top + steel bottom
35;4;0.01415;-0.02079;0.00039;-0.01078;-0.00170;-0.00359;concrete top + steel bottom
;;;;;;;;
36;1;0.98098;-0.01953;0.15885;-0.00437;-0.06832;0.00428;steel top
36;2;0.53597;0.80381;0.12977;0.16791;-0.02944;-0.00725;steel top
36;3;-0.77609;0.50521;0.07922;0.10827;0.03937;0.03106;steel top
36;4;-0.08771;-0.76961;-0.00086;-0.17850;0.00636;-0.09969;steel top
;;;;;;;;
37;1;0.04711;-0.00533;-0.13673;-0.00281;-0.02306;0.00013;opening node
37;2;0.00167;0.13161;-0.06545;0.06046;-0.00133;-0.00002;opening node
37;3;0.00763;0.05434;-0.04558;0.02488;-0.00380;0.00056;opening node
37;4;0.00282;0.03308;-0.03330;0.01523;-0.00501;-0.00379;opening node
;;;;;;;;
38;1;0.04698;-0.00533;-0.13955;-0.00283;-0.02326;0.00012;opening node
38;2;0.00169;0.13161;-0.00498;0.06043;-0.00080;-0.00003;opening node
38;3;0.00707;0.05434;-0.02076;0.02487;-0.00347;0.00056;opening node
38;4;0.00661;0.03307;-0.01820;0.01505;-0.00279;-0.00382;opening node
;;;;;;;;
39;1;0.04698;-0.00520;-0.11669;-0.00259;-0.02243;0.00012;opening node
39;2;0.00169;0.13156;-0.00416;0.05977;-0.00077;-0.00002;opening node
39;3;0.00707;0.05490;-0.01728;0.02477;-0.00352;0.00056;opening node
39;4;0.00661;0.02922;-0.01530;0.01273;-0.00281;-0.00382;opening node
;;;;;;;;
40;1;0.04710;-0.00520;-0.11411;-0.00254;-0.02215;0.00013;opening node
40;2;0.00168;0.13156;-0.06395;0.05975;-0.00150;-0.00003;opening node
40;3;0.00763;0.05490;-0.04201;0.02479;-0.00342;0.00056;opening node
40;4;0.00281;0.02921;-0.02806;0.01279;-0.00510;-0.00379;opening node
