Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Stresses - Rankine [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_eqv,Rankine,Max;σ_eqv,Rankine,+;σ_eqv,Rankine,-;σ_eqv,Rankine,m;Surface Comment
1;208;10.500;3.000;-3.600;;1.445;1.085;1.445;0.181;
1;209;11.000;3.000;-3.600;;1.229;0.891;1.229;0.172;
1;210;11.500;3.000;-3.600;;1.196;0.889;1.196;0.162;
1;211;12.000;3.000;-3.600;;1.678;1.383;1.678;0.153;
1;212;12.500;3.000;-3.600;;1.654;1.357;1.654;0.153;
1;213;13.000;3.000;-3.600;;1.110;0.815;1.110;0.153;
1;214;13.500;3.000;-3.600;;0.531;0.362;0.531;0.152;
1;215;14.000;3.000;-3.600;;0.434;0.391;0.434;0.138;
1;216;14.500;3.000;-3.600;;0.587;0.587;0.546;0.104;
1;217;15.000;3.000;-3.600;;0.750;0.650;0.750;0.079;
1;218;0.000;3.500;-3.600;;1.106;1.106;0.953;0.117;
1;219;0.500;3.500;-3.600;;0.974;0.974;0.516;0.237;
1;220;1.000;3.500;-3.600;;0.557;0.557;0.103;0.249;
1;221;1.500;3.500;-3.600;;0.376;0.183;0.376;0.205;
1;222;2.000;3.500;-3.600;;0.854;0.501;0.854;0.183;
1;223;2.500;3.500;-3.600;;1.538;1.193;1.538;0.182;
1;224;3.000;3.500;-3.600;;1.614;1.442;1.475;0.187;
1;225;3.500;3.500;-3.600;;0.367;0.302;0.367;0.201;
1;226;4.000;3.500;-3.600;;0.750;0.339;0.750;0.206;
1;227;4.500;3.500;-3.600;;1.147;0.767;1.147;0.191;
1;228;5.000;3.500;-3.600;;1.622;1.257;1.622;0.183;
1;229;5.500;3.500;-3.600;;2.267;1.896;2.267;0.185;
1;230;6.000;3.500;-3.600;;2.556;2.181;2.556;0.191;
1;231;6.500;3.500;-3.600;;1.743;1.342;1.743;0.204;
1;232;7.000;3.500;-3.600;;1.629;1.205;1.629;0.213;
1;233;7.500;3.500;-3.600;;1.621;1.200;1.621;0.210;
1;234;8.000;3.500;-3.600;;1.715;1.298;1.715;0.211;
1;235;8.500;3.500;-3.600;;1.928;1.532;1.928;0.202;
1;236;9.000;3.500;-3.600;;2.661;2.286;2.661;0.191;
1;237;9.500;3.500;-3.600;;2.317;1.943;2.317;0.187;
1;238;10.000;3.500;-3.600;;1.773;1.403;1.773;0.185;
1;239;10.500;3.500;-3.600;;1.408;1.027;1.408;0.191;
1;240;11.000;3.500;-3.600;;1.147;0.754;1.147;0.202;
1;241;11.500;3.500;-3.600;;0.958;0.624;0.958;0.189;
1;242;12.000;3.500;-3.600;;2.186;1.922;2.186;0.169;
1;243;12.500;3.500;-3.600;;2.116;1.802;2.116;0.164;
1;244;13.000;3.500;-3.600;;1.237;0.902;1.237;0.169;
1;245;13.500;3.500;-3.600;;0.628;0.313;0.628;0.206;
1;246;14.000;3.500;-3.600;;0.598;0.598;0.471;0.261;
1;247;14.500;3.500;-3.600;;1.092;1.092;0.818;0.247;
1;248;15.000;3.500;-3.600;;1.525;1.525;1.416;0.115;
1;249;0.000;4.000;-3.600;;2.474;2.474;0.460;1.153;
1;250;0.500;4.000;-3.600;;1.581;1.581;0.279;0.651;
1;251;1.000;4.000;-3.600;;0.657;0.657;0.072;0.363;
1;252;1.500;4.000;-3.600;;0.386;0.115;0.386;0.245;
1;253;2.000;4.000;-3.600;;0.856;0.495;0.856;0.182;
1;254;2.500;4.000;-3.600;;2.051;1.817;2.051;0.120;
1;255;3.000;4.000;-3.600;;2.862;2.831;2.388;0.268;
1;256;3.500;4.000;-3.600;;0.541;0.541;0.063;0.300;
1;257;4.000;4.000;-3.600;;0.662;0.238;0.662;0.221;
1;258;4.500;4.000;-3.600;;1.070;0.705;1.070;0.189;
1;259;5.000;4.000;-3.600;;1.568;1.242;1.568;0.167;
1;260;5.500;4.000;-3.600;;2.579;2.299;2.579;0.140;
1;261;6.000;4.000;-3.600;;3.269;2.865;3.269;0.228;
1;262;6.500;4.000;-3.600;;1.674;1.162;1.674;0.258;
1;263;7.000;4.000;-3.600;;1.580;1.137;1.580;0.221;
1;264;7.500;4.000;-3.600;;1.581;1.157;1.581;0.212;
1;265;8.000;4.000;-3.600;;1.667;1.235;1.667;0.217;
1;266;8.500;4.000;-3.600;;1.906;1.422;1.906;0.245;
1;267;9.000;4.000;-3.600;;3.339;2.922;3.339;0.223;
1;268;9.500;4.000;-3.600;;2.586;2.284;2.586;0.151;
1;269;10.000;4.000;-3.600;;1.738;1.397;1.738;0.171;
1;270;10.500;4.000;-3.600;;1.362;0.985;1.362;0.190;
1;271;11.000;4.000;-3.600;;1.077;0.636;1.077;0.221;
1;272;11.500;4.000;-3.600;;0.696;0.118;0.696;0.302;
1;273;12.000;4.000;-3.600;;3.355;3.262;3.237;0.312;
1;274;12.500;4.000;-3.600;;2.684;2.600;2.684;0.049;
1;275;13.000;4.000;-3.600;;1.175;0.916;1.175;0.140;
1;276;13.500;4.000;-3.600;;0.490;0.215;0.490;0.230;
1;277;14.000;4.000;-3.600;;0.839;0.839;0.231;0.371;
1;278;14.500;4.000;-3.600;;2.081;2.081;0.759;0.680;
1;279;15.000;4.000;-3.600;;3.740;3.740;1.309;1.218;
Extremes;1;0.000;0.000;-3.600;σ_eqv,Rankine,Max;3.936;3.936;1.444;1.306;
1;154;14.500;2.000;-3.600;σ_eqv,Rankine,Max;0.325;0.325;0.318;0.006;
1;1;0.000;0.000;-3.600;σ_eqv,Rankine,+;3.936;3.936;1.444;1.306;
1;8;3.500;0.000;-3.600;σ_eqv,Rankine,+;0.536;0.072;0.536;0.281;
1;267;9.000;4.000;-3.600;σ_eqv,Rankine,-;3.339;2.922;3.339;0.223;
1;256;3.500;4.000;-3.600;σ_eqv,Rankine,-;0.541;0.541;0.063;0.300;
1;1;0.000;0.000;-3.600;σ_eqv,Rankine,m;3.936;3.936;1.444;1.306;
1;154;14.500;2.000;-3.600;σ_eqv,Rankine,m;0.325;0.325;0.318;0.006;
Total;;;;;;3.936;3.936;3.339;1.306;
1;;;;;;0.325;0.072;0.063;0.006;
;;;;;;;;;;
;Total max/min values with corresponding values;;;;;;;;;
1;1;0.000;0.000;-3.600;σ_eqv,Rankine,Max;3.936;3.936;1.444;1.306;
1;154;14.500;2.000;-3.600;σ_eqv,Rankine,Max;0.325;0.325;0.318;0.006;
1;1;0.000;0.000;-3.600;σ_eqv,Rankine,+;3.936;3.936;1.444;1.306;
1;8;3.500;0.000;-3.600;σ_eqv,Rankine,+;0.536;0.072;0.536;0.281;
1;267;9.000;4.000;-3.600;σ_eqv,Rankine,-;3.339;2.922;3.339;0.223;
1;256;3.500;4.000;-3.600;σ_eqv,Rankine,-;0.541;0.541;0.063;0.300;
1;1;0.000;0.000;-3.600;σ_eqv,Rankine,m;3.936;3.936;1.444;1.306;
1;154;14.500;2.000;-3.600;σ_eqv,Rankine,m;0.325;0.325;0.318;0.006;
;;;;;;;;;;
Total;;;;;;3.936;3.936;3.339;1.306;
max/min;;;;;;0.325;0.072;0.063;0.006;
