Surface No.;Grid;Grid Point Coordinates [m];;;;Principal Stresses [N/mm^2 ];;;;;;;;;;
;Point No.;X;Y;Z;;σ_1,+;σ_2,+;α_+ [deg];σ_1,-;σ_2,-;α_- [deg];σ_1,m;σ_2,m;α_m [deg];τ_max;Surface Comment
1;102;4.000;1.500;-3.600;;0.343;-0.739;88.13;1.029;-0.291;-0.12;0.148;0.023;7.60;0.027;
1;103;4.500;1.500;-3.600;;0.335;-0.915;89.98;1.231;-0.304;0.90;0.159;0.015;4.95;0.051;
1;104;5.000;1.500;-3.600;;0.346;-1.209;-89.43;1.542;-0.328;0.99;0.167;0.009;3.06;0.067;
1;105;5.500;1.500;-3.600;;0.356;-1.510;89.49;1.852;-0.338;-0.23;0.172;0.009;1.33;0.070;
1;106;6.000;1.500;-3.600;;0.344;-1.655;87.71;2.002;-0.313;-1.93;0.174;0.016;0.39;0.106;
1;107;6.500;1.500;-3.600;;0.353;-1.471;86.99;1.822;-0.317;-2.45;0.176;0.017;0.77;0.032;
1;108;7.000;1.500;-3.600;;0.328;-1.349;87.15;1.705;-0.296;-2.30;0.179;0.016;0.50;0.019;
1;109;7.500;1.500;-3.600;;0.316;-1.311;88.65;1.671;-0.288;-1.17;0.180;0.014;-0.28;0.009;
1;110;8.000;1.500;-3.600;;0.323;-1.393;-89.78;1.752;-0.292;0.02;0.180;0.015;-1.05;0.027;
1;111;8.500;1.500;-3.600;;0.344;-1.556;-89.40;1.911;-0.310;0.32;0.178;0.017;-1.34;0.039;
1;112;9.000;1.500;-3.600;;0.335;-1.778;-89.87;2.130;-0.303;0.01;0.176;0.016;-0.79;0.104;
1;113;9.500;1.500;-3.600;;0.353;-1.662;88.37;2.012;-0.335;-1.58;0.175;0.009;-1.27;0.065;
1;114;10.000;1.500;-3.600;;0.350;-1.395;87.25;1.738;-0.333;-2.73;0.172;0.008;-2.65;0.061;
1;115;10.500;1.500;-3.600;;0.344;-1.134;87.85;1.463;-0.318;-2.46;0.165;0.013;-3.99;0.045;
1;116;11.000;1.500;-3.600;;0.356;-0.984;-89.89;1.293;-0.312;-0.81;0.156;0.021;-5.39;0.021;
1;117;11.500;1.500;-3.600;;0.399;-0.979;-88.05;1.267;-0.344;0.87;0.146;0.026;-5.42;0.006;
1;118;12.000;1.500;-3.600;;0.406;-1.203;-87.55;1.478;-0.362;1.50;0.139;0.020;-5.05;0.096;
1;119;12.500;1.500;-3.600;;0.417;-1.129;88.33;1.377;-0.386;-2.77;0.126;0.013;-10.36;0.095;
1;120;13.000;1.500;-3.600;;0.413;-0.720;84.36;0.933;-0.373;-7.73;0.112;0.015;-20.40;0.099;
1;121;13.500;1.500;-3.600;;0.387;-0.242;80.55;0.405;-0.329;-14.64;0.096;0.015;-36.76;0.090;
1;122;14.000;1.500;-3.600;;0.342;0.163;76.10;-0.037;-0.303;-32.34;0.082;0.001;-52.96;0.063;
1;123;14.500;1.500;-3.600;;0.378;0.291;-19.44;-0.261;-0.367;-81.93;0.033;-0.012;-56.00;0.036;
1;124;15.000;1.500;-3.600;;0.353;0.210;-16.72;-0.354;-0.446;43.58;-0.028;-0.090;3.08;0.088;
1;125;0.000;2.000;-3.600;;0.415;0.087;-38.84;-0.125;-0.556;39.14;0.002;-0.091;16.40;0.009;
1;126;0.500;2.000;-3.600;;0.439;0.122;-55.00;0.003;-0.432;36.03;0.063;0.003;38.79;0.044;
1;127;1.000;2.000;-3.600;;0.360;0.089;-76.34;0.252;-0.137;36.08;0.210;0.073;58.21;0.132;
1;128;1.500;2.000;-3.600;;0.131;-0.337;-61.96;0.506;-0.121;21.84;0.094;-0.005;6.62;0.323;
1;129;2.000;2.000;-3.600;;0.442;-0.490;-81.78;0.579;-0.484;5.31;0.053;-0.029;-12.14;0.265;
1;130;2.500;2.000;-3.600;;0.546;-0.747;-83.81;0.886;-0.486;5.38;0.071;0.028;-7.06;0.088;
1;131;3.000;2.000;-3.600;;0.479;-0.814;-87.49;1.014;-0.432;2.62;0.100;0.024;3.75;0.021;
1;132;3.500;2.000;-3.600;;0.444;-0.676;-89.42;0.932;-0.380;0.64;0.128;0.032;0.96;0.027;
1;133;4.000;2.000;-3.600;;0.401;-0.732;88.60;1.021;-0.347;-1.08;0.145;0.027;0.47;0.033;
1;134;4.500;2.000;-3.600;;0.398;-0.916;87.91;1.233;-0.362;-1.66;0.159;0.018;0.36;0.047;
1;135;5.000;2.000;-3.600;;0.421;-1.194;88.15;1.531;-0.398;-1.49;0.169;0.011;0.31;0.054;
1;136;5.500;2.000;-3.600;;0.441;-1.461;88.41;1.809;-0.418;-1.33;0.174;0.011;0.22;0.046;
1;137;6.000;2.000;-3.600;;0.428;-1.575;88.61;1.930;-0.396;-1.20;0.177;0.016;0.00;0.032;
1;138;6.500;2.000;-3.600;;0.420;-1.452;88.50;1.810;-0.385;-1.32;0.179;0.017;-0.26;0.013;
1;139;7.000;2.000;-3.600;;0.385;-1.359;88.38;1.721;-0.352;-1.43;0.181;0.017;-0.40;0.009;
1;140;7.500;2.000;-3.600;;0.369;-1.332;88.59;1.697;-0.338;-1.26;0.182;0.016;-0.45;0.006;
1;141;8.000;2.000;-3.600;;0.382;-1.409;88.94;1.773;-0.350;-0.97;0.182;0.016;-0.48;0.018;
1;142;8.500;2.000;-3.600;;0.413;-1.546;89.15;1.907;-0.380;-0.80;0.181;0.017;-0.53;0.022;
1;143;9.000;2.000;-3.600;;0.417;-1.702;89.29;2.061;-0.385;-0.68;0.179;0.016;-0.54;0.030;
1;144;9.500;2.000;-3.600;;0.429;-1.611;89.23;1.966;-0.407;-0.74;0.177;0.011;-0.55;0.039;
1;145;10.000;2.000;-3.600;;0.413;-1.382;89.12;1.728;-0.392;-0.84;0.173;0.011;-0.63;0.045;
1;146;10.500;2.000;-3.600;;0.397;-1.152;89.22;1.483;-0.366;-0.76;0.165;0.016;-0.70;0.038;
1;147;11.000;2.000;-3.600;;0.409;-1.017;89.45;1.329;-0.364;-0.59;0.156;0.023;-0.79;0.023;
1;148;11.500;2.000;-3.600;;0.457;-0.996;89.53;1.288;-0.406;-0.53;0.146;0.025;-0.88;0.012;
1;149;12.000;2.000;-3.600;;0.482;-1.123;89.57;1.399;-0.438;-0.48;0.138;0.022;-0.77;0.030;
1;150;12.500;2.000;-3.600;;0.501;-1.046;89.50;1.283;-0.456;-0.53;0.118;0.023;-0.80;0.060;
1;151;13.000;2.000;-3.600;;0.478;-0.687;89.40;0.871;-0.414;-0.68;0.092;0.032;-1.46;0.078;
1;152;13.500;2.000;-3.600;;0.425;-0.251;89.73;0.366;-0.329;-0.56;0.058;0.048;-10.43;0.077;
1;153;14.000;2.000;-3.600;;0.371;0.111;-87.76;-0.065;-0.272;1.59;0.050;0.023;-85.20;0.056;
1;154;14.500;2.000;-3.600;;0.325;0.296;-38.90;-0.294;-0.318;65.83;0.006;-0.001;-66.72;0.025;
1;155;15.000;2.000;-3.600;;0.331;0.219;-4.14;-0.370;-0.407;5.48;-0.020;-0.094;-1.81;0.030;
1;156;0.000;2.500;-3.600;;0.489;0.027;-39.03;-0.133;-0.622;41.86;-0.022;-0.098;6.37;0.045;
1;157;0.500;2.500;-3.600;;0.513;0.044;-49.87;-0.009;-0.442;44.15;0.044;0.008;-78.12;0.046;
1;158;1.000;2.500;-3.600;;0.417;-0.030;-59.41;0.159;-0.257;37.65;0.100;0.045;86.99;0.064;
1;159;1.500;2.500;-3.600;;0.339;-0.302;-70.29;0.448;-0.281;16.12;0.082;0.020;-4.17;0.049;
1;160;2.000;2.500;-3.600;;0.424;-0.590;-82.69;0.812;-0.423;5.00;0.115;-0.004;-4.99;0.013;
