Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;;;;Axial Forces [kN/m];;;
;Point No.;X;Y;Z;;m_x,D+;m_y,D+;m_c,D+;m_x,D-;m_y,D-;m_c,D-;n_x,D;n_y,D;n_c,D;Surface Comment
1;179;11.500;2.500;-3.600;;0.000;17.396;-46.839;47.112;0.000;-17.669;79.076;17.455;-7.816;
1;180;12.000;2.500;-3.600;;0.000;18.336;-54.739;55.217;0.000;-18.813;75.321;14.405;-7.573;
1;181;12.500;2.500;-3.600;;0.000;18.419;-51.840;51.928;0.000;-18.506;72.370;17.309;-17.609;
1;182;13.000;2.500;-3.600;;0.000;17.767;-34.775;35.480;0.000;-18.472;66.314;27.960;-28.917;
1;183;13.500;2.500;-3.600;;0.000;17.101;-15.090;14.780;0.000;-16.791;52.737;40.043;-35.827;
1;184;14.000;2.500;-3.600;;8.811;16.876;-7.370;-4.096;0.000;-14.220;33.696;44.465;-35.515;
1;185;14.500;2.500;-3.600;;15.032;13.918;-0.363;0.000;-13.734;-14.852;9.392;17.838;-16.365;
1;186;15.000;2.500;-3.600;;18.334;17.068;-3.834;0.000;-14.928;-16.641;-14.188;0.000;-46.332;
1;187;0.000;3.000;-3.600;;31.274;24.629;-23.778;0.000;-5.448;-26.677;-21.503;0.000;-42.609;
1;188;0.500;3.000;-3.600;;25.557;22.381;-22.523;0.000;-2.247;-23.167;37.213;60.794;-50.943;
1;189;1.000;3.000;-3.600;;11.801;16.463;-14.351;0.917;0.000;-14.831;63.430;59.271;-52.285;
1;190;1.500;3.000;-3.600;;0.000;11.523;-11.960;12.027;0.000;-11.590;79.367;34.264;-37.699;
1;191;2.000;3.000;-3.600;;0.000;11.201;-28.295;28.591;0.000;-11.497;88.553;16.725;-31.755;
1;192;2.500;3.000;-3.600;;0.000;11.426;-43.897;46.025;0.000;-13.554;90.165;12.512;-25.065;
1;193;3.000;3.000;-3.600;;0.000;15.864;-40.600;46.351;2.822;-24.437;86.428;26.401;-19.469;
1;194;3.500;3.000;-3.600;;0.000;14.367;-22.328;22.674;0.000;-14.714;94.184;33.055;-29.332;
1;195;4.000;3.000;-3.600;;0.000;12.318;-28.208;28.516;0.000;-12.625;97.522;22.447;-25.847;
1;196;4.500;3.000;-3.600;;0.000;12.727;-42.164;45.251;0.000;-15.813;98.766;14.784;-19.405;
1;197;5.000;3.000;-3.600;;0.000;12.346;-59.604;65.283;0.000;-18.025;97.702;8.671;-12.651;
1;198;5.500;3.000;-3.600;;0.000;11.036;-76.827;79.737;0.000;-13.946;95.528;4.729;-5.587;
1;199;6.000;3.000;-3.600;;0.000;10.450;-82.709;82.979;0.000;-10.721;94.492;11.127;-2.960;
1;200;6.500;3.000;-3.600;;0.000;11.794;-67.721;68.054;0.000;-12.127;99.526;14.801;-9.102;
1;201;7.000;3.000;-3.600;;0.000;10.713;-61.840;61.868;0.000;-10.741;101.012;9.357;-6.898;
