Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;;Shear Forces [kN/m];;Axial Forces [kN/m];;;;
;Point No.;X;Y;Z;;m_1;m_2;α_b [deg];m_T,max,b;v_max,b;β_b [deg];n_1;n_2;α_m [deg];v_max,m;Surface Comment
1;98;2.000;1.500;-3.600;;20.531;-0.679;88.82;10.605;13.809;36.75;3.552;1.238;-58.04;1.157;
1;99;2.500;1.500;-3.600;;14.309;7.973;-88.40;3.168;4.161;18.90;0.546;-2.988;-67.73;1.767;
1;100;3.000;1.500;-3.600;;12.672;6.963;-84.47;2.854;10.940;83.56;-1.450;-6.266;-76.01;2.408;
1;101;3.500;1.500;-3.600;;12.909;9.098;81.37;1.905;9.233;45.70;-2.511;-7.088;-74.17;2.288;
1;102;4.000;1.500;-3.600;;14.208;11.883;38.75;1.163;7.876;39.29;-2.130;-8.307;-76.73;3.088;
1;103;4.500;1.500;-3.600;;16.907;12.495;9.91;2.206;5.132;38.65;-1.380;-9.328;-81.57;3.974;
1;104;5.000;1.500;-3.600;;18.078;12.821;0.12;2.629;3.155;72.61;-0.946;-10.108;-84.94;4.581;
1;105;5.500;1.500;-3.600;;17.353;13.211;-3.57;2.071;3.624;117.25;-1.177;-10.506;-87.90;4.664;
1;106;6.000;1.500;-3.600;;14.843;13.088;-8.31;0.877;10.344;88.96;-2.077;-10.660;-88.73;4.291;
1;107;6.500;1.500;-3.600;;16.092;13.367;9.69;1.362;6.660;55.35;-2.140;-10.944;-87.25;4.402;
1;108;7.000;1.500;-3.600;;18.532;13.152;8.25;2.690;5.192;57.70;-1.817;-11.273;-87.75;4.728;
1;109;7.500;1.500;-3.600;;19.781;13.073;2.38;3.354;3.397;80.66;-1.581;-11.426;-89.29;4.923;
1;110;8.000;1.500;-3.600;;19.109;13.237;-2.96;2.936;4.380;115.50;-1.746;-11.342;89.16;4.798;
1;111;8.500;1.500;-3.600;;17.066;13.489;-3.04;1.788;5.816;125.48;-2.047;-11.070;88.43;4.511;
1;112;9.000;1.500;-3.600;;15.276;13.223;6.55;1.026;10.305;91.67;-2.064;-10.815;89.67;4.376;
1;113;9.500;1.500;-3.600;;17.327;13.290;7.85;2.019;4.537;62.17;-1.238;-10.705;89.08;4.734;
1;114;10.000;1.500;-3.600;;18.462;12.974;5.06;2.744;3.486;89.04;-0.990;-10.377;86.69;4.694;
1;115;10.500;1.500;-3.600;;17.880;12.808;-1.88;2.536;4.223;129.73;-1.365;-9.706;84.17;4.170;
1;116;11.000;1.500;-3.600;;15.476;12.721;-13.90;1.377;6.688;136.28;-2.111;-8.818;81.04;3.353;
1;117;11.500;1.500;-3.600;;12.984;11.824;-81.27;0.580;8.106;132.53;-2.558;-7.841;80.93;2.642;
1;118;12.000;1.500;-3.600;;12.607;10.210;75.06;1.198;10.559;96.31;-1.858;-7.096;85.71;2.619;
1;119;12.500;1.500;-3.600;;13.291;11.932;41.38;0.679;2.632;83.34;-0.293;-6.571;82.25;3.139;
1;120;13.000;1.500;-3.600;;12.586;11.972;28.81;0.307;3.773;137.87;0.110;-5.755;74.36;2.933;
1;121;13.500;1.500;-3.600;;11.917;9.874;-73.70;1.021;6.882;154.33;-0.190;-4.643;62.34;2.227;
1;122;14.000;1.500;-3.600;;11.959;5.155;-82.19;3.402;9.669;148.58;-0.080;-3.735;44.50;1.827;
1;123;14.500;1.500;-3.600;;11.655;0.137;-89.30;5.759;10.794;139.81;0.326;-2.051;34.42;1.188;
1;124;15.000;1.500;-3.600;;10.458;-3.467;84.09;6.962;12.549;125.13;2.220;1.054;83.86;0.583;
1;125;0.000;2.000;-3.600;;11.369;-3.855;-87.61;7.612;4.158;4.64;2.020;-0.094;-67.48;1.057;
1;126;0.500;2.000;-3.600;;13.445;-1.875;85.61;7.660;9.625;-6.19;-0.289;-2.496;-52.17;1.104;
1;127;1.000;2.000;-3.600;;14.268;0.304;70.55;6.982;23.519;26.73;-3.188;-6.945;-46.31;1.878;
1;128;1.500;2.000;-3.600;;15.047;-0.248;8.07;7.647;23.223;33.07;-0.194;-6.448;89.33;3.127;
1;129;2.000;2.000;-3.600;;17.974;3.955;-48.16;7.009;6.096;-84.90;2.344;-4.880;80.12;3.612;
1;130;2.500;2.000;-3.600;;14.395;8.726;-70.57;2.835;3.311;126.09;0.034;-4.671;74.84;2.352;
1;131;3.000;2.000;-3.600;;13.461;7.942;88.47;2.760;3.707;-88.29;-1.558;-5.079;87.21;1.760;
1;132;3.500;2.000;-3.600;;13.996;10.061;87.02;1.967;6.174;2.63;-2.599;-6.585;89.69;1.993;
1;133;4.000;2.000;-3.600;;14.151;13.490;62.75;0.331;5.266;1.41;-2.462;-7.791;-89.48;2.665;
1;134;4.500;2.000;-3.600;;16.598;13.856;5.39;1.371;3.460;0.68;-1.749;-8.953;-89.35;3.602;
1;135;5.000;2.000;-3.600;;17.875;13.942;3.78;1.967;0.973;-0.99;-1.245;-9.857;-89.41;4.306;
1;136;5.500;2.000;-3.600;;17.427;14.200;4.33;1.614;1.406;-177.81;-1.402;-10.390;-89.49;4.494;
1;137;6.000;2.000;-3.600;;15.421;14.031;7.46;0.695;3.878;89.75;-2.043;-10.651;-89.51;4.304;
1;138;6.500;2.000;-3.600;;16.596;14.546;5.08;1.025;3.550;0.52;-2.096;-10.885;-89.56;4.394;
1;139;7.000;2.000;-3.600;;18.531;14.490;2.79;2.021;2.278;0.54;-1.927;-11.150;-89.52;4.611;
1;140;7.500;2.000;-3.600;;19.587;14.351;2.13;2.618;0.426;-1.19;-1.788;-11.286;-89.51;4.749;
1;141;8.000;2.000;-3.600;;19.084;14.453;2.19;2.316;1.565;-178.76;-1.873;-11.229;-89.54;4.678;
1;142;8.500;2.000;-3.600;;17.459;14.558;3.01;1.451;3.144;-179.09;-2.037;-11.029;-89.62;4.496;
1;143;9.000;2.000;-3.600;;15.861;14.159;3.60;0.851;3.882;90.13;-2.031;-10.838;-89.73;4.404;
1;144;9.500;2.000;-3.600;;17.516;14.390;2.35;1.563;1.865;0.58;-1.407;-10.657;-89.83;4.625;
1;145;10.000;2.000;-3.600;;18.328;14.174;1.77;2.077;0.152;175.21;-1.216;-10.239;-89.80;4.512;
1;146;10.500;2.000;-3.600;;17.681;14.059;1.93;1.811;2.413;-179.81;-1.643;-9.503;-89.76;3.930;
1;147;11.000;2.000;-3.600;;15.485;14.106;4.64;0.690;4.219;-179.66;-2.296;-8.574;-89.74;3.139;
1;148;11.500;2.000;-3.600;;14.067;12.536;86.40;0.766;5.213;-179.60;-2.471;-7.687;-89.84;2.608;
1;149;12.000;2.000;-3.600;;13.521;10.836;87.59;1.342;4.005;90.51;-1.863;-7.038;-89.99;2.588;
1;150;12.500;2.000;-3.600;;13.594;12.548;84.73;0.523;0.024;155.62;-0.784;-6.299;89.87;2.757;
1;151;13.000;2.000;-3.600;;13.015;12.327;85.99;0.344;2.783;179.85;-0.593;-5.096;89.86;2.251;
1;152;13.500;2.000;-3.600;;12.961;9.803;88.70;1.579;5.554;-179.95;-1.287;-3.441;89.66;1.077;
1;153;14.000;2.000;-3.600;;13.066;5.578;89.57;3.744;7.345;-179.91;-1.711;-1.808;13.37;0.049;
1;154;14.500;2.000;-3.600;;12.775;1.094;89.79;5.841;7.890;-179.89;-0.407;-0.748;5.85;0.170;
1;155;15.000;2.000;-3.600;;11.382;-2.205;89.87;6.793;7.759;179.24;2.385;0.749;88.93;0.818;
1;156;0.000;2.500;-3.600;;10.153;-4.986;81.99;7.569;11.587;-53.94;2.010;0.739;89.32;0.636;
1;157;0.500;2.500;-3.600;;11.324;-2.338;85.48;6.831;9.767;-52.95;-0.443;-2.361;32.84;0.959;
1;158;1.000;2.500;-3.600;;9.773;3.091;84.49;3.341;4.894;-40.26;-1.925;-3.970;38.93;1.023;
1;159;1.500;2.500;-3.600;;10.171;7.235;0.81;1.468;7.532;35.58;-0.351;-4.656;74.61;2.153;
1;160;2.000;2.500;-3.600;;12.534;8.767;-24.07;1.884;7.425;-28.00;0.951;-6.025;84.09;3.488;
1;161;2.500;2.500;-3.600;;12.155;10.586;-55.41;0.785;1.230;-60.44;0.861;-6.741;80.98;3.801;
1;162;3.000;2.500;-3.600;;12.335;7.922;82.83;2.206;10.947;-86.25;-1.529;-6.478;78.27;2.475;
1;163;3.500;2.500;-3.600;;12.859;9.432;-87.59;1.714;8.693;-44.60;-2.492;-7.291;76.29;2.400;
1;164;4.000;2.500;-3.600;;13.792;12.450;-32.95;0.671;7.571;-38.98;-2.146;-8.346;78.36;3.100;
1;165;4.500;2.500;-3.600;;16.784;12.665;-2.61;2.060;4.977;-39.13;-1.414;-9.325;82.91;3.955;
1;166;5.000;2.500;-3.600;;18.071;12.804;5.68;2.633;3.189;-74.39;-0.992;-10.103;86.09;4.555;
1;167;5.500;2.500;-3.600;;17.387;13.116;10.17;2.135;3.778;-116.25;-1.219;-10.520;88.86;4.650;
1;168;6.000;2.500;-3.600;;14.982;12.952;16.06;1.015;10.088;-88.72;-2.093;-10.694;89.62;4.300;
1;169;6.500;2.500;-3.600;;16.036;13.476;-1.93;1.280;6.571;-55.03;-2.130;-10.994;88.11;4.432;
1;170;7.000;2.500;-3.600;;18.452;13.261;-4.10;2.596;5.123;-57.89;-1.807;-11.333;88.69;4.763;
1;171;7.500;2.500;-3.600;;19.748;13.096;1.04;3.326;3.408;-81.70;-1.582;-11.494;-89.77;4.956;
1;172;8.000;2.500;-3.600;;19.114;13.189;6.46;2.962;4.469;-115.47;-1.763;-11.415;-88.27;4.826;
1;173;8.500;2.500;-3.600;;17.062;13.435;7.94;1.813;5.926;-124.65;-2.079;-11.145;-87.70;4.533;
1;174;9.000;2.500;-3.600;;15.205;13.289;-1.54;0.958;10.142;-91.50;-2.088;-10.895;-89.19;4.403;
1;175;9.500;2.500;-3.600;;17.282;13.368;-4.32;1.957;4.479;-61.92;-1.229;-10.802;-88.78;4.786;
1;176;10.000;2.500;-3.600;;18.434;13.019;-2.37;2.707;3.454;-89.60;-0.969;-10.482;-86.33;4.756;
1;177;10.500;2.500;-3.600;;17.895;12.785;4.75;2.555;4.263;-130.00;-1.352;-9.810;-83.77;4.229;
1;178;11.000;2.500;-3.600;;15.555;12.610;17.99;1.473;6.748;-136.06;-2.114;-8.916;-80.63;3.401;
1;179;11.500;2.500;-3.600;;13.082;11.685;73.20;0.698;8.177;-132.02;-2.582;-7.923;-80.66;2.670;
1;180;12.000;2.500;-3.600;;12.567;10.245;-80.03;1.161;10.417;-96.26;-1.881;-7.169;-85.77;2.644;
1;181;12.500;2.500;-3.600;;13.158;12.084;-41.23;0.537;2.598;-83.42;-0.296;-6.640;-82.55;3.172;
1;182;13.000;2.500;-3.600;;12.445;12.123;-19.71;0.161;3.777;-138.28;0.105;-5.810;-74.65;2.958;
