Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;;;;Axial Forces [kN/m];;;
;Point No.;X;Y;Z;;m_x,D+;m_y,D+;m_c,D+;m_x,D-;m_y,D-;m_c,D-;n_x,D;n_y,D;n_c,D;Surface Comment
1;64;0.500;1.000;-3.600;max;0.015;0.016;-0.002;0.015;0.016;-0.002;0.044;0.051;-0.006;
1;64;0.500;1.000;-3.600;min;0.000;0.000;-0.028;0.000;0.000;-0.028;0.000;0.000;-0.050;
1;65;1.000;1.000;-3.600;max;0.014;0.013;-0.006;0.014;0.013;-0.006;0.055;0.043;-0.032;
1;65;1.000;1.000;-3.600;min;0.000;0.002;-0.021;0.000;0.002;-0.021;0.000;0.004;-0.056;
1;66;1.500;1.000;-3.600;max;0.034;0.010;-0.014;0.034;0.010;-0.014;0.059;0.026;-0.038;
1;66;1.500;1.000;-3.600;min;0.000;0.003;-0.028;0.000;0.003;-0.028;0.000;0.017;-0.055;
1;67;2.000;1.000;-3.600;max;0.041;0.025;-0.031;0.041;0.025;-0.031;0.119;0.085;-0.067;
1;67;2.000;1.000;-3.600;min;0.000;0.003;-0.036;0.000;0.003;-0.036;0.000;-0.027;-0.099;
1;68;2.500;1.000;-3.600;max;0.035;0.012;-0.015;0.035;0.012;-0.015;0.074;0.024;-0.044;
1;68;2.500;1.000;-3.600;min;0.000;0.001;-0.029;0.000;0.001;-0.029;0.000;0.017;-0.063;
1;69;3.000;1.000;-3.600;max;0.031;0.005;0.000;0.031;0.005;0.000;0.040;0.016;-0.006;
1;69;3.000;1.000;-3.600;min;0.000;-0.001;-0.027;0.000;-0.001;-0.027;0.000;0.001;-0.034;
1;70;3.500;1.000;-3.600;max;0.029;0.004;-0.001;0.029;0.004;-0.001;0.028;0.015;-0.001;
1;70;3.500;1.000;-3.600;min;0.000;0.000;-0.027;0.000;0.000;-0.027;0.000;-0.002;-0.024;
1;71;4.000;1.000;-3.600;max;0.030;0.004;-0.001;0.030;0.004;-0.001;0.025;0.014;-0.003;
1;71;4.000;1.000;-3.600;min;0.000;0.000;-0.028;0.000;0.000;-0.028;0.000;-0.003;-0.022;
1;72;4.500;1.000;-3.600;max;0.031;0.004;0.000;0.031;0.004;0.000;0.023;0.010;-0.001;
1;72;4.500;1.000;-3.600;min;-0.001;-0.001;-0.028;-0.001;-0.001;-0.028;0.000;-0.006;-0.021;
1;73;5.000;1.000;-3.600;max;0.031;0.004;0.000;0.031;0.004;0.000;0.021;0.012;-0.001;
1;73;5.000;1.000;-3.600;min;0.000;-0.002;-0.029;0.000;-0.002;-0.029;0.000;-0.006;-0.020;
1;74;5.500;1.000;-3.600;max;0.028;0.007;0.000;0.028;0.007;0.000;0.021;0.014;-0.001;
1;74;5.500;1.000;-3.600;min;0.000;-0.002;-0.028;0.000;-0.002;-0.028;-0.002;-0.006;-0.019;
1;75;6.000;1.000;-3.600;max;0.024;0.011;-0.001;0.024;0.011;-0.001;0.021;0.008;-0.002;
1;75;6.000;1.000;-3.600;min;0.000;-0.003;-0.022;0.000;-0.003;-0.022;0.000;-0.001;-0.019;
1;76;6.500;1.000;-3.600;max;0.022;0.006;0.000;0.022;0.006;0.000;0.020;0.019;0.000;
1;76;6.500;1.000;-3.600;min;0.000;-0.001;-0.020;0.000;-0.001;-0.020;0.000;-0.001;-0.023;
1;77;7.000;1.000;-3.600;max;0.025;0.004;-0.001;0.025;0.004;-0.001;0.020;0.016;-0.003;
1;77;7.000;1.000;-3.600;min;0.000;-0.001;-0.022;0.000;-0.001;-0.022;0.000;-0.002;-0.024;
1;78;7.500;1.000;-3.600;max;0.027;0.004;0.000;0.027;0.004;0.000;0.020;0.012;-0.004;
1;78;7.500;1.000;-3.600;min;0.000;0.000;-0.025;0.000;0.000;-0.025;0.000;-0.004;-0.023;
1;79;8.000;1.000;-3.600;max;0.029;0.003;0.000;0.029;0.003;0.000;0.020;0.013;-0.003;
1;79;8.000;1.000;-3.600;min;0.000;-0.001;-0.028;0.000;-0.001;-0.028;0.000;-0.004;-0.021;
1;80;8.500;1.000;-3.600;max;0.033;0.006;-0.005;0.033;0.006;-0.005;0.017;0.016;-0.002;
1;80;8.500;1.000;-3.600;min;0.000;-0.002;-0.030;0.000;-0.002;-0.030;0.000;-0.006;-0.016;
1;81;9.000;1.000;-3.600;max;0.032;0.012;-0.002;0.032;0.012;-0.002;0.017;0.005;0.000;
1;81;9.000;1.000;-3.600;min;0.000;-0.003;-0.030;0.000;-0.003;-0.030;0.000;-0.003;-0.017;
1;82;9.500;1.000;-3.600;max;0.032;0.007;-0.002;0.032;0.007;-0.002;0.019;0.017;-0.002;
1;82;9.500;1.000;-3.600;min;0.000;-0.002;-0.029;0.000;-0.002;-0.029;-0.001;-0.005;-0.018;
1;83;10.000;1.000;-3.600;max;0.029;0.003;0.000;0.029;0.003;0.000;0.021;0.014;-0.003;
1;83;10.000;1.000;-3.600;min;0.000;-0.001;-0.027;0.000;-0.001;-0.027;0.000;-0.004;-0.022;
1;84;10.500;1.000;-3.600;max;0.027;0.003;0.000;0.027;0.003;0.000;0.025;0.013;-0.004;
1;84;10.500;1.000;-3.600;min;0.000;0.000;-0.025;0.000;0.000;-0.025;0.000;-0.004;-0.024;
1;85;11.000;1.000;-3.600;max;0.025;0.004;0.000;0.025;0.004;0.000;0.025;0.018;-0.004;
1;85;11.000;1.000;-3.600;min;0.000;-0.001;-0.022;0.000;-0.001;-0.022;0.000;-0.001;-0.026;
1;86;11.500;1.000;-3.600;max;0.022;0.007;-0.001;0.022;0.007;-0.001;0.026;0.021;-0.003;
1;86;11.500;1.000;-3.600;min;0.000;-0.001;-0.020;0.000;-0.001;-0.020;0.000;-0.003;-0.025;
1;87;12.000;1.000;-3.600;max;0.024;0.013;-0.002;0.024;0.013;-0.002;0.028;0.009;-0.001;
1;87;12.000;1.000;-3.600;min;0.000;-0.002;-0.022;0.000;-0.002;-0.022;0.000;-0.005;-0.026;
1;88;12.500;1.000;-3.600;max;0.027;0.010;-0.002;0.027;0.010;-0.002;0.028;0.017;0.000;
1;88;12.500;1.000;-3.600;min;0.000;-0.002;-0.025;0.000;-0.002;-0.025;0.000;-0.011;-0.027;
1;89;13.000;1.000;-3.600;max;0.026;0.006;-0.001;0.026;0.006;-0.001;0.030;0.013;-0.003;
1;89;13.000;1.000;-3.600;min;0.000;-0.002;-0.025;0.000;-0.002;-0.025;0.000;-0.010;-0.028;
