Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;;Shear Forces [kN/m];;Axial Forces [kN/m];;;;
;Point No.;X;Y;Z;;m_1;m_2;α_b [deg];m_T,max,b;v_max,b;β_b [deg];n_1;n_2;α_m [deg];v_max,m;Surface Comment
1;74;5.500;1.000;-3.600;max;0.028;0.002;82.37;0.013;0.015;158.17;0.019;0.006;88.55;0.010;
1;74;5.500;1.000;-3.600;min;-0.002;-0.028;-89.59;0.003;0.008;-137.64;-0.006;-0.019;-84.62;0.003;
1;75;6.000;1.000;-3.600;max;0.022;0.003;85.04;0.010;0.013;151.11;0.019;0.001;83.85;0.009;
1;75;6.000;1.000;-3.600;min;-0.003;-0.022;-86.73;0.002;0.001;-174.72;-0.001;-0.019;-84.40;0.006;
1;76;6.500;1.000;-3.600;max;0.020;0.001;83.57;0.010;0.016;123.63;0.017;0.001;89.38;0.012;
1;76;6.500;1.000;-3.600;min;-0.001;-0.020;-89.55;0.002;0.002;-169.25;-0.001;-0.017;-61.03;0.006;
1;77;7.000;1.000;-3.600;max;0.022;0.001;88.00;0.011;0.011;90.43;0.017;0.002;84.98;0.012;
1;77;7.000;1.000;-3.600;min;-0.001;-0.022;-78.66;0.005;0.003;-175.30;-0.002;-0.017;-56.51;0.004;
1;78;7.500;1.000;-3.600;max;0.025;0.000;89.54;0.012;0.011;165.70;0.017;0.004;81.98;0.011;
1;78;7.500;1.000;-3.600;min;0.000;-0.025;-80.67;0.004;0.002;-177.41;-0.004;-0.017;-77.05;0.004;
1;79;8.000;1.000;-3.600;max;0.028;0.001;89.77;0.014;0.010;176.53;0.016;0.004;82.61;0.010;
1;79;8.000;1.000;-3.600;min;-0.001;-0.028;-77.03;0.001;0.005;-144.87;-0.004;-0.016;-70.37;0.004;
1;80;8.500;1.000;-3.600;max;0.030;0.002;84.89;0.014;0.020;147.54;0.016;0.005;86.75;0.009;
1;80;8.500;1.000;-3.600;min;-0.002;-0.030;-21.55;0.005;0.005;-158.48;-0.005;-0.016;-85.03;0.004;
1;81;9.000;1.000;-3.600;max;0.030;0.003;80.42;0.014;0.012;178.62;0.017;0.003;81.65;0.007;
1;81;9.000;1.000;-3.600;min;-0.003;-0.030;-84.74;0.007;0.001;-151.53;-0.003;-0.017;-88.28;0.003;
1;82;9.500;1.000;-3.600;max;0.029;0.002;86.46;0.014;0.019;166.45;0.018;0.004;63.63;0.010;
1;82;9.500;1.000;-3.600;min;-0.002;-0.029;-84.82;0.005;0.004;-126.29;-0.004;-0.018;-86.10;0.001;
1;83;10.000;1.000;-3.600;max;0.027;0.001;89.25;0.013;0.010;173.34;0.020;0.004;52.57;0.011;
1;83;10.000;1.000;-3.600;min;-0.001;-0.027;-88.18;0.001;0.001;-160.18;-0.004;-0.020;-83.99;0.003;
1;84;10.500;1.000;-3.600;max;0.025;0.000;89.26;0.012;0.011;174.64;0.022;0.003;74.27;0.012;
1;84;10.500;1.000;-3.600;min;0.000;-0.025;-86.75;0.004;0.002;-171.43;-0.003;-0.022;-84.10;0.005;
1;85;11.000;1.000;-3.600;max;0.022;0.001;86.73;0.011;0.012;159.00;0.023;0.001;59.96;0.014;
1;85;11.000;1.000;-3.600;min;-0.001;-0.022;-89.30;0.003;0.002;-169.13;-0.001;-0.023;-84.82;0.002;
1;86;11.500;1.000;-3.600;max;0.020;0.001;53.38;0.009;0.019;176.07;0.025;0.003;71.15;0.013;
1;86;11.500;1.000;-3.600;min;-0.001;-0.020;-87.87;0.005;0.001;-147.89;-0.003;-0.025;-87.03;0.004;
1;87;12.000;1.000;-3.600;max;0.020;0.002;60.70;0.011;0.014;168.16;0.027;0.005;88.11;0.011;
1;87;12.000;1.000;-3.600;min;-0.002;-0.020;-87.18;0.003;0.004;-178.02;-0.005;-0.027;-68.90;0.005;
1;88;12.500;1.000;-3.600;max;0.025;0.002;67.49;0.011;0.017;145.17;0.027;0.010;86.25;0.011;
1;88;12.500;1.000;-3.600;min;-0.002;-0.025;-87.23;0.004;0.008;-171.15;-0.010;-0.027;-89.24;0.004;
1;89;13.000;1.000;-3.600;max;0.025;0.002;88.23;0.012;0.010;145.85;0.028;0.010;82.44;0.011;
1;89;13.000;1.000;-3.600;min;-0.002;-0.025;-88.78;0.003;0.003;-155.30;-0.010;-0.028;-85.11;0.005;
1;90;13.500;1.000;-3.600;max;0.025;0.002;86.61;0.012;0.008;162.67;0.028;0.010;87.12;0.012;
1;90;13.500;1.000;-3.600;min;-0.002;-0.025;-82.40;0.002;0.001;-167.81;-0.010;-0.028;-53.93;0.004;
1;91;14.000;1.000;-3.600;max;0.025;0.001;86.30;0.013;0.005;88.61;0.024;0.009;69.63;0.012;
